line,dag_mean,dag_std,ratio_act8_flc_mean,deltaC_mean_mean,deltaC_mean_std,deltaC_mean_count,C_mean_mean,C_mean_std,C_mean_count,deltaN_mean_mean,deltaN_mean_std,deltaN_mean_count,N_mean_mean,N_mean_std,N_mean_count,CN_ratio_mean,CN_ratio_std,CN_ratio_count,label,hsd_test_early_flow,wt_name,deltaC_wt,ratio_deltaC,diff_deltaC,pval_deltaC
ID4807-02-R05,22.09090909090909,1.0444659357341863,1.0028432843466997,-30.5,0.18357559750685673,3,32.93333333333334,0.20816659994660996,3,0.7666666666666666,0.3647373484212075,3,6.593333333333334,0.09291573243177563,3,4.995488405557637,0.06489239649329656,3,mut,,WT-ID4807,-29.643333333333334,1.0288991341504554,0.8566666666666656,0.021048160291606617
ID6138-09-R04,30.63636363636364,1.2060453783110547,13.941812535235885,-30.403333333333336,0.33201405592735667,3,33.63333333333333,0.15275252316519294,3,3.8699999999999997,0.9960421677820671,3,6.3566666666666665,0.22501851775650236,3,5.2950515613415075,0.17085918270742023,3,mut,,WT-ID6138,-30.03,1.0124320124320125,0.37333333333333485,0.2872523337224617
ID6413-10-R05,21.83333333333333,1.6422453217986948,2.617836919658964,-30.58666666666667,0.29143323992525877,3,33.53333333333333,0.8082903768654783,3,1.5,0.4670117771534246,3,6.590000000000001,0.19519221295943098,3,5.0906540176939385,0.1573199843117301,3,mut,,WT-ID6413,-30.206666666666667,1.0125800044140367,0.38000000000000256,0.4886774973392363
ID8234-01-R05,31.72727272727273,2.004540300962248,1.0385302138723942,-30.496666666666666,0.3150132272355131,3,32.56666666666666,0.757187779440039,3,3.953333333333333,0.1625833119767628,3,5.88,0.0916515138991172,3,5.538322923075086,0.07446039310192021,3,mut,,WT-ID8234,-30.22666666666667,1.0089325099250108,0.269999999999996,0.2487907083503233
ID8283-01-R04,21.545454545454547,1.0357254813546268,1.2366010421786706,-31.319999999999997,0.5819793810780586,3,33.266666666666666,0.20816659994661338,3,1.0333333333333334,0.788056681548563,3,6.583333333333333,0.1450287327853811,3,5.054690726194191,0.10803459719925901,3,mut,,WT-ID8283,-30.406666666666666,1.0300372725279543,0.9133333333333304,0.0838624056124523
ID9102-01-R05,23.16666666666667,1.4668044012461756,0.7477458690498038,-30.62,0.34698703145795035,3,32.666666666666664,0.9712534856222336,3,3.64,0.4392038251199551,3,6.553333333333334,0.24664414311581292,3,4.98584172968198,0.05367298667207341,3,mut,,WT-ID9102,-30.22,1.013236267372601,0.40000000000000213,0.2363086375272828
ID9111-02-R04,27.83333333333333,0.8348471099367203,0.0822352476363165,-30.873333333333335,0.04163331998932255,3,32.63333333333333,1.0408329997330654,3,4.046666666666667,0.40451617190581335,3,6.6933333333333325,0.45368858629387343,3,4.8978381623414995,0.4960877074668124,3,mut,,WT-ID9111,-30.320000000000004,1.018249780123131,0.553333333333331,0.021005617848170184
ID9323-12-R04,25.363636363636363,1.6895400127092153,18.303984808182573,-30.74,0.638513899613783,3,33.9,0.458257569495582,3,5.94,1.436802004452945,3,6.263333333333333,0.18502252115170584,3,5.41600872987281,0.19338449902153787,3,mut,,WT-ID9323,-30.389999999999997,1.0115169463639355,0.3500000000000014,0.473637674527561
ID9407-04-R02,23.11111111111111,0.9279607271383368,0.008031925817915458,-31.143333333333334,0.04041451884327397,3,34.36666666666667,0.7371114795832012,3,3.3866666666666667,0.8558231904624538,3,6.28,0.43863424398922557,3,5.496605096677944,0.5198586770611215,3,mut,,WT-ID9407,-30.486666666666668,1.02153947080691,0.6566666666666663,0.0008332931881622532
ID9421-04-R02,35.833333333333336,3.9504506839170377,0.8859935029529629,-29.55,0.20074859899884837,3,33.06666666666667,0.2516611478423607,3,5.1066666666666665,0.5612783029240787,3,6.286666666666666,0.2482606157515393,3,5.266365676154659,0.24926283961283063,3,mut,,WT-ID9421,-29.439999999999998,1.0037364130434783,0.11000000000000298,0.5352910618740706
ID9569-11-R01,21.91666666666667,0.2886751345948127,0.0036388830888193758,-31.30666666666667,0.24664414311581342,3,32.400000000000006,0.4358898943540727,3,1.1733333333333333,0.15821925715074425,3,6.66,0.2497999199359359,3,4.870777624783351,0.2394385299905354,3,mut,,WT-ID9569,-30.653333333333336,1.0213136146150499,0.6533333333333324,0.010831531684438022
ID9582-01-R03,16.5,1.1677484162422849,3.3396807181190264,-30.080000000000002,0.3004995840263369,3,32.13333333333333,1.0016652800877808,3,3.9299999999999997,0.22068076490713887,3,6.34,0.27184554438136377,3,5.076646954918284,0.3254789051836857,3,mut,ab,WT-ID9582,-29.44333333333333,1.021623457488962,0.6366666666666703,0.024130093418251973
ID9583-06-R04,18.25,0.4522670168666448,0.020275929712701573,-31.040000000000003,0.42532340636273647,3,32.2,0.4582575694955877,3,3.643333333333333,0.6715901527965797,3,6.746666666666666,0.29484459183327966,3,4.77698026517355,0.14936037482394499,3,mut,,WT-ID9583,-30.310000000000002,1.024084460574068,0.7300000000000004,0.06914094525501753
ID9644-14-R02,18.90909090909091,1.0444659357341868,0.10949110835108317,-30.86,0.13114877048604073,3,33.199999999999996,0.7211102550928007,3,3.7399999999999998,0.13747727084867525,3,6.3066666666666675,0.2919474838619667,3,5.269513391120535,0.1880259525603381,3,mut,,WT-ID9644,-30.14333333333333,1.023775295808913,0.7166666666666686,0.07425775973967297
ID9729-01-R05,29.0,0.8660254037844396,0.17748421369794076,-31.143333333333334,0.11150485789118617,3,33.50000000000001,0.7211102550927948,3,3.3699999999999997,1.1611632098891178,3,6.453333333333333,0.3412232895529454,3,5.199451035258597,0.2617299692702444,3,mut,,WT-ID9729,-30.956666666666667,1.006029934316787,0.18666666666666742,0.3632375657524245
ID9736-05-R04,19.33333333333333,1.4974726182552531,0.008320963077557744,-31.16,0.16370705543744898,3,32.800000000000004,0.09999999999999876,3,3.046666666666667,0.5154932912592881,3,6.776666666666666,0.17953644012660358,3,4.842130790487372,0.11290848246324181,3,mut,,WT-ID9736,-30.349999999999998,1.02668863261944,0.8100000000000023,0.002124143768186255
ID9738-01-R02,19.25,0.4522670168666448,0.0264567441086899,-31.146666666666665,0.10503967504392484,3,34.4,0.26457513110645914,3,2.9666666666666663,0.6058327602014713,3,6.426666666666667,0.14640127503998518,3,5.354534764608801,0.1281991936668722,3,mut,,WT-ID9738,-30.366666666666664,1.0256860592755215,0.7800000000000011,0.010684927611748146
ID9755-05-R05,17.416666666666668,0.5149286505444375,0.8157395738578647,-31.340000000000003,0.22869193252058528,3,32.300000000000004,1.5588457268119906,3,3.7466666666666666,0.5750072463311515,3,6.076666666666667,0.24006943440041084,3,5.314316252954634,0.059994767512621686,3,mut,d,WT-ID9755,-30.063333333333333,1.0424659053110101,1.2766666666666708,0.004854587394100053
ID9908-06-R05,13.916666666666664,1.7816403745544234,0.012925533302620845,-30.953333333333333,0.17785762095938676,3,31.53333333333333,0.7571877794400346,3,3.5100000000000002,0.6158733636065129,3,6.1499999999999995,0.19052558883257642,3,5.132121111307487,0.25051789495549776,3,mut,cd,WT-ID9908,-30.013333333333332,1.0313194135939583,0.9400000000000013,0.004081040624169451
