mut_line_ID,old_name_some_wrong_1001_seeds_and_fastq,assigned_mut_class,ID_wt_1,alt_ID_wt,ID_wt_2,name_wt,FT16_1001,country_wt,lat_wt,Unnamed: 10,long_wt,k1-9_group_wt,FTi_dag_mut,FLC_qRT_mut,FTi_dag_wt,FLC_qRT_wt,comment,DELSCREEN_MANUAL/WEI,region_12-3,region_0-1,Part of QTL,RNAseq,analysis_group,del_screen
ID0424-02-R05,ID0424-02-R05,2,424,,ID0424,Draha2,68.25,CZE,49.4112,,16.2815,central_europe,25.3,32.7,30.5,85.85,,False,ok,ok,False,False,,small_snp_indel
ID0424-04-R05,ID0424-04-R05,3,424,,ID0424,Draha2,68.25,CZE,49.4112,,16.2815,central_europe,21.6,21.4,30.5,85.85,,False,ok,0,False,False,,small_snp_indel
ID0932-02-R04,ID0932-02-R04,3,932,,ID0932,CHA-41,68.75,USA,42.3634,,-71.1445,western_europe,20.8,20.3,38.0,44.59,,False,same like ID0932-06-R01,0,False,False,,small_snp_indel
ID0932-09-R01,ID0932-09-R01,3,932,,ID0932,CHA-41,68.75,USA,42.3634,,-71.1445,western_europe,22.3,14.1,38.0,44.59,,False,ok,0,False,False,,small_snp_indel
ID1890-05-R04,ID1890-05-R04,2,1890,,ID1890,MNF-Riv-21,75.75,USA,43.5139,,-86.1859,asia,22.8,47.7,44.2,102.59,,False,ok,ok,False,False,,small_snp_indel
ID1890-01-R05,ID1890-01-R05,3,1890,,ID1890,MNF-Riv-21,75.75,USA,43.5139,,-86.1859,asia,22.0,46.0,44.2,102.59,,False,ok,0,False,False,,small_snp_indel
ID1954-06-R05,ID1954-06-R05,3,1954,,ID1954,MNF-Jac-12,101.0,USA,43.5187,,-86.1739,germany,24.4,53.8,53.9,153.58,,False,ok,0,False,False,,small_snp_indel
ID1954-10-R05,ID1954-10-R05,3,1954,,ID1954,MNF-Jac-12,101.0,USA,43.5187,,-86.1739,germany,21.2,89.1,53.9,153.58,,False,ok,0,False,False,,small_snp_indel
ID2016-03-R05,ID2016-03-R05,3,2016,,ID2016,MNF-Pin-39,69.75,USA,43.5356,,-86.1788,admixed,18.8,81.6,41.9,162.21,,False,ok,0,False,False,,small_snp_indel
ID2171-08-R03,ID2171-08-R03,3,2171,,ID2171,Paw-26,82.5,USA,42.148,,-86.431,germany,21.0,34.7,43.6,85.08,,False,ok,0,False,False,,small_snp_indel
ID2171-21-R05,ID2171-21-R05,3,2171,,ID2171,Paw-26,82.5,USA,42.148,,-86.431,germany,21.3,30.8,43.6,85.08,,False,ok,0,False,False,,small_snp_indel
ID4807-02-R05,ID4807-02-R05,1,4807,,ID4807,UKSW06-207,87.5,UK,50.4,,-4.9,western_europe,22.1,1.0,102.5,88.8,,True,0,0,False,False,,del>25bp
ID4807-14-R03,ID4807-14-R03,1,4807,,ID4807,UKSW06-207,87.5,UK,50.4,,-4.9,western_europe,21.3,7.8,102.5,88.8,,True,largedel,0,False,True,,del>25bp
ID5151-11-R04,ID5151-11-R04,4,5151,,ID5151,UKSE06-325,73.67,UK,52.2,,-1.7,admixed,26.6,17.9,49.3,169.26,,False,0,ok,False,False,,small_snp_indel
ID5741-02-R03,ID5741-02-R03,3,5741,,ID5741,UKID36,88.5,UK,56.6,,-4.1,western_europe,37.0,58.8,52.8,146.08,,False,ok,0,False,False,,small_snp_indel
ID5741-04-R01,ID5741-04-R01,3,5741,,ID5741,UKID36,88.5,UK,56.6,,-4.1,western_europe,37.2,54.4,52.8,146.08,,False,ok,0,False,False,,small_snp_indel
ID6086-01-R04,ID6086-01-R04,2,6086,,ID6086,Sr:3,100.75,SWE,58.9,,11.2,admixed,28.5,59.0,102.5,194.45,,False,ok,ok,False,False,,small_snp_indel
ID6086-07-R03,ID6086-07-R03,3,6086,,ID6086,Sr:3,100.75,SWE,58.9,,11.2,admixed,33.9,121.2,102.5,194.45,,False,ok,0,False,False,,small_snp_indel
