pk,name,country,latitude,longitude,collector,collection_date,cs_number,species
1,ALL1-2,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
2,ALL1-3,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
3,ALL1-4,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
4,ALL1-5,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
5,ALL1-6,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
6,ALL1-7,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
7,ALL1-8,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
8,ALL1-9,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
9,ALL2-1,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
10,ALL2-2,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
11,ALL2-3,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
12,ALL2-4,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
13,ALL2-5,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
14,ALL2-6,France,45.2667,1.48333,Valerie Le Corre,,,Arabidopsis thaliana
15,BUI,France,48.3667,0.933333,Valerie Le Corre,,,Arabidopsis thaliana
16,CAM-1,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
17,CAM-10,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
18,CAM-11,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
19,CAM-12,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
20,CAM-13,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
21,CAM-14,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
22,CAM-15,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
23,CAM-16,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
24,CAM-17,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
25,CAM-18,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
26,CAM-19,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
27,CAM-20,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
28,CAM-21,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
29,CAM-22,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
30,CAM-23,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
31,CAM-24,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
32,CAM-25,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
33,CAM-27,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
34,CAM-28,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
35,CAM-29,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
36,CAM-3,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
37,CAM-30,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
38,CAM-31,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
39,CAM-33,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
40,CAM-35,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
41,CAM-36,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
42,CAM-37,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
43,CAM-38,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
44,CAM-4,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
45,CAM-42,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
46,CAM-43,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
47,CAM-44,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
48,CAM-45,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
49,CAM-46,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
50,CAM-47,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
51,CAM-48,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
52,CAM-49,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
53,CAM-5,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
54,CAM-50,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
55,CAM-51,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
56,CAM-52,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
57,CAM-53,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
58,CAM-54,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
59,CAM-55,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
60,CAM-56,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
61,CAM-57,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
62,CAM-58,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
63,CAM-59,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
64,CAM-6,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
65,CAM-60,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
66,CAM-61,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
67,CAM-62,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
68,CAM-63,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
69,CAM-64,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
70,CAM-66,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
71,CAM-67,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
72,CAM-68,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
73,CAM-69,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
74,CAM-7,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
75,CAM-70,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
76,CAM-9,France,48.2667,-4.58333,Valerie Le Corre,,,Arabidopsis thaliana
77,CLA-7,France,48.8,2.26667,Valerie Le Corre,,,Arabidopsis thaliana
78,CLE-6,France,48.9167,-0.483333,Valerie Le Corre,,,Arabidopsis thaliana
79,CUR-10,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
80,CUR-2,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
81,CUR-3,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
82,CUR-4,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
83,CUR-5,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
84,CUR-6,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
85,CUR-7,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
86,CUR-8,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
87,CUR-9,France,45.0,1.75,Valerie Le Corre,,,Arabidopsis thaliana
88,CYR,France,47.4,0.683333,Valerie Le Corre,,CS76790,Arabidopsis thaliana
89,DAM1,France,48.7,1.98333,Valerie Le Corre,,,Arabidopsis thaliana
90,DAM2,France,48.7,1.98333,Valerie Le Corre,,,Arabidopsis thaliana
91,JEA,France,43.6833,7.33333,Valerie Le Corre,,,Arabidopsis thaliana
92,LAC-1,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
93,LAC-2,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
94,LAC-3,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
95,LAC-4,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
96,LAC-5,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
97,LAC-6,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
98,LAC-7,France,47.7,6.81667,Valerie Le Corre,,,Arabidopsis thaliana
99,LDV-1,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
100,LDV-10,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
101,LDV-11,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
102,LDV-12,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
103,LDV-13,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
104,LDV-14,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
105,LDV-15,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
106,LDV-16,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
107,LDV-17,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
108,LDV-18,France,48.5167,-4.06667,Valerie Le Corre,,CS77013,Arabidopsis thaliana
109,LDV-19,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
110,LDV-2,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
111,LDV-20,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
112,LDV-21,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
113,LDV-22,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
114,LDV-23,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
115,LDV-24,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
116,LDV-25,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
117,LDV-26,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
118,LDV-27,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
119,LDV-28,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
120,LDV-29,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
121,LDV-3,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
122,LDV-30,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
123,LDV-31,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
124,LDV-32,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
125,LDV-33,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
126,LDV-34,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
127,LDV-35,France,48.5167,-4.06667,Valerie Le Corre,,,Arabidopsis thaliana
