id	name	country	latitude	longitude	cs_number	RegMap	G1001
1	ALL1-2	France	45.2667	1.48333		TRUE	FALSE
2	ALL1-3	France	45.2667	1.48333		TRUE	FALSE
3	ALL1-4	France	45.2667	1.48333		FALSE	FALSE
4	ALL1-5	France	45.2667	1.48333		TRUE	FALSE
5	ALL1-6	France	45.2667	1.48333		TRUE	FALSE
6	ALL1-7	France	45.2667	1.48333		TRUE	FALSE
7	ALL1-8	France	45.2667	1.48333		TRUE	FALSE
8	ALL1-9	France	45.2667	1.48333		TRUE	FALSE
9	ALL2-1	France	45.2667	1.48333		TRUE	FALSE
10	ALL2-2	France	45.2667	1.48333		FALSE	FALSE
11	ALL2-3	France	45.2667	1.48333		FALSE	FALSE
12	ALL2-4	France	45.2667	1.48333		TRUE	FALSE
13	ALL2-5	France	45.2667	1.48333		FALSE	FALSE
14	ALL2-6	France	45.2667	1.48333		FALSE	FALSE
15	BUI	France	48.3667	0.933333		FALSE	FALSE
16	CAM-1	France	48.2667	-4.58333		FALSE	FALSE
17	CAM-10	France	48.2667	-4.58333		FALSE	FALSE
18	CAM-11	France	48.2667	-4.58333		FALSE	FALSE
19	CAM-12	France	48.2667	-4.58333		FALSE	FALSE
20	CAM-13	France	48.2667	-4.58333		FALSE	FALSE
21	CAM-14	France	48.2667	-4.58333		FALSE	FALSE
22	CAM-15	France	48.2667	-4.58333		FALSE	FALSE
23	CAM-16	France	48.2667	-4.58333		TRUE	FALSE
24	CAM-17	France	48.2667	-4.58333		FALSE	FALSE
25	CAM-18	France	48.2667	-4.58333		FALSE	FALSE
26	CAM-19	France	48.2667	-4.58333		FALSE	FALSE
27	CAM-20	France	48.2667	-4.58333		FALSE	FALSE
28	CAM-21	France	48.2667	-4.58333		FALSE	FALSE
29	CAM-22	France	48.2667	-4.58333		FALSE	FALSE
30	CAM-23	France	48.2667	-4.58333		FALSE	FALSE
31	CAM-24	France	48.2667	-4.58333		FALSE	FALSE
32	CAM-25	France	48.2667	-4.58333		TRUE	FALSE
33	CAM-27	France	48.2667	-4.58333		FALSE	FALSE
34	CAM-28	France	48.2667	-4.58333		FALSE	FALSE
35	CAM-29	France	48.2667	-4.58333		FALSE	FALSE
36	CAM-3	France	48.2667	-4.58333		FALSE	FALSE
37	CAM-30	France	48.2667	-4.58333		FALSE	FALSE
38	CAM-31	France	48.2667	-4.58333		FALSE	FALSE
39	CAM-33	France	48.2667	-4.58333		FALSE	FALSE
40	CAM-35	France	48.2667	-4.58333		FALSE	FALSE
41	CAM-36	France	48.2667	-4.58333		FALSE	FALSE
42	CAM-37	France	48.2667	-4.58333		FALSE	FALSE
43	CAM-38	France	48.2667	-4.58333		FALSE	FALSE
44	CAM-4	France	48.2667	-4.58333		FALSE	FALSE
45	CAM-42	France	48.2667	-4.58333		TRUE	FALSE
46	CAM-43	France	48.2667	-4.58333		FALSE	FALSE
47	CAM-44	France	48.2667	-4.58333		FALSE	FALSE
48	CAM-45	France	48.2667	-4.58333		TRUE	FALSE
49	CAM-46	France	48.2667	-4.58333		FALSE	FALSE
50	CAM-47	France	48.2667	-4.58333		FALSE	FALSE
51	CAM-48	France	48.2667	-4.58333		TRUE	FALSE
52	CAM-49	France	48.2667	-4.58333		FALSE	FALSE
53	CAM-5	France	48.2667	-4.58333		FALSE	FALSE
54	CAM-50	France	48.2667	-4.58333		FALSE	FALSE
55	CAM-51	France	48.2667	-4.58333		FALSE	FALSE
56	CAM-52	France	48.2667	-4.58333		FALSE	FALSE
57	CAM-53	France	48.2667	-4.58333		FALSE	FALSE
58	CAM-54	France	48.2667	-4.58333		FALSE	FALSE
59	CAM-55	France	48.2667	-4.58333		FALSE	FALSE
60	CAM-56	France	48.2667	-4.58333		TRUE	FALSE
61	CAM-57	France	48.2667	-4.58333		FALSE	FALSE
62	CAM-58	France	48.2667	-4.58333		TRUE	FALSE
63	CAM-59	France	48.2667	-4.58333		FALSE	FALSE
64	CAM-6	France	48.2667	-4.58333		FALSE	FALSE
65	CAM-60	France	48.2667	-4.58333		FALSE	FALSE
66	CAM-61	France	48.2667	-4.58333		TRUE	FALSE
67	CAM-62	France	48.2667	-4.58333		FALSE	FALSE
68	CAM-63	France	48.2667	-4.58333		FALSE	FALSE
69	CAM-64	France	48.2667	-4.58333		TRUE	FALSE
70	CAM-66	France	48.2667	-4.58333		FALSE	FALSE
71	CAM-67	France	48.2667	-4.58333		FALSE	FALSE
72	CAM-68	France	48.2667	-4.58333		FALSE	FALSE
73	CAM-69	France	48.2667	-4.58333		FALSE	FALSE
74	CAM-7	France	48.2667	-4.58333		TRUE	FALSE
75	CAM-70	France	48.2667	-4.58333		FALSE	FALSE
76	CAM-9	France	48.2667	-4.58333		FALSE	FALSE
77	CLA-7	France	48.8	2.26667		TRUE	FALSE
78	CLE-6	France	48.9167	-0.483333		FALSE	FALSE
79	CUR-10	France	45	1.75		TRUE	FALSE
80	CUR-2	France	45	1.75		TRUE	FALSE
81	CUR-3	France	45	1.75		TRUE	FALSE
82	CUR-4	France	45	1.75		TRUE	FALSE
83	CUR-5	France	45	1.75		TRUE	FALSE
84	CUR-6	France	45	1.75		TRUE	FALSE
85	CUR-7	France	45	1.75		TRUE	FALSE
86	CUR-8	France	45	1.75		TRUE	FALSE
87	CUR-9	France	45	1.75		TRUE	FALSE
88	CYR	France	47.4	0.683333	CS76790	TRUE	TRUE
89	DAM1	France	48.7	1.98333		TRUE	FALSE
90	DAM2	France	48.7	1.98333		FALSE	FALSE
91	JEA	France	43.6833	7.33333		TRUE	FALSE
92	LAC-1	France	47.7	6.81667		FALSE	FALSE
93	LAC-2	France	47.7	6.81667		FALSE	FALSE
94	LAC-3	France	47.7	6.81667		TRUE	FALSE
95	LAC-4	France	47.7	6.81667		FALSE	FALSE
96	LAC-5	France	47.7	6.81667		TRUE	FALSE
97	LAC-6	France	47.7	6.81667		FALSE	FALSE
98	LAC-7	France	47.7	6.81667		FALSE	FALSE
99	LDV-1	France	48.5167	-4.06667		FALSE	FALSE
100	LDV-10	France	48.5167	-4.06667		FALSE	FALSE
101	LDV-11	France	48.5167	-4.06667		FALSE	FALSE
102	LDV-12	France	48.5167	-4.06667		FALSE	FALSE
103	LDV-13	France	48.5167	-4.06667		FALSE	FALSE
104	LDV-14	France	48.5167	-4.06667		TRUE	FALSE
105	LDV-15	France	48.5167	-4.06667		FALSE	FALSE
106	LDV-16	France	48.5167	-4.06667		TRUE	FALSE
107	LDV-17	France	48.5167	-4.06667		FALSE	FALSE
108	LDV-18	France	48.5167	-4.06667	CS77013	FALSE	TRUE
109	LDV-19	France	48.5167	-4.06667		FALSE	FALSE
110	LDV-2	France	48.5167	-4.06667		FALSE	FALSE
111	LDV-20	France	48.5167	-4.06667		FALSE	FALSE
112	LDV-21	France	48.5167	-4.06667		FALSE	FALSE
113	LDV-22	France	48.5167	-4.06667		FALSE	FALSE
114	LDV-23	France	48.5167	-4.06667		FALSE	FALSE
115	LDV-24	France	48.5167	-4.06667		FALSE	FALSE
116	LDV-25	France	48.5167	-4.06667		TRUE	FALSE
117	LDV-26	France	48.5167	-4.06667		FALSE	FALSE
118	LDV-27	France	48.5167	-4.06667		FALSE	FALSE
119	LDV-28	France	48.5167	-4.06667		FALSE	FALSE
120	LDV-29	France	48.5167	-4.06667		FALSE	FALSE
121	LDV-3	France	48.5167	-4.06667		TRUE	FALSE
122	LDV-30	France	48.5167	-4.06667		TRUE	FALSE
123	LDV-31	France	48.5167	-4.06667		TRUE	FALSE
124	LDV-32	France	48.5167	-4.06667		FALSE	FALSE
125	LDV-33	France	48.5167	-4.06667		FALSE	FALSE
126	LDV-34	France	48.5167	-4.06667		TRUE	FALSE
127	LDV-35	France	48.5167	-4.06667		FALSE	FALSE
128	LDV-36	France	48.5167	-4.06667		FALSE	FALSE
129	LDV-37	France	48.5167	-4.06667		FALSE	FALSE
130	LDV-38	France	48.5167	-4.06667		FALSE	FALSE
131	LDV-39	France	48.5167	-4.06667		FALSE	FALSE
132	LDV-4	France	48.5167	-4.06667		FALSE	FALSE
133	LDV-40	France	48.5167	-4.06667		FALSE	FALSE
134	LDV-41	France	48.5167	-4.06667		FALSE	FALSE
135	LDV-42	France	48.5167	-4.06667		FALSE	FALSE
136	LDV-43	France	48.5167	-4.06667		FALSE	FALSE
137	LDV-44	France	48.5167	-4.06667		TRUE	FALSE
138	LDV-45	France	48.5167	-4.06667		FALSE	FALSE
139	LDV-46	France	48.5167	-4.06667	CS77014	FALSE	TRUE
140	LDV-48	France	48.5167	-4.06667		FALSE	FALSE
141	LDV-49	France	48.5167	-4.06667		FALSE	FALSE
142	LDV-5	France	48.5167	-4.06667		FALSE	FALSE
143	LDV-50	France	48.5167	-4.06667		FALSE	FALSE
144	LDV-51	France	48.5167	-4.06667		FALSE	FALSE
145	LDV-52	France	48.5167	-4.06667		FALSE	FALSE
146	LDV-53	France	48.5167	-4.06667		TRUE	FALSE
147	LDV-54	France	48.5167	-4.06667		FALSE	FALSE
148	LDV-57	France	48.5167	-4.06667		TRUE	FALSE
149	LDV-58	France	48.5167	-4.06667		TRUE	FALSE
150	LDV-59	France	48.5167	-4.06667		FALSE	FALSE
151	LDV-6	France	48.5167	-4.06667		TRUE	FALSE
152	LDV-64	France	48.5167	-4.06667		FALSE	FALSE
153	LDV-68	France	48.5167	-4.06667		TRUE	FALSE
154	LDV-69	France	48.5167	-4.06667		FALSE	FALSE
155	LDV-7	France	48.5167	-4.06667		FALSE	FALSE
156	LDV-70	France	48.5167	-4.06667		TRUE	FALSE
157	LDV-8	France	48.5167	-4.06667		TRUE	FALSE
158	LDV-9	France	48.5167	-4.06667		FALSE	FALSE
159	MAR2-3	France	47.35	3.93333	CS77070	TRUE	TRUE
