"","FT16","DSDS10","Relative_root_growth_rate_day002.day003","Root_horizontal_index_day001","Delta_13C","stomata_density","Stomatal_index_in_first_leaf","X72_Vern_Growth","d8_10C_perc","Growth_rate","RGR","ABA_96h_low_water_potential"
"FT16",0.936742,-0.143473,0.32205,-0.0052502,0.335737,0.0670671,0.326629,0.397459,-0.0258096,0.449185,-0.317749,-0.174009
"DSDS10",-0.143473,0.9217413,-0.232324,-0.0880376,-0.263189,0.023109,-0.304754,-0.238335,-0.12894,-0.414233,0.259774,0.182456
"Relative_root_growth_rate_day002.day003",0.32205,-0.232324,0.9400936,-0.217641,0.374672,0.0228837,0.119708,0.446133,-0.38591,0.305276,-0.283065,0.0177524
"Root_horizontal_index_day001",-0.0052502,-0.0880376,-0.217641,0.592233,-0.0870269,-0.0314125,0.184928,-0.131112,0.627283,0.0719948,-0.0916195,-0.302964
"Delta_13C",0.335737,-0.263189,0.374672,-0.0870269,0.4960451,0.070936,0.399438,0.457246,-0.016232,0.331786,-0.24348,-0.200625
"stomata_density",0.0670671,0.023109,0.0228837,-0.0314125,0.070936,0.2194142,0.0793965,0.109412,0.0376895,0.0888176,-0.15915,-0.132755
"Stomatal_index_in_first_leaf",0.326629,-0.304754,0.119708,0.184928,0.399438,0.0793965,0.32446965,0.33869,0.104776,0.435907,-0.440715,-0.230553
"X72_Vern_Growth",0.397459,-0.238335,0.446133,-0.131112,0.457246,0.109412,0.33869,0.33485575,-0.228354,0.461996,-0.386575,-0.284187
"d8_10C_perc",-0.0258096,-0.12894,-0.38591,0.627283,-0.016232,0.0376895,0.104776,-0.228354,0.8230435,0.117577,-0.0982601,-0.195728
"Growth_rate",0.449185,-0.414233,0.305276,0.0719948,0.331786,0.0888176,0.435907,0.461996,0.117577,0.8453306,-0.384445,-0.229753
"RGR",-0.317749,0.259774,-0.283065,-0.0916195,-0.24348,-0.15915,-0.440715,-0.386575,-0.0982601,-0.384445,0.5270715,0.242941
"ABA_96h_low_water_potential",-0.174009,0.182456,0.0177524,-0.302964,-0.200625,-0.132755,-0.230553,-0.284187,-0.195728,-0.229753,0.242941,0.4576331
