paper	phenotype	pheno_cat_nat_hist	phenotype-noduplicate	numaccessions	phenotypecategory	stressstrategy
Mena_Delgado_AnnBot_2011_PID_21447490	Cotyledon_area	development/growth	Cotyledon_area	40	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	First_leaf_area	development/growth	First_leaf_area	40	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	LA_vs_CA	development/growth	LA_vs_CA	40	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	Pavement_cell_density_in_cotyledon	epidermis/stomata	Pavement_cell_density_in_cotyledon	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	Pavement_cell_density_in_first_leaf	epidermis/stomata	Pavement_cell_density_in_first_leaf	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	PDL_vs_PDC	epidermis/stomata	PDL_vs_PDC	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	SDL_vs_SDC	epidermis/stomata	SDL_vs_SDC	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	SIL_vs_SIC	epidermis/stomata	SIL_vs_SIC	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	Stomatal_density_in_cotyledon	epidermis/stomata	Stomatal_density_in_cotyledon	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	Stomatal_density_in_first_leaf	epidermis/stomata	Stomatal_density_in_first_leaf	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	Stomatal_index_in_cotyledon	epidermis/stomata	Stomatal_index_in_cotyledon	55	Development	Avoidance
Mena_Delgado_AnnBot_2011_PID_21447490	Stomatal_index_in_first_leaf	epidermis/stomata	Stomatal_index_in_first_leaf	55	Development	Avoidance
Ludewig_Chen_FronPlaSci_2016_PID_27507976	Fe_minus		Fe_minus	70	Development	Avoidance
Inze_Clauw_PlantCell_2016_PID_27729396	LeafAreaProliferation_well_watered	rosette_morph	LeafAreaProliferation_well_watered	70	Development	Avoidance
Ludewig_Chen_FronPlaSci_2016_PID_27507976	Zn_minus		Zn_minus	70	Development	Avoidance
Ludewig_Chen_FronPlaSci_2016_PID_27507976	Mn_minus		Mn_minus	71	Development	Avoidance
Inze_Clauw_PlantCell_2016_PID_27729396	LeafAreaProliferation_mild_drought	rosette_morph	LeafAreaProliferation_mild_drought	72	Development	Avoidance
Ludewig_Chen_FronPlaSci_2016_PID_27507976	Mn_plus		Mn_plus	75	Development	Avoidance
