paper	phenotype	numaccessions	phenotypecategory	stressstrategy
1001_Consortium_Cell_2016_PID_27293186	FT10	1058	Reproduction	Escape
1001_Consortium_Cell_2016_PID_27293186	FT16	1021	Reproduction	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS10	177	Development	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS50	177	Development	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS90	177	Development	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	FT	176	Reproduction	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	GAS	177	Development	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	SS	177	Development	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	t10	170	Development	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	t50	170	Development	Escape
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	U8416	170	Development	Avoidance
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	HL23_mm_	93	Development	Avoidance
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	HL27_mm_	93	Development	Avoidance
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	SensHL	93	Development	Avoidance
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	VarTemp	93	Development	Avoidance
Bergelson_Brachi_PNAS_2015_PID_25775585	G2H3B	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G2H4P	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G2P	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G3B	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G3BOP	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G3HP	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G3MSP	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G3MTP	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G4BOB	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G4HB	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G4MSB	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G4MTB	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G4P	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G5MSP	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G5MTP	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G6MSH	595	Metabolite	Tolerance
Bergelson_Brachi_PNAS_2015_PID_25775585	G6MTH	595	Metabolite	Tolerance
