"id","days_to_flowering","days_to_wilting","rSeedWeight","Delta_13C"
932,43,68.3333333333333,0.0234333,-35.9592879442661
1890,42,76.3333333333333,0.0377999666666667,-35.9113199710883
1954,35.3333333333333,73,0.0128333,-35.3050294335586
5151,39,66,0.0358333,-35.3474942644044
5741,67.3333333333333,84.6666666666667,0.0235999666666667,-35.0313004521855
6040,61.3333333333333,85.6666666666667,0.0242999666666667,-33.3184791921
6132,64,85.3333333333333,0.0461666333333334,-34.3150437323
6136,56.5,85,0.0542333,-35.344262951
6138,42.3333333333333,76.3333333333333,0.0400666333333333,-33.9204591616
6177,66.6666666666667,85.6666666666667,0.0603999666666667,-34.613500624
6680,44,71.6666666666667,0.0245999666666667,-35.5023355961699
7008,137.5,86,0.0127333,-35.9058736841
7130,38.3333333333333,70.6666666666667,0.0218999666666667,-35.3141455924364
7169,41.3333333333333,71,0.0101999666666667,-35.640840301619
7307,46.5,79,0.0139333,-36.4642140662442
7353,NA,NA,0.00353330000000002,-35.9596770723891
7416,71.6666666666667,84,0.0381666333333334,-35.4129237673823
8246,32.3333333333333,69.3333333333333,0.0177666333333334,-35.8181309374676
8337,42.5,64.5,0.0433833,-36.206173133819
8376,70,88.3333333333333,0.0308333,-35.202902457
9402,38,76.5,0.0172333,-35.2767968711317
9421,64,85,0.0397999666666667,-30.768533855
9525,51,78,0.0413333,-35.5717743145
9536,30.6666666666667,53.6666666666667,0.0153999666666667,-35.6322628599155
9569,49.6666666666667,84,0.00833330000000001,-35.7241129011742
9579,33.6666666666667,76.6666666666667,0.0381333,-36.0120651365754
9583,35.6666666666667,62.6666666666667,0.0102333,-35.4644535036617
9644,39.6666666666667,66.6666666666667,0.0259666333333334,-35.8835697447242
9705,27.3333333333333,58.3333333333333,0.0242666333333334,-35.9424532076731
9706,53.3333333333333,76.3333333333333,0.0268333,-35.3938300256474
9707,44.3333333333333,75.3333333333333,0.0355666333333334,-35.2128598101903
9738,33,71.6666666666667,0.0206666333333334,-35.8736324232943
9741,52,74.3333333333333,0.0228333,-35.5862107021324
9743,38,77,0.0127999666666667,-35.6804444033963
9748,29,73.6666666666667,0.00333330000000001,-35.7825735072837
9755,28.3333333333333,53.6666666666667,0.0163333,-36.1163440490746
9821,44.5,63.5,0.0201833,-35.1530395232
9826,50.6666666666667,79.3333333333333,0.0252333,-36.9164410764
9831,35,67.5,0.0317333,-36.0259621113284
9882,36.3333333333333,57.3333333333333,0.0154333,-36.0710368803
9895,32.3333333333333,73.3333333333333,0.0285999666666667,-36.596470993
9897,34.6666666666667,69.6666666666667,0.00843330000000001,-36.5163464277
9906,48.6666666666667,73.6666666666667,0.0220333,-35.8714172372
9918,37,68.3333333333333,0.0360666333333334,-35.7765888701565
9925,28,59,0.0105666333333334,-35.669570542913
9928,29,67,0.00619996666666669,-36.081257904143
9935,46,71.5,0.0184333,-36.1280790519326
