id,wt_dc13,flc_mut_dc13
10005,-34.9193355733,-30.7895666666667
10017,-34.9839604448,-30.6689333333333
1002,-36.1477317067,-30.7171311111111
1061,-35.1570827244,-30.7471
1062,-34.7596628797,-30.6244333333333
1063,-35.3622431294,-30.7508333333333
1066,-34.3839030075,-30.6370333333333
1254,-33.6273442132,-30.4713666666666
139,-36.828740517,-31.1849833333333
1890,-35.7976300530452,-30.8047444444444
1954,-36.3691118168137,-30.9541
410,-36.9744424629,-31.2880666666667
430,-36.6303807441,-31.1649833333333
4807,-34.1414069692143,-30.5
5023,-37.0983090262,-31.2809666666667
5151,-36.0534759501776,-31.0411666666667
5165,-35.0903986749,-30.6689333333333
5353,-35.8938733882,-30.8564422222222
5741,-34.0860471125392,-30.1819666666667
5830,-34.7637785895,-30.6244333333333
5832,-35.4417486862,-30.5821666666667
5865,-33.9312191295,-30.4732
5867,-34.6884469617,-30.6365666666666
5907,-37.4137730192,-31.2748666666667
6009,-33.2093557018,-30.4713666666666
6011,-35.7939500782,-30.8202
6012,-34.6800954269,-30.6365666666666
6013,-34.4331272582,-30.6370333333333
6016,-35.0321038318,-30.6689333333333
6019,-35.7131704319,-30.8121
6020,-36.5363097044,-31.0869833333333
6021,-34.9186010914,-30.7895666666667
6034,-33.8971775487,-30.4685
6036,-36.3260478017,-30.9710833333333
6038,-35.4782762529,-30.8287333333333
6039,-37.8715490814,-31.2748666666667
6040,-33.3184791921,-30.1160666666667
6041,-32.6845324216,-30.4713666666666
6043,-35.5687170914,-30.7877333333333
6069,-34.9108748418,-30.7538
6073,-34.2131742108,-30.6217
6074,-34.806159008,-30.6740666666666
6085,-34.6729980545,-30.6365666666666
6088,-35.8176172068,-30.8244333333333
6092,-33.5847121077,-30.4713666666666
6097,-36.2152464389,-30.8716166666667
6098,-35.7906491859,-30.8202
6099,-35.7200821961,-30.8121
6100,-35.3378169841,-30.6338333333333
6104,-33.9756039952,-30.4408666666666
6105,-32.9780678888,-30.4713666666666
6106,-36.2558700569,-30.88865
6109,-34.8307598297,-30.6405666666666
6112,-36.1759219396,-30.83315
6113,-35.4751994384,-30.8354666666667
6124,-35.3812005529,-30.7586333333333
6125,-32.7756707737,-30.4713666666666
6126,-34.303828732,-30.6334
6132,-34.3150437323,-30.2360333333333
6133,-32.8845585105,-30.4713666666666
6134,-34.4535352399,-30.6370333333333
6136,-35.344262951,-30.4799666666667
6137,-34.2719783017,-30.6334
6138,-33.9204591616,-30.4033333333333
6140,-34.1962141487,-30.6217
6142,-35.1991917325,-30.7471
6148,-33.7999373752,-30.4685
6149,-35.9357872597,-30.8750866666667
6150,-35.7106916185,-30.8121
6151,-36.3185472831,-30.8235833333333
6153,-34.3710922736,-30.6370333333333
6169,-36.0963125588,-31.0037666666667
6173,-33.7113185096,-30.4713666666666
6177,-34.613500624,-30.2364333333333
6184,-34.5921901105,-30.6365666666666
6188,-36.3303541708,-30.9710833333333
6189,-35.8521156581,-30.8514
6191,-38.6797102193,-31.2748666666667
6192,-36.5646292219,-31.1374833333333
6193,-37.2277132876,-31.2748666666667
6194,-35.7727353947,-30.8312
6195,-34.9430211292,-30.7983333333333
6201,-36.540382908,-31.0998
6202,-36.0756429038,-31.0027
6203,-36.5990519225,-31.1649166666667
6209,-36.4416412945,-31.1106833333333
6210,-35.5171645427,-30.7887666666666
6235,-33.6626484788,-30.4713666666666
6242,-34.5617076978,-30.6365666666666
6258,-33.5416292015,-30.4713666666666
6268,-35.5768394024,-30.8008666666666
6276,-35.6522924651,-30.8036333333333
6284,-35.0760600777,-30.6689333333333
6296,-36.7369865267,-31.1526833333333
6413,-33.8638529993,-30.5866666666667
6424,-36.6545127178,-31.1375833333333
6445,-37.7004300776,-31.2748666666667
6680,-35.4286254605407,-30.5837666666667
6903,-36.3659883737,-30.9974166666667
6915,-36.0991845618,-31.0122666666667
6918,-34.4856378812,-30.563
6924,-37.4977040435,-31.2748666666667
6933,-37.3451560256,-31.2748666666667
6944,-36.0664053097,-31.0027
6945,-34.1263595829,-30.5901
6957,-35.7988024642,-30.8202
6961,-35.8628802142,-30.8647666666667
6971,-35.1335329393,-30.7471
6987,-36.9831512862,-31.281
6997,-35.7442351061,-30.8305
7002,-36.59281045,-31.1649166666667
7008,-35.9058736841,-30.6452422222222
7013,-36.7300531542,-31.14705
7062,-37.6374956774,-31.2748666666667
7130,-36.1158158300669,-30.9398833333333
7133,-36.9841261093,-31.281
7147,-37.2099572949,-31.2748666666667
7158,-37.018871545,-31.2809666666667
7169,-35.9246303026971,-30.8936333333333
7186,-36.9787401434208,-31.3766666666667
7268,-37.0908368073,-31.2809666666667
7276,-36.4894556292,-31.0989333333333
7307,-35.8128958886969,-30.8601777777778
7327,-35.3498188617,-30.6187666666666
7328,-36.0909439402,-31.0037666666667
7343,-35.9171973004,-30.91892
7346,-36.4097784406,-31.1124166666667
7353,-35.5913697845111,-30.8013333333333
7354,-35.1436368698,-30.7471
7382,-37.6266044685,-31.2748666666667
7416,-34.3017248589062,-30.2763666666667
7701,-35.6310299850327,-30.8033333333333
8214,-35.5781809271,-30.8013333333333
8227,-35.5398668206,-30.7876
8231,-36.5241112118,-31.0991
8234,-36.1761639721,-30.4966666666667
8237,-34.4818628471,-30.563
8240,-33.0135695082,-30.4713666666666
8241,-37.084258891,-31.2809666666667
8242,-36.0626641389,-31.0027
8246,-36.9418470127631,-31.2160333333333
8247,-37.2226874408,-31.2748666666667
8256,-36.7570756625,-31.1792166666667
8259,-36.7682487204,-31.1847833333334
8283,-36.9844790120683,-31.32
8307,-36.609873762,-31.1649166666667
8326,-35.634795556,-30.8008666666666
8335,-34.5562568628,-30.6365666666666
8337,-35.9593131096416,-30.9413666666667
8351,-35.0285688645,-30.6689333333333
8369,-35.3914356876,-31.0066666666667
8376,-35.202902457,-30.3669666666667
8386,-35.5190905301,-30.7887666666666
8422,-35.6625195804,-30.8039666666666
8426,-38.5955471123,-31.2748666666667
9057,-35.8723014651,-30.8564333333333
9079,-34.1898289236193,-30.5466666666667
9102,-34.3402310752066,-30.62
9111,-35.5032458170497,-30.8733333333333
932,-35.9065394893404,-30.9493
9321,-36.3027604121,-30.8057166666666
9323,-35.5172734214984,-30.74
9339,-33.0613051974,-30.4713666666666
9363,-33.5506058309,-30.4713666666666
9371,-34.0518990538,-30.5617
9380,-36.3141250066,-30.8235833333333
9386,-34.689128596,-30.6365666666666
9388,-35.0929905834,-30.6689333333333
9395,-33.8453236614,-30.4685
9399,-35.6893854892,-30.8154
9402,-36.1470738141805,-30.81
9404,-34.3462185063495,-30.6333333333333
9407,-36.1288294775882,-31.1433333333333
9408,-35.2325901194,-30.7471
9409,-35.224788244,-30.7471
9421,-30.768533855,-29.55
9453,-35.4263561903,-30.5837666666667
9454,-35.8101565069,-30.8259
9470,-35.3426228645,-30.6419666666666
9476,-35.0726769746,-30.6689333333333
9519,-34.818729534,-30.6673
9520,-35.8005810697,-30.8202
9521,-34.4568803226,-30.6370333333333
9524,-36.5205795264,-31.0991
9525,-35.5717743145,-30.8910888888889
9526,-36.8294782859,-31.1849833333333
9527,-35.665431775,-30.8037333333333
9528,-35.3150330618,-30.6121
9531,-36.161446957,-30.73585
9532,-35.95147039,-30.9153422222222
9535,-35.8928225087,-30.8564422222222
9536,-36.4331126481981,-31.0917333333333
9539,-35.4103286807,-30.6090666666667
9540,-35.5606663842,-30.7912333333333
9546,-35.8567838895,-30.8514
9547,-35.6683668796,-30.8037333333333
9548,-35.2500757848,-30.7471
9551,-35.9865394297,-30.9436333333334
9552,-36.0312014365,-31.0375333333334
9553,-37.3616518525,-31.2748666666667
9556,-36.6039082074,-31.1649166666667
9557,-34.3162502479,-30.6365
9558,-35.7073667206,-30.8121
9561,-33.6485620642,-30.4713666666666
9562,-36.3610887943,-30.9974166666667
9564,-33.5526060745,-30.4713666666666
9568,-34.8996698434,-30.7504666666666
9569,-36.6364006497044,-31.3066666666667
9573,-35.9125060842,-30.9160422222222
9577,-34.0512826921,-30.5617
9578,-36.0451585208,-31.0037666666667
9579,-36.2958764271994,-30.7979277777778
9581,-34.8463264413,-30.6446333333333
9582,-33.9436208919,-30.08
9583,-36.5049990358036,-31.04
9587,-34.5032695437,-30.563
9588,-34.436673738,-30.6370333333333
9594,-34.8579719291,-30.6470333333333
9595,-35.3662942181,-30.7577
9596,-35.4428798672,-30.5821666666667
9597,-35.5394828427,-30.7876
9599,-37.2556024164,-31.2748666666667
9601,-35.5002273221,-30.8485666666667
9602,-36.0135903552,-30.9845
9644,-36.1026607953507,-30.86
9705,-36.4723156070869,-30.9143666666666
9706,-35.9063885977602,-30.9089422222222
9707,-35.5322088806165,-30.7935555555555
9729,-36.1288294775882,-31.1433333333333
9736,-36.950058728724,-31.16
9738,-36.4630505020471,-31.1466666666667
9741,-35.8440407617944,-30.9866666666667
9743,-36.1470738141805,-30.8066666666667
9748,-36.3798005134177,-30.9956166666666
9755,-36.9648598040392,-31.34
9756,-36.1276497287,-31.00655
9772,-37.5105391815,-31.2748666666667
9776,-37.0884237651,-31.2809666666667
9778,-35.9754907612,-30.9416
9795,-35.1496771009,-30.7471
9804,-37.0390664705,-31.2809666666667
9806,-36.4514660907,-31.0961833333333
9807,-38.1289118943,-31.2748666666667
9811,-36.6282224737,-31.1649833333333
