"trait","fitness","env","mean.x","se.x","signi.x","param.x","lower.x","upper.x","mean.y","se.y","signi.y","param.y","lower.y","upper.y"
"ABA","rFitness","mli",-0.094,0.04,"**","beta",-0.1724,-0.0156,-0.068,0.035,"*","s",-0.1366,0.000600000000000003
"ABA","rFitness","mlp",-0.272,0.081,"***","beta",-0.43076,-0.11324,-0.275,0.075,"***","s",-0.422,-0.128
"ABA","rFitness","thi",0.018,0.008,"***","beta",0.00232,0.03368,0.026,0.012,"***","s",0.00248,0.04952
"ABA","rFitness","thp",-0.024,0.013,"*","beta",-0.04948,0.00148,-0.005,0.013,"ns","s",-0.03048,0.02048
"ABA","rSeeds","mli",0.01,0.029,"ns","beta",-0.04684,0.06684,-0.014,0.024,"ns","s",-0.06104,0.03304
"ABA","rSeeds","mlp",-0.041,0.019,"*","beta",-0.07824,-0.00376000000000001,-0.063,0.017,"***","s",-0.09632,-0.02968
"ABA","rSeeds","thi",0.001,0.007,"ns","beta",-0.01272,0.01472,0.011,0.007,"ns","s",-0.00272,0.02472
"ABA","rSeeds","thp",-0.003,0.011,"ns","beta",-0.02456,0.01856,0.009,0.012,"ns","s",-0.01452,0.03252
"ABA","rSurvival_fruit","mli",-0.095,0.025,"***","beta",-0.144,-0.046,-0.054,0.028,"*","s",-0.10888,0.000879999999999999
"ABA","rSurvival_fruit","mlp",-0.165,0.048,"***","beta",-0.25908,-0.07092,-0.144,0.062,"***","s",-0.26552,-0.02248
"ABA","rSurvival_fruit","thi",0.014,0.005,"**","beta",0.0042,0.0238,0.014,0.005,"***","s",0.0042,0.0238
"ABA","rSurvival_fruit","thp",-0.017,0.011,"ns","beta",-0.03856,0.00456,-0.009,0.01,"ns","s",-0.0286,0.0106
"Delta13C","rFitness","mli",-0.024,0.057,"ns","beta",-0.13572,0.08772,-0.096,0.044,"*","s",-0.18224,-0.00976
"Delta13C","rFitness","mlp",0.016,0.082,"ns","beta",-0.14472,0.17672,-0.053,0.081,"ns","s",-0.21176,0.10576
"Delta13C","rFitness","thi",0.009,0.01,"ns","beta",-0.0106,0.0286,-0.049,0.009,"***","s",-0.06664,-0.03136
"Delta13C","rFitness","thp",-0.011,0.019,"ns","beta",-0.04824,0.02624,-0.073,0.016,"***","s",-0.10436,-0.04164
