"","FT16","DSDS10","Relative_root_growth_rate_day002.day003","Root_horizontal_index_day001","Delta_13C","stomata_density","Stomatal_index_in_first_leaf","X72_Vern_Growth","d8_10C_perc","Growth_rate","RGR","ABA_96h_low_water_potential"
"FT16",0.936742,-0.154698847342005,0.614065930807357,0.00404054678530146,0.317132376404855,0.0429776529782092,0.292450410857449,0.401298717564969,-0.0510812427208183,0.614518357727619,-0.370924612793339,-0.206735049592193
"DSDS10",-0.154698847342005,0.9217413,-0.337864575072807,-0.111663829669254,-0.221215837731218,0.0132480723327566,-0.245277365613259,-0.218879866834071,-0.132893272472064,-0.500602029205251,0.269067159111951,0.191281342740855
"Relative_root_growth_rate_day002.day003",0.614065930807357,-0.337864575072807,0.9400936,-0.36516723975102,0.420364466856271,0.0146430749773713,0.160311588953107,0.452152722027423,-0.452201356923782,0.484176642716746,-0.33443872209606,-0.0250920522176081
"Root_horizontal_index_day001",0.00404054678530146,-0.111663829669254,-0.36516723975102,0.592233,-0.0542938371290588,-0.0172939598139361,0.135894081487011,-0.0869202833345289,0.650259557648157,0.0911471893699808,-0.111036415958712,-0.268323649082694
"Delta_13C",0.317132376404855,-0.221215837731218,0.420364466856271,-0.0542938371290588,0.4960451,0.031610882188633,0.227877500381931,0.30231769870421,-0.0490864696688141,0.305831219893658,-0.200551388878347,-0.169774112295093
"stomata_density",0.0429776529782092,0.0132480723327566,0.0146430749773713,-0.0172939598139361,0.031610882188633,0.2194142,0.0321863204254601,0.0474161811404253,0.0211026652245863,0.0530677924268181,-0.0832141927163178,-0.0764144354597611
"Stomatal_index_in_first_leaf",0.292450410857449,-0.245277365613259,0.160311588953107,0.135894081487011,0.227877500381931,0.0321863204254601,0.32446965,0.205817730605993,0.115736610324359,0.380354446841867,-0.33194771595375,-0.207475739957572
"X72_Vern_Growth",0.401298717564969,-0.218879866834071,0.452152722027423,-0.0869202833345288,0.30231769870421,0.0474161811404253,0.205817730605993,0.33485575,-0.150931143223632,0.40509764453519,-0.29295754453926,-0.221464379581953
"d8_10C_perc",-0.0510812427208183,-0.132893272472064,-0.452201356923782,0.650259557648157,-0.0490864696688141,0.0211026652245863,0.115736610324359,-0.150931143223632,0.8230435,0.101808477754999,-0.0612999557341583,-0.218192270101019
"Growth_rate",0.614518357727619,-0.500602029205251,0.484176642716746,0.0911471893699808,0.305831219893658,0.0530677924268181,0.380354446841867,0.40509764453519,0.101808477754999,0.8453306,-0.447637561920711,-0.301334459937816
"RGR",-0.370924612793339,0.269067159111951,-0.33443872209606,-0.111036415958712,-0.200551388878347,-0.0832141927163178,-0.33194771595375,-0.29295754453926,-0.0612999557341583,-0.447637561920711,0.5270715,0.271767584467214
"ABA_96h_low_water_potential",-0.206735049592193,0.191281342740855,-0.0250920522176081,-0.268323649082694,-0.169774112295093,-0.0764144354597611,-0.207475739957572,-0.221464379581953,-0.218192270101019,-0.301334459937816,0.271767584467214,0.4576331
