"trait","fitness","env","Z","SE","significance","lower est","upper est"
"FT16","rFitness","mli",0.066,0.066,"ns",-0.06336,0.19536
"DSDS10","rFitness","mli",0.038,0.043,"ns",-0.04628,0.12228
"Relative_root_growth_rate_day002.day003","rFitness","mli",0.058,0.057,"ns",-0.05372,0.16972
"Root_horizontal_index_day001","rFitness","mli",0.002,0.037,"ns",-0.07052,0.07452
"Delta_13C","rFitness","mli",0.001,0.032,"ns",-0.06172,0.06372
"stomata_density","rFitness","mli",0,0.009,"ns",-0.01764,0.01764
"Stomatal_index_in_first_leaf","rFitness","mli",-0.028,0.024,"ns",-0.07504,0.01904
"X72_Vern_Growth","rFitness","mli",0.011,0.032,"ns",-0.05172,0.07372
"d8_10C_perc","rFitness","mli",-0.017,0.042,"ns",-0.09932,0.06532
"Growth_rate","rFitness","mli",-0.045,0.052,"ns",-0.14692,0.05692
"RGR","rFitness","mli",-0.009,0.034,"ns",-0.07564,0.05764
"ABA_96h_low_water_potential","rFitness","mli",-0.003,0.026,"ns",-0.05396,0.04796
"FT16","rFitness","mlp",0.032,0.118,"ns",-0.19928,0.26328
"DSDS10","rFitness","mlp",0.26,0.109,"**",0.04636,0.47364
"Relative_root_growth_rate_day002.day003","rFitness","mlp",-0.159,0.125,"ns",-0.404,0.086
"Root_horizontal_index_day001","rFitness","mlp",0.096,0.061,"ns",-0.02356,0.21556
"Delta_13C","rFitness","mlp",-0.04,0.065,"ns",-0.1674,0.0874
"stomata_density","rFitness","mlp",0.023,0.016,"ns",-0.00836,0.05436
"Stomatal_index_in_first_leaf","rFitness","mlp",-0.008,0.049,"ns",-0.10404,0.08804
"X72_Vern_Growth","rFitness","mlp",-0.057,0.067,"ns",-0.18832,0.07432
"d8_10C_perc","rFitness","mlp",0.069,0.073,"ns",-0.07408,0.21208
"Growth_rate","rFitness","mlp",-0.182,0.102,"*",-0.38192,0.01792
"RGR","rFitness","mlp",0.01,0.069,"ns",-0.12524,0.14524
"ABA_96h_low_water_potential","rFitness","mlp",-0.045,0.044,"ns",-0.13124,0.04124
"FT16","rFitness","thi",-0.054,0.013,"***",-0.07948,-0.02852
"DSDS10","rFitness","thi",0.036,0.013,"***",0.01052,0.06148
"Relative_root_growth_rate_day002.day003","rFitness","thi",-0.041,0.015,"***",-0.0704,-0.0116
"Root_horizontal_index_day001","rFitness","thi",-0.011,0.007,"ns",-0.02472,0.00272
"Delta_13C","rFitness","thi",-0.036,0.008,"***",-0.05168,-0.02032
"stomata_density","rFitness","thi",-0.013,0.002,"***",-0.01692,-0.00908
"Stomatal_index_in_first_leaf","rFitness","thi",-0.04,0.006,"***",-0.05176,-0.02824
"X72_Vern_Growth","rFitness","thi",-0.04,0.008,"***",-0.05568,-0.02432
"d8_10C_perc","rFitness","thi",-0.007,0.009,"ns",-0.02464,0.01064
"Growth_rate","rFitness","thi",-0.063,0.012,"***",-0.08652,-0.03948
"RGR","rFitness","thi",0.05,0.008,"***",0.03432,0.06568
"ABA_96h_low_water_potential","rFitness","thi",0.037,0.006,"***",0.02524,0.04876
"FT16","rFitness","thp",-0.058,0.018,"**",-0.09328,-0.02272
"DSDS10","rFitness","thp",0.067,0.018,"***",0.03172,0.10228
"Relative_root_growth_rate_day002.day003","rFitness","thp",-0.05,0.018,"**",-0.08528,-0.01472
"Root_horizontal_index_day001","rFitness","thp",-0.027,0.012,"**",-0.05052,-0.00348
"Delta_13C","rFitness","thp",-0.047,0.01,"***",-0.0666,-0.0274
"stomata_density","rFitness","thp",-0.012,0.004,"***",-0.01984,-0.00416
"Stomatal_index_in_first_leaf","rFitness","thp",-0.048,0.008,"***",-0.06368,-0.03232
"X72_Vern_Growth","rFitness","thp",-0.044,0.01,"***",-0.0636,-0.0244
"d8_10C_perc","rFitness","thp",-0.031,0.014,"*",-0.05844,-0.00356
"Growth_rate","rFitness","thp",-0.083,0.016,"***",-0.11436,-0.05164
"RGR","rFitness","thp",0.059,0.011,"***",0.03744,0.08056
"ABA_96h_low_water_potential","rFitness","thp",0.043,0.008,"***",0.02732,0.05868
"FT16","rSurvival_fruit","mli",0.03,0.036,"ns",-0.04056,0.10056
"DSDS10","rSurvival_fruit","mli",0.152,0.032,"***",0.08928,0.21472
"Relative_root_growth_rate_day002.day003","rSurvival_fruit","mli",0.029,0.035,"ns",-0.0396,0.0976
"Root_horizontal_index_day001","rSurvival_fruit","mli",-0.063,0.026,"**",-0.11396,-0.01204
"Delta_13C","rSurvival_fruit","mli",-0.029,0.021,"ns",-0.07016,0.01216
"stomata_density","rSurvival_fruit","mli",-0.004,0.007,"ns",-0.01772,0.00972
"Stomatal_index_in_first_leaf","rSurvival_fruit","mli",-0.073,0.016,"***",-0.10436,-0.04164
"X72_Vern_Growth","rSurvival_fruit","mli",-0.017,0.02,"ns",-0.0562,0.0222
"d8_10C_perc","rSurvival_fruit","mli",-0.092,0.03,"**",-0.1508,-0.0332
"Growth_rate","rSurvival_fruit","mli",-0.123,0.031,"***",-0.18376,-0.06224
"RGR","rSurvival_fruit","mli",0.049,0.022,"*",0.00588,0.09212
"ABA_96h_low_water_potential","rSurvival_fruit","mli",0.045,0.02,"*",0.0058,0.0842
"FT16","rSurvival_fruit","mlp",-0.051,0.086,"ns",-0.21956,0.11756
"DSDS10","rSurvival_fruit","mlp",0.249,0.088,"***",0.07652,0.42148
"Relative_root_growth_rate_day002.day003","rSurvival_fruit","mlp",-0.143,0.087,"*",-0.31352,0.02752
