"Axis","Eigenvalue","Prop_Variance","Top_Traits"
"g1",3.30208205,0.445,"Growth_rate, FT16, Relative_root_growth_rate_day002.day003, RGR"
"g2",1.87990629,0.253,"d8_10C_perc, Root_horizontal_index_day001, Relative_root_growth_rate_day002.day003, ABA_96h_low_water_potential"
"g3",0.75946901,0.102,"DSDS10, FT16, ABA_96h_low_water_potential, Root_horizontal_index_day001"
"g4",0.41593795,0.056,"ABA_96h_low_water_potential, FT16, RGR, Delta_13C"
"g5",0.33195293,0.045,"Delta_13C, RGR, Growth_rate, d8_10C_perc"
"g6",0.21175826,0.029,"RGR, ABA_96h_low_water_potential, Stomatal_index_in_first_leaf, stomata_density"
"g7",0.2002262,0.027,"stomata_density, ABA_96h_low_water_potential, d8_10C_perc, Root_horizontal_index_day001"
"g8",0.18533165,0.025,"Growth_rate, Relative_root_growth_rate_day002.day003, Stomatal_index_in_first_leaf, Delta_13C"
"g9",0.11405721,0.015,"FT16, Growth_rate, Stomatal_index_in_first_leaf, Relative_root_growth_rate_day002.day003"
"g10",0.0179517,0.002,"Root_horizontal_index_day001, d8_10C_perc, RGR, Stomatal_index_in_first_leaf"
"g11",3e-08,0,"Stomatal_index_in_first_leaf, Relative_root_growth_rate_day002.day003, d8_10C_perc, Delta_13C"
"g12",2e-08,0,"X72_Vern_Growth, ABA_96h_low_water_potential, Delta_13C, Growth_rate"
