"Axis","Eigenvalue","Prop_Variance","Top_Traits"
"g1",3.302082,0.445,"Growth_rate (+), FT16 (+), Relative_root_growth_rate_day002.day003 (+), RGR (-), DSDS10 (-)"
"g2",1.879906,0.253,"d8_10C_perc (-), Root_horizontal_index_day001 (-), Relative_root_growth_rate_day002.day003 (+), ABA_96h_low_water_potential (+), DSDS10 (+)"
"g3",0.759469,0.102,"DSDS10 (-), FT16 (-), ABA_96h_low_water_potential (+), Root_horizontal_index_day001 (-), stomata_density (-)"
"g4",0.415938,0.056,"ABA_96h_low_water_potential (-), FT16 (-), RGR (-), Delta_13C (+), stomata_density (+)"
"g5",0.331953,0.045,"Delta_13C (-), RGR (-), Growth_rate (+), d8_10C_perc (-), Relative_root_growth_rate_day002.day003 (-)"
"g6",0.211758,0.029,"RGR (+), ABA_96h_low_water_potential (-), Stomatal_index_in_first_leaf (-), stomata_density (+), Growth_rate (+)"
"g7",0.200226,0.027,"stomata_density (-), ABA_96h_low_water_potential (-), d8_10C_perc (-), Root_horizontal_index_day001 (+), Delta_13C (-)"
"g8",0.185332,0.025,"Growth_rate (-), Relative_root_growth_rate_day002.day003 (+), Stomatal_index_in_first_leaf (-), Delta_13C (-), RGR (-)"
"g9",0.114057,0.015,"FT16 (+), Growth_rate (-), Stomatal_index_in_first_leaf (+), Relative_root_growth_rate_day002.day003 (-), DSDS10 (-)"
"g10",0.017952,0.002,"Root_horizontal_index_day001 (-), d8_10C_perc (+), RGR (-), Stomatal_index_in_first_leaf (-), Relative_root_growth_rate_day002.day003 (-)"
"g11",0,0,"Stomatal_index_in_first_leaf (-), Relative_root_growth_rate_day002.day003 (-), d8_10C_perc (-), Delta_13C (+), Root_horizontal_index_day001 (+)"
"g12",0,0,"X72_Vern_Growth (+), ABA_96h_low_water_potential (+), Delta_13C (-), Growth_rate (-), Relative_root_growth_rate_day002.day003 (-)"
