id	FT16	DSDS10	X116_DTFplantingSummerLocSweden2009	X118_DTFlocSweden2009	X120_DTFplantingLoc2008	Average_root_width_day001	Euclidian_length_day001	Relative_root_growth_rate_day001.day002	Relative_root_growth_rate_day004.day005	Root_angle_day001	Root_angle_day003	Root_directional_equivalent_day002	Root_growth_rate_day004.day005	Root_linearity_avg	Root_linearity_day001	Root_linearity_day002	Root_tortuosity_day003	Root_tortuosity_day005	Root_width_100_day001	Root_width_100_day004	Root_width_100_day005	Root_width_40_day002	FT_tli	FT_tlp	RosetteArea_mild_drought	RosetteArea_well_watered	StomatalIndex_mild_drought	StomatalIndex_well_watered	RGRav	RGRbv	leucine_exp1	proline_exp1	rhamnose_1_exp2	Delta_13C	stomata_density	stomatasize	First_leaf_area	Stomatal_density_in_cotyledon	Stomatal_density_in_first_leaf	Stomatal_index_in_first_leaf	X29_FLC	X32_FT_Duration_GH	X39_After_Vern_Growth	X45_Germ_22	X59_Germ_10	X6_Leaf_serr_10	X60_Germ_16	X68_Germ_in_dark	X69_FRI	X72_Vern_Growth	X77_Trichome_avg_JA	X90_Seedling_Growth	X92_Leaf_serr_22	X94_Seed_Dormancy	X294_Germination_rate_21C	Germination_22C	Germination_30C	d8_10C_perc	DTgerm	germination_3days	Growth_rate	RGR	ABA_96h_low_water_potential	drought_index
88	50.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.95238095	2	NA	4.7686	100.4288787	NA	NA
108	52.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	54.80769231	5	NA	4.769754098	107.9880619	NA	NA
139	52.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-36.828740517	173.3333333333	96.3193726241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.56521739	3	NA	4.96559322	141.749513	NA	NA
159	56.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161.4	167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.47044335	2	NA	7.634036697	121.8254113	NA	-0.000591739
265	47.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159.1666667	168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27.42857143	3	NA	2.714395604	118.3253041	NA	0.000371342
350	51.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.92307692	2	NA	NA	NA	NA	NA
351	65.33333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.05997001	2	NA	NA	NA	NA	NA
403	54.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157.6	166.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	NA	NA	NA	NA
410	65.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-36.9744424629	110	104.6277	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	94.4683908	2	NA	4.124888889	114.4366341	NA	NA
424	68.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	NA	NA	NA	NA	NA
