trait	env	fitness	beta	beta.s	s	s.s
ABA	mli	rFitness	-0.094 (-0.172, -0.0156)	**	-0.068 (-0.1366, 0.000600000000000003)	*
ABA	mlp	rFitness	-0.272 (-0.431, -0.11324)	***	-0.275 (-0.422, -0.128)	***
ABA	mli	rSeeds	0.01 (-0.0468, 0.06684)	ns	-0.014 (-0.06104, 0.03304)	ns
ABA	mlp	rSeeds	-0.041 (-0.0782, -0.00376000000000001)	*	-0.063 (-0.09632, -0.02968)	***
ABA	mli	rSurvival_fruit	-0.095 (-0.144, -0.046)	***	-0.054 (-0.10888, 0.000879999999999999)	*
ABA	mlp	rSurvival_fruit	-0.165 (-0.259, -0.07092)	***	-0.144 (-0.26552, -0.02248)	***
Delta13C	mli	rFitness	-0.024 (-0.136, 0.08772)	ns	-0.096 (-0.18224, -0.00976)	*
Delta13C	mlp	rFitness	0.016 (-0.145, 0.17672)	ns	-0.053 (-0.21176, 0.10576)	ns
Delta13C	mli	rSeeds	0.005 (-0.0989, 0.10888)	ns	0.049 (-0.0196, 0.1176)	ns
Delta13C	mlp	rSeeds	0.028 (-0.019, 0.07504)	ns	0.048 (0.0088, 0.0872)	**
Delta13C	mli	rSurvival_fruit	-0.023 (-0.0994, 0.05344)	ns	-0.112 (-0.17668, -0.04732)	***
Delta13C	mlp	rSurvival_fruit	-0.091 (-0.224, 0.04228)	ns	-0.153 (-0.26864, -0.03736)	*
Dormancy	mli	rFitness	-0.018 (-0.0964, 0.0604)	ns	0.08 (0.01924, 0.14076)	***
Dormancy	mlp	rFitness	0.121 (-0.116, 0.35816)	ns	0.151 (-0.04304, 0.34504)	ns
Dormancy	mli	rSeeds	-0.04 (-0.103, 0.02272)	ns	-0.079 (-0.12408, -0.03392)	***
Dormancy	mlp	rSeeds	0.077 (0.00448, 0.14952)	*	0.001 (-0.06172, 0.06372)	ns
Dormancy	mli	rSurvival_fruit	0.074 (0.0132, 0.13476)	**	0.181 (0.10848, 0.25352)	***
Dormancy	mlp	rSurvival_fruit	0.03 (-0.148, 0.20836)	ns	0.182 (0.02324, 0.34076)	**
FloweringTime	mli	rFitness	0.184 (0.0409, 0.32708)	**	-0.081 (-0.18096, 0.01896)	ns
FloweringTime	mlp	rFitness	0.425 (0.145, 0.70528)	***	-0.005 (-0.19316, 0.18316)	ns
FloweringTime	mli	rSeeds	-0.022 (-0.14, 0.0956)	ns	0.068 (-0.00843999999999999, 0.14444)	***
FloweringTime	mlp	rSeeds	-0.006 (-0.0707, 0.05868)	ns	0.04 (0.000800000000000002, 0.0792)	*
FloweringTime	mli	rSurvival_fruit	0.19 (0.0606, 0.31936)	***	-0.087 (-0.15364, -0.02036)	**
FloweringTime	mlp	rSurvival_fruit	0.357 (0.104, 0.60984)	***	-0.085 (-0.23004, 0.06004)	ns
GerminationPerc	mli	rFitness	0.004 (-0.0862, 0.09416)	ns	-0.012 (-0.09628, 0.07228)	ns
GerminationPerc	mlp	rFitness	0.159 (-0.00368, 0.32168)	*	0.037 (-0.11196, 0.18596)	ns
GerminationPerc	mli	rSeeds	0.046 (-0.0167, 0.10872)	ns	0.076 (0.01916, 0.13284)	***
GerminationPerc	mlp	rSeeds	0.097 (0.048, 0.146)	***	0.093 (0.04204, 0.14396)	***
GerminationPerc	mli	rSurvival_fruit	-0.041 (-0.117, 0.03544)	ns	-0.106 (-0.17852, -0.03348)	**
GerminationPerc	mlp	rSurvival_fruit	0.04 (-0.123, 0.20268)	ns	-0.07 (-0.19152, 0.05152)	ns
GrowthRate	mli	rFitness	-0.209 (-0.362, -0.05612)	***	-0.185 (-0.2634, -0.1066)	***
GrowthRate	mlp	rFitness	-0.427 (-0.741, -0.1134)	**	-0.214 (-0.39432, -0.03368)	*
GrowthRate	mli	rSeeds	-0.037 (-0.147, 0.07276)	ns	0.085 (0.02424, 0.14576)	***
GrowthRate	mlp	rSeeds	-0.052 (-0.121, 0.0166)	*	0.048 (0.0088, 0.0872)	*
GrowthRate	mli	rSurvival_fruit	-0.206 (-0.308, -0.10408)	***	-0.219 (-0.28172, -0.15628)	***
GrowthRate	mlp	rSurvival_fruit	-0.441 (-0.702, -0.18032)	***	-0.31 (-0.43348, -0.18652)	***
RGR	mli	rFitness	-0.068 (-0.158, 0.02216)	ns	0.045 (-0.02556, 0.11556)	ns
RGR	mlp	rFitness	-0.121 (-0.327, 0.0848)	ns	0.019 (-0.16524, 0.20324)	ns
RGR	mli	rSeeds	-0.01 (-0.0923, 0.07232)	ns	-0.078 (-0.13484, -0.02116)	***
RGR	mlp	rSeeds	-0.047 (-0.0901, -0.00388)	*	-0.069 (-0.10624, -0.03176)	***
RGR	mli	rSurvival_fruit	-0.028 (-0.106, 0.0504)	ns	0.114 (0.0454, 0.1826)	***
RGR	mlp	rSurvival_fruit	-0.011 (-0.203, 0.18108)	ns	0.156 (0.00508, 0.30692)	***
RootHorizIndex	mli	rFitness	0.079 (-0.07, 0.22796)	ns	-0.005 (-0.09908, 0.08908)	ns
RootHorizIndex	mlp	rFitness	-0.119 (-0.323, 0.08484)	ns	-0.029 (-0.16228, 0.10428)	ns
RootHorizIndex	mli	rSeeds	0.046 (-0.052, 0.144)	ns	0.055 (0.000120000000000002, 0.10988)	*
RootHorizIndex	mlp	rSeeds	0.011 (-0.0458, 0.06784)	ns	0.031 (-0.02192, 0.08392)	ns
RootHorizIndex	mli	rSurvival_fruit	0.018 (-0.078, 0.11404)	ns	-0.056 (-0.12264, 0.01064)	*
RootHorizIndex	mlp	rSurvival_fruit	-0.092 (-0.366, 0.1824)	ns	-0.045 (-0.16064, 0.07064)	ns
RootRGR	mli	rFitness	0.157 (0.0218, 0.29224)	**	0.056 (-0.04788, 0.15988)	ns
RootRGR	mlp	rFitness	-0.094 (-0.396, 0.20784)	ns	-0.026 (-0.16908, 0.11708)	ns
RootRGR	mli	rSeeds	0.015 (-0.0536, 0.0836)	ns	-0.009 (-0.0384, 0.0204)	ns
RootRGR	mlp	rSeeds	0.017 (-0.0477, 0.08168)	ns	0.015 (-0.03792, 0.06792)	ns
RootRGR	mli	rSurvival_fruit	0.117 (0.0425, 0.19148)	***	0.067 (-0.02904, 0.16304)	*
RootRGR	mlp	rSurvival_fruit	-0.069 (-0.257, 0.11916)	ns	-0.055 (-0.14124, 0.03124)	ns
StomataDensity	mli	rFitness	-0.038 (-0.152, 0.07568)	ns	-0.051 (-0.13724, 0.03524)	ns
StomataDensity	mlp	rFitness	0.073 (-0.0701, 0.21608)	ns	0.014 (-0.10948, 0.13748)	ns
StomataDensity	mli	rSeeds	0.021 (-0.0809, 0.12292)	ns	0.039 (-0.03156, 0.10956)	ns
StomataDensity	mlp	rSeeds	0.064 (0.0189, 0.10908)	***	0.048 (0.01272, 0.08328)	***
StomataDensity	mli	rSurvival_fruit	-0.034 (-0.108, 0.04048)	ns	-0.059 (-0.12368, 0.00568)	*
StomataDensity	mlp	rSurvival_fruit	-0.06 (-0.195, 0.07524)	ns	-0.08 (-0.18584, 0.02584)	*
StomataSize	mli	rFitness	-0.035 (-0.133, 0.063)	ns	0.036 (-0.04044, 0.11244)	ns
StomataSize	mlp	rFitness	0.062 (-0.0889, 0.21292)	ns	0.04 (-0.0972, 0.1772)	ns
StomataSize	mli	rSeeds	-0.006 (-0.0883, 0.07632)	ns	-0.032 (-0.0908, 0.0268)	ns
StomataSize	mlp	rSeeds	0.059 (0.00804, 0.10996)	**	0 (-0.03528, 0.03528)	ns
StomataSize	mli	rSurvival_fruit	-0.005 (-0.0854, 0.07536)	ns	0.051 (-0.00192000000000001, 0.10392)	*
StomataSize	mlp	rSurvival_fruit	-0.068 (-0.205, 0.0692)	ns	0.026 (-0.08964, 0.14164)	ns
Vernalization	mli	rFitness	-0.197 (-0.413, 0.0186)	*	-0.157 (-0.2452, -0.0688)	***
Vernalization	mlp	rFitness	-0.203 (-0.591, 0.18508)	ns	-0.145 (-0.30964, 0.01964)	*
Vernalization	mli	rSeeds	0.112 (-0.0409, 0.26488)	*	0.098 (0.0294, 0.1666)	***
Vernalization	mlp	rSeeds	0.099 (0.0147, 0.18328)	**	0.067 (0.02976, 0.10424)	***
Vernalization	mli	rSurvival_fruit	-0.172 (-0.319, -0.025)	**	-0.185 (-0.24968, -0.12032)	***
Vernalization	mlp	rSurvival_fruit	-0.111 (-0.423, 0.20064)	ns	-0.237 (-0.35264, -0.12136)	***
