trait	env	fitness	beta	beta.s	s	s.s
ABA	thi	rFitness	0.018 (0.00232, 0.0337)	***	0.026 (0.00248, 0.04952)	***
ABA	thp	rFitness	-0.024 (-0.04948, 0.00148)	*	-0.005 (-0.03048, 0.02048)	ns
ABA	thi	rSeeds	0.001 (-0.01272, 0.0147)	ns	0.011 (-0.00272, 0.02472)	ns
ABA	thp	rSeeds	-0.003 (-0.02456, 0.0186)	ns	0.009 (-0.01452, 0.03252)	ns
ABA	thi	rSurvival_fruit	0.014 (0.0042, 0.0238)	**	0.014 (0.0042, 0.0238)	***
ABA	thp	rSurvival_fruit	-0.017 (-0.03856, 0.00456)	ns	-0.009 (-0.0286, 0.0106)	ns
Delta13C	thi	rFitness	0.009 (-0.0106, 0.0286)	ns	-0.049 (-0.06664, -0.03136)	***
Delta13C	thp	rFitness	-0.011 (-0.04824, 0.0262)	ns	-0.073 (-0.10436, -0.04164)	***
Delta13C	thi	rSeeds	0.008 (-0.00964, 0.0256)	ns	-0.048 (-0.06564, -0.03036)	***
Delta13C	thp	rSeeds	-0.013 (-0.03456, 0.00856)	ns	-0.059 (-0.08252, -0.03548)	***
Delta13C	thi	rSurvival_fruit	0.001 (-0.01468, 0.0167)	ns	-0.004 (-0.01576, 0.00776)	ns
Delta13C	thp	rSurvival_fruit	0.001 (-0.03232, 0.0343)	ns	-0.02 (-0.04548, 0.00548)	*
Dormancy	thi	rFitness	0.001 (-0.02644, 0.0284)	ns	0.04 (0.01844, 0.06156)	***
Dormancy	thp	rFitness	0.014 (-0.02716, 0.0552)	ns	0.069 (0.03568, 0.10232)	***
Dormancy	thi	rSeeds	-0.003 (-0.0226, 0.0166)	ns	0.037 (0.01936, 0.05464)	***
Dormancy	thp	rSeeds	-0.014 (-0.03752, 0.00952)	ns	0.033 (0.0134, 0.0526)	***
Dormancy	thi	rSurvival_fruit	0.002 (-0.01172, 0.0157)	ns	0.001 (-0.0088, 0.0108)	ns
Dormancy	thp	rSurvival_fruit	0.03 (0.00452, 0.0555)	**	0.036 (0.01052, 0.06148)	***
FloweringTime	thi	rFitness	0.017 (-0.01632, 0.0503)	ns	-0.068 (-0.0876, -0.0484)	***
FloweringTime	thp	rFitness	0.045 (-0.00596, 0.096)	*	-0.082 (-0.1114, -0.0526)	***
FloweringTime	thi	rSeeds	0.021 (-0.00644, 0.0484)	ns	-0.062 (-0.07768, -0.04632)	***
FloweringTime	thp	rSeeds	0.038 (0.01056, 0.0654)	***	-0.06 (-0.0796, -0.0404)	***
FloweringTime	thi	rSurvival_fruit	-0.008 (-0.0276, 0.0116)	ns	-0.007 (-0.01876, 0.00476)	ns
FloweringTime	thp	rSurvival_fruit	0.015 (-0.03008, 0.0601)	ns	-0.022 (-0.04552, 0.00152)	*
GerminationPerc	thi	rFitness	-0.002 (-0.02356, 0.0196)	ns	-0.014 (-0.03556, 0.00756)	ns
