mean	se	signi	param	lower	upper	trait	fitness	env
0.048	0.097	ns	s	-0.14212	0.23812	Delta_13C	rFitness	mlp
-0.11	0.075	ns	s	-0.257	0.037	Delta_13C	rFitness	mli
-0.038	0.016	**	s	-0.06936	-0.00664	Delta_13C	rFitness	mhi
-0.005	0.017	ns	s	-0.03832	0.02832	Delta_13C	rFitness	mhp
0.011	0.058	ns	s	-0.10268	0.12468	Delta_13C	rFitness	tlp
0.078	0.031	***	s	0.01724	0.13876	Delta_13C	rFitness	tli
-0.021	0.016	ns	s	-0.05236	0.01036	Delta_13C	rFitness	thi
-0.051	0.03	*	s	-0.1098	0.0078	Delta_13C	rFitness	thp
-0.054	0.101	ns	s	-0.25196	0.14396	Delta_13C	rSurvival_fruit	mlp
-0.091	0.052	*	s	-0.19292	0.01092	Delta_13C	rSurvival_fruit	mli
-0.005	0.01	ns	s	-0.0246	0.0146	Delta_13C	rSurvival_fruit	mhi
0.012	0.01	ns	s	-0.0076	0.0316	Delta_13C	rSurvival_fruit	mhp
-0.007	0.053	ns	s	-0.11088	0.09688	Delta_13C	rSurvival_fruit	tlp
0.082	0.026	***	s	0.03104	0.13296	Delta_13C	rSurvival_fruit	tli
0	0.009	ns	s	-0.01764	0.01764	Delta_13C	rSurvival_fruit	thi
-0.005	0.022	ns	s	-0.04812	0.03812	Delta_13C	rSurvival_fruit	thp
0.133	0.119	ns	s	-0.10024	0.36624	Delta_13C	rSeeds	mlp
-0.062	0.084	ns	s	-0.22664	0.10264	Delta_13C	rSeeds	mli
-0.028	0.013	*	s	-0.05348	-0.00252	Delta_13C	rSeeds	mhi
-0.016	0.014	ns	s	-0.04344	0.01144	Delta_13C	rSeeds	mhp
0.002	0.031	ns	s	-0.05876	0.06276	Delta_13C	rSeeds	tlp
-0.002	0.018	ns	s	-0.03728	0.03328	Delta_13C	rSeeds	tli
-0.019	0.014	ns	s	-0.04644	0.00844	Delta_13C	rSeeds	thi
-0.059	0.02	***	s	-0.0982	-0.0198	Delta_13C	rSeeds	thp
