mean	se	signi	param	lower	upper	trait	fitness	env
0.129	0.062	*	s	0.00748	0.25052	DSDS50.1	rFitness	mli
0.028	0.021	*	s	-0.01316	0.06916	DSDS50	rFitness	mhp
0.071	0.035	**	s	0.00239999999999999	0.1396	DSDS50	rFitness	tli
0.04	0.019	**	s	0.00276000000000001	0.07724	DSDS50	rFitness	thi
0.059	0.015	***	s	0.0296	0.0884	DSDS50.1	rFitness	thi
0.092	0.035	**	s	0.0234	0.1606	DSDS50	rFitness	thp
0.064	0.023	***	s	0.01892	0.10908	DSDS50.1	rFitness	thp
0.223	0.062	***	s	0.10148	0.34452	DSDS50	rSurvival_fruit	mli
0.21	0.055	***	s	0.1022	0.3178	DSDS50.1	rSurvival_fruit	mli
0.138	0.038	***	s	0.06352	0.21248	DSDS50	rSurvival_fruit	tli
0.067	0.027	***	s	0.01408	0.11992	DSDS50.1	rSurvival_fruit	tli
0.061	0.027	**	s	0.00808	0.11392	DSDS50	rSurvival_fruit	thp
-0.13	0.06	***	s	-0.2476	-0.0124	DSDS50	rSeeds	mli
0.027	0.011	**	s	0.00544	0.04856	DSDS50.1	rSeeds	mhi
0.023	0.013	*	s	-0.00248	0.04848	DSDS50	rSeeds	mhp
0.022	0.01	***	s	0.0024	0.0416	DSDS50.1	rSeeds	mhp
-0.049	0.021	***	s	-0.09016	-0.00784	DSDS50	rSeeds	tli
-0.049	0.016	***	s	-0.08036	-0.01764	DSDS50.1	rSeeds	tli
0.042	0.017	***	s	0.00868	0.07532	DSDS50	rSeeds	thi
0.05	0.01	***	s	0.0304	0.0696	DSDS50.1	rSeeds	thi
0.028	0.017	*	s	-0.00532	0.06132	DSDS50	rSeeds	thp
0.051	0.016	***	s	0.01964	0.08236	DSDS50.1	rSeeds	thp
-0.044	0.015	***	s	-0.0734	-0.0146	base_perc	rFitness	thi
-0.057	0.022	***	s	-0.10012	-0.01388	base_perc	rFitness	thp
-0.112	0.047	***	s	-0.20412	-0.01988	base_perc	rSurvival_fruit	mli
-0.06	0.023	***	s	-0.10508	-0.01492	base_perc	rSurvival_fruit	tli
-0.028	0.016	*	s	-0.05936	0.00336	base_perc	rSurvival_fruit	thp
0.152	0.108	*	s	-0.05968	0.36368	base_perc	rSeeds	mlp
0.044	0.017	***	s	0.01068	0.07732	base_perc	rSeeds	tli
-0.039	0.011	***	s	-0.06056	-0.01744	base_perc	rSeeds	thi
-0.027	0.013	*	s	-0.05248	-0.00152	base_perc	rSeeds	thp
