mean	se	signi	param	lower	upper	trait	fitness	env
-0.196	0.106	**	s	-0.40376	0.01176	FT_mlp	rFitness	mlp
-0.191	0.044	***	s	-0.27724	-0.10476	FT_mli	rFitness	mli
-0.065	0.01	***	s	-0.0846	-0.0454	FT_mhi	rFitness	mhi
-0.062	0.013	***	s	-0.08748	-0.03652	FT_mhp	rFitness	mhp
0.033	0.035	ns	s	-0.0356	0.1016	FT_tlp	rFitness	tlp
-0.06	0.021	***	s	-0.10116	-0.01884	FT_tli	rFitness	tli
-0.085	0.012	***	s	-0.10852	-0.06148	FT_thi	rFitness	thi
-0.137	0.021	***	s	-0.17816	-0.09584	FT_thp	rFitness	thp
-0.306	0.109	***	s	-0.51964	-0.09236	FT_mlp	rSurvival_fruit	mlp
-0.282	0.034	***	s	-0.34864	-0.21536	FT_mli	rSurvival_fruit	mli
-0.005	0.006	ns	s	-0.01676	0.00676	FT_mhi	rSurvival_fruit	mhi
0.003	0.01	ns	s	-0.0166	0.0226	FT_mhp	rSurvival_fruit	mhp
-0.005	0.041	ns	s	-0.08536	0.07536	FT_tlp	rSurvival_fruit	tlp
-0.092	0.021	***	s	-0.13316	-0.05084	FT_tli	rSurvival_fruit	tli
-0.005	0.006	ns	s	-0.01676	0.00676	FT_thi	rSurvival_fruit	thi
-0.066	0.015	***	s	-0.0954	-0.0366	FT_thp	rSurvival_fruit	thp
0.05	0.056	ns	s	-0.05976	0.15976	FT_mlp	rSeeds	mlp
0.085	0.044	*	s	-0.00123999999999999	0.17124	FT_mli	rSeeds	mli
-0.06	0.01	***	s	-0.0796	-0.0404	FT_mhi	rSeeds	mhi
-0.07	0.009	***	s	-0.08764	-0.05236	FT_mhp	rSeeds	mhp
-0.001	0.037	ns	s	-0.07352	0.07152	FT_tlp	rSeeds	tlp
0.03	0.013	***	s	0.00452	0.05548	FT_tli	rSeeds	tli
-0.08	0.01	***	s	-0.0996	-0.0604	FT_thi	rSeeds	thi
-0.074	0.011	***	s	-0.09556	-0.05244	FT_thp	rSeeds	thp
