Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT2G25620	2050295	AT2G25620.1	cytosol	GO:0005829	241	comp	cytosol	IDA	Publication:501745373|PMID:22021419  	TAIR	03/22/2013 00:00:00
AT2G25620	2050296	AT2G25620	protein dephosphorylation	GO:0006470	6878	proc	other cellular processes | other metabolic processes	IBA	Communication:501741973		11/23/2022 00:00:00
AT2G25620	2050295	AT2G25620.1	nucleus	GO:0005634	537	comp	nucleus	IDA	Publication:501745373|PMID:22021419  	TAIR	03/22/2013 00:00:00
AT2G25620	2050296	AT2G25620	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501776083|PMID:28650476  		11/22/2022 00:00:00
AT2G25620	2050295	AT2G25620.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT2G25620	2050296	AT2G25620	myosin phosphatase activity	GO:0017018	3284	func	hydrolase activity | catalytic activity	IEA	AnalysisReference:501756967		11/22/2022 00:00:00
AT2G25620	2050296	AT2G25620	regulation of defense response to virus	GO:0050688	17601	proc	response to external stimulus | response to stress | response to biotic stimulus	IMP	Publication:501737796|PMID:20508138  		07/07/2010 00:00:00
AT2G25620	6532558394	AT2G25620.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00440	2126041	AT4G00440	regulation of hormone levels	GO:0010817	30939	proc	other biological processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00440	6532550138	AT4G00440.4	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00440	2126041	AT4G00440	cellular lipid metabolic process	GO:0044255	19692	proc	lipid metabolic process | other metabolic processes | other cellular processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00440	6532552658	AT4G00440.5	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00440	4010712805	AT4G00440.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00440	2126041	AT4G00440	shoot system morphogenesis	GO:0010016	13856	proc	multicellular organism development | anatomical structure development	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00440	2126041	AT4G00440	cell differentiation	GO:0030154	9398	proc	cell differentiation	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00440	2126041	AT4G00440	developmental growth	GO:0048589	21420	proc	growth	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00440	2126040	AT4G00440.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00440	4010712806	AT4G00440.3	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00440	2126041	AT4G00440	meristem development	GO:0048507	19325	proc	anatomical structure development	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00440	2126041	AT4G00440	molecular_function_unknown	GO:0003674	3226	func	unknown molecular functions	ND	Communication:1345790	TAIR	05/08/2009 00:00:00
AT4G00440	2126041	AT4G00440	lipid biosynthetic process	GO:0008610	6184	proc	biosynthetic process | other metabolic processes | lipid metabolic process	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00440	2126041	AT4G00440	cell division	GO:0051301	20664	proc	other cellular processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00630	2127123	AT4G00630	regulation of photosynthesis	GO:0010109	14864	proc	photosynthesis | other cellular processes | other metabolic processes	IMP	Publication:501797900|PMID:35193734  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	regulation of seedling development	GO:1900140	40337	proc	multicellular organism development | post-embryonic development	IMP	Publication:501797900|PMID:35193734  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	chloroplast	GO:0009507	175	comp	chloroplast	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00630	2127123	AT4G00630	membrane	GO:0016020	453	comp	other membranes	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00630	2127122	AT4G00630.1	chloroplast	GO:0009507	175	comp	chloroplast	HDA	Publication:501724486|PMID:18431481  		04/07/2021 00:00:00
AT4G00630	2127123	AT4G00630	potassium ion transmembrane transporter activity	GO:0015079	3807	func	transporter activity	ISS	Communication:1674994	TAIR	03/29/2003 00:00:00
AT4G00630	2127123	AT4G00630	response to absence of light	GO:0009646	7119	proc	response to light stimulus	IMP	Publication:501791827|PMID:33111995  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	primary root development	GO:0080022	30849	proc	anatomical structure development | multicellular organism development	IMP	Publication:501797900|PMID:35193734  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	potassium:proton antiporter activity	GO:0015386	3813	func	transporter activity	IMP	Publication:501791827|PMID:33111995  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	plastid rRNA transcription	GO:0042794	15125	proc	other cellular processes | nucleobase-containing compound metabolic process | other metabolic processes | biosynthetic process	IMP	Publication:501795232|PMID:34235544  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	proton transmembrane transport	GO:1902600	46853	proc	other cellular processes | transport	IDA	Publication:501749102|PMID:22551943  	TAIR	12/21/2020 00:00:00
AT4G00630	2127122	AT4G00630.1	chloroplast	GO:0009507	175	comp	chloroplast	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00630	2127123	AT4G00630	response to sucrose	GO:0009744	11391	proc	response to chemical	IMP	Publication:501797900|PMID:35193734  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	potassium ion transport	GO:0006813	6833	proc	transport	IDA	Publication:501791827|PMID:33111995  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	chloroplast organization	GO:0009658	5384	proc	cellular component organization	IGI	Publication:501773167|PMID:27443603  	TAIR	05/01/2017 00:00:00
AT4G00630	2127122	AT4G00630.1	chloroplast envelope	GO:0009941	12482	comp	plastid | chloroplast | other intracellular components	HDA	Publication:501735990|PMID:20061580  		04/07/2021 00:00:00
AT4G00630	2127122	AT4G00630.1	chloroplast envelope	GO:0009941	12482	comp	chloroplast | plastid | other intracellular components	HDA	Publication:501710686|PMID:12938931  		04/07/2021 00:00:00
AT4G00630	2127123	AT4G00630	regulation of pH	GO:0006885	6631	proc	other biological processes	IMP	Publication:501791827|PMID:33111995  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	potassium:proton antiporter activity	GO:0015386	3813	func	transporter activity	IBA	Communication:501741973		04/01/2021 00:00:00
AT4G00630	2127123	AT4G00630	reactive nitrogen species metabolic process	GO:2001057	39071	proc	other metabolic processes	IMP	Publication:501792726|PMID:33485149  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	potassium:proton antiporter activity	GO:0015386	3813	func	transporter activity	IMP	Publication:501749102|PMID:22551943  		06/11/2016 00:00:00
AT4G00630	2127123	AT4G00630	chloroplast inner membrane	GO:0009706	11033	comp	other intracellular components | plastid | other membranes | chloroplast	IDA	Publication:501773167|PMID:27443603  	TAIR	05/01/2017 00:00:00
AT4G00630	2127123	AT4G00630	cytosol	GO:0005829	241	comp	cytosol	HDA	Publication:501776792|PMID:28887381  		04/04/2019 00:00:00
AT4G00630	6530297322	AT4G00630.2	chloroplast	GO:0009507	175	comp	chloroplast	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00630	2127123	AT4G00630	proton transmembrane transporter activity	GO:0015078	2742	func	transporter activity	IDA	Publication:501791827|PMID:33111995  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	regulation of response to water deprivation	GO:2000070	35739	proc	response to chemical | response to abiotic stimulus | response to stress	IMP	Publication:501792726|PMID:33485149  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	potassium ion transport	GO:0006813	6833	proc	transport	IDA	Publication:501749102|PMID:22551943  	TAIR	06/11/2012 00:00:00
AT4G00630	2127123	AT4G00630	potassium:proton antiporter activity	GO:0015386	3813	func	transporter activity	IDA	Publication:501749102|PMID:22551943  	TAIR	06/11/2012 00:00:00
AT4G00630	2127123	AT4G00630	response to abscisic acid	GO:0009737	11395	proc	response to chemical | response to endogenous stimulus	IMP	Publication:501797900|PMID:35193734  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	plastid	GO:0009536	576	comp	plastid	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT4G00630	2127123	AT4G00630	regulation of reactive oxygen species metabolic process	GO:2000377	37424	proc	other cellular processes | other metabolic processes	IMP	Publication:501792726|PMID:33485149  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	regulation of photosynthesis	GO:0010109	14864	proc	other cellular processes | photosynthesis | other metabolic processes	IGI	Publication:501760318|PMID:24794527  	TAIR	05/01/2017 00:00:00
AT4G00630	2127123	AT4G00630	potassium:proton antiporter activity	GO:0015386	3813	func	transporter activity	IDA	Publication:501791827|PMID:33111995  		11/22/2022 00:00:00
AT4G00630	2127123	AT4G00630	chloroplast membrane	GO:0031969	22375	comp	other intracellular components | plastid | other membranes | chloroplast	IDA	Publication:501760318|PMID:24794527  	TAIR	05/01/2017 00:00:00
AT4G00630	2127123	AT4G00630	potassium ion transmembrane transporter activity	GO:0015079	3807	func	transporter activity	IDA	Publication:501791827|PMID:33111995  		11/22/2022 00:00:00
AT4G00730	2127008	AT4G00730	cutin biosynthetic process	GO:0010143	15102	proc	biosynthetic process | other metabolic processes	IMP	Publication:501748887|PMID:22623518  		11/15/2022 00:00:00
AT4G00730	2127008	AT4G00730	lipid binding	GO:0008289	3020	func	lipid binding	IEA	AnalysisReference:501756966		11/22/2022 00:00:00
AT4G00730	2127008	AT4G00730	transcription cis-regulatory region binding	GO:0000976	35767	func	nucleic acid binding | DNA binding	IPI	Publication:501773603|PMID:27923776  		12/18/2020 00:00:00
AT4G00730	2127008	AT4G00730	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501772807|PMID:25564655  		06/28/2022 00:00:00
AT4G00730	2127008	AT4G00730	DNA-binding transcription factor activity	GO:0003700	4449	func	DNA-binding transcription factor activity	ISS	Publication:1345963|PMID:11118137  	TAIR	06/06/2003 00:00:00
AT4G00730	2127008	AT4G00730	anthocyanin accumulation in tissues in response to UV light	GO:0043481	21549	proc	response to external stimulus | response to light stimulus	IMP	Publication:1358|PMID:10402424  	TAIR	08/09/2005 00:00:00
AT4G00730	2127008	AT4G00730	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0000981	35772	func	DNA-binding transcription factor activity	IEA	AnalysisReference:501756966		11/22/2022 00:00:00
AT4G00730	2127008	AT4G00730	root development	GO:0048364	18902	proc	multicellular organism development | anatomical structure development	IMP	Publication:1358|PMID:10402424  	TAIR	02/28/2005 00:00:00
AT4G00730	2127008	AT4G00730	plant-type cell wall modification	GO:0009827	10254	proc	cellular component organization | other cellular processes	IMP	Publication:501767635|PMID:26720211  	TAIR	02/12/2016 00:00:00
AT4G00730	2127008	AT4G00730	root hair cell differentiation	GO:0048765	22771	proc	other cellular processes | cell differentiation | multicellular organism development | anatomical structure development	IMP	Publication:501742091|PMID:21421418  	TAIR	04/29/2011 00:00:00
AT4G00730	4515101756	AT4G00730.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00730	3703487	AT4G00730.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00750	2117728	AT4G00750	shoot system development	GO:0048367	18906	proc	anatomical structure development | multicellular organism development	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00750	2117728	AT4G00750	cellular nitrogen compound biosynthetic process	GO:0044271	19681	proc	biosynthetic process | other cellular processes | other metabolic processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00750	2117728	AT4G00750	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT4G00750	2117728	AT4G00750	molecular_function_unknown	GO:0003674	3226	func	unknown molecular functions	ND	Communication:1345790	TAIR	10/28/2021 00:00:00
AT4G00750	2117728	AT4G00750	hormone-mediated signaling pathway	GO:0009755	11413	proc	signal transduction | response to chemical | other cellular processes | response to endogenous stimulus	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00750	2117728	AT4G00750	cytosol	GO:0005829	241	comp	cytosol	HDA	Publication:501776792|PMID:28887381  		04/04/2019 00:00:00
AT4G00750	2117727	AT4G00750.1	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501747810|PMID:22430844  		05/12/2021 00:00:00
AT4G00750	2117728	AT4G00750	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501718909|PMID:16618929  	TAIR	05/12/2021 00:00:00
AT4G00750	2117728	AT4G00750	organic substance catabolic process	GO:1901575	44214	proc	other metabolic processes | catabolic process	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00750	2117728	AT4G00750	endosome	GO:0005768	272	comp	endosome	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT4G00750	2117728	AT4G00750	cellular catabolic process	GO:0044248	19683	proc	other cellular processes | catabolic process | other metabolic processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT4G00750	2117728	AT4G00750	trans-Golgi network	GO:0005802	57	comp	Golgi apparatus | other intracellular components	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT4G00750	2117728	AT4G00750	cytoplasm	GO:0005737	231	comp	cytoplasm	IBA	Communication:501741973		04/20/2022 00:00:00
AT4G00990	2125221	AT4G00990	cytoplasm	GO:0005737	231	comp	cytoplasm	IDA	Publication:501776082|PMID:28650521  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	epigenetic regulation of gene expression	GO:0040029	10745	proc	regulation of gene expression, epigenetic	IMP	Publication:501776082|PMID:28650521  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	histone H3-K9 demethylation	GO:0033169	27052	proc	cellular component organization | other metabolic processes	IDA	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	histone H3-K9 demethylation	GO:0033169	27052	proc	other metabolic processes | cellular component organization	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00990	2125221	AT4G00990	regulation of transcription by RNA polymerase II	GO:0006357	7463	proc	nucleobase-containing compound metabolic process | biosynthetic process | other metabolic processes | other cellular processes	IBA	Communication:501741973		03/31/2021 00:00:00
AT4G00990	2125221	AT4G00990	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	defense response to bacterium	GO:0042742	14972	proc	response to biotic stimulus | response to stress | response to external stimulus	IMP	Publication:501776082|PMID:28650521  	TAIR	08/15/2017 00:00:00
AT4G00990	2125221	AT4G00990	positive regulation of response to water deprivation	GO:1902584	45639	proc	response to abiotic stimulus | response to chemical | response to stress	IMP	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	response to water deprivation	GO:0009414	5647	proc	response to abiotic stimulus | response to stress | response to chemical	IEP	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	histone H3K9 demethylase activity	GO:0032454	25449	func	catalytic activity	IBA	Communication:501741973		11/23/2022 00:00:00
AT4G00990	2125221	AT4G00990	epigenetic regulation of gene expression	GO:0040029	10745	proc	regulation of gene expression, epigenetic	IMP	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	regulation of photoperiodism, flowering	GO:2000028	35576	proc	multicellular organism development | reproduction | anatomical structure development | post-embryonic development | response to light stimulus	IMP	Publication:501776082|PMID:28650521  	TAIR	08/15/2017 00:00:00
AT4G00990	2125221	AT4G00990	chromatin	GO:0000785	14233	comp	other intracellular components	IBA	Communication:501741973		09/29/2022 00:00:00
AT4G00990	6532557705	AT4G00990.3	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00990	2125221	AT4G00990	histone H3K9 demethylase activity	GO:0032454	25449	func	catalytic activity	IDA	Publication:501776082|PMID:28650521  	TAIR	08/15/2017 00:00:00
AT4G00990	6532559156	AT4G00990.2	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT4G00990	2125221	AT4G00990	regulation of stomatal closure	GO:0090333	35355	proc	other cellular processes	IMP	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	transcription coregulator activity	GO:0003712	4446	func	transcription regulator activity	IBA	Communication:501741973		04/20/2022 00:00:00
AT4G00990	2125221	AT4G00990	histone deacetylase complex	GO:0000118	353	comp	nucleus | nucleoplasm	IBA	Communication:501741973		04/02/2021 00:00:00
AT4G00990	2125221	AT4G00990	histone H3-K9 demethylation	GO:0033169	27052	proc	other metabolic processes | cellular component organization	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
AT4G00990	2125221	AT4G00990	nucleus	GO:0005634	537	comp	nucleus	IDA	Publication:501795135|PMID:34197643  		05/04/2022 00:00:00
AT4G00990	2125221	AT4G00990	nucleus	GO:0005634	537	comp	nucleus	IDA	Publication:501776082|PMID:28650521  		05/04/2022 00:00:00
