Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT1G05805	505006103	AT1G05805	regulation of stomatal opening	GO:1902456	45579	proc	other cellular processes	IMP	Publication:501757360|PMID:23779086  		06/28/2022 00:00:00
AT1G05805	505006103	AT1G05805	transcription cis-regulatory region binding	GO:0000976	35767	func	nucleic acid binding | DNA binding	IPI	Publication:501773603|PMID:27923776  		12/18/2020 00:00:00
AT1G05805	505006103	AT1G05805	RNA polymerase II cis-regulatory region sequence-specific DNA binding	GO:0000978	35769	func	DNA binding | nucleic acid binding	IBA	Communication:501741973		04/02/2021 00:00:00
AT1G05805	505006103	AT1G05805	transcription cis-regulatory region binding	GO:0000976	35767	func	DNA binding | nucleic acid binding	IPI	Publication:501786139|PMID:30356219  		12/18/2020 00:00:00
AT1G05805	505006103	AT1G05805	protein dimerization activity	GO:0046983	15253	func	protein binding	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
AT1G05805	505006103	AT1G05805	regulation of DNA-templated transcription	GO:0006355	7461	proc	other metabolic processes | other cellular processes | nucleobase-containing compound metabolic process | biosynthetic process	TAS	Publication:1345963|PMID:11118137  	TAIR	03/18/2011 00:00:00
AT1G05805	505006103	AT1G05805	regulation of potassium ion import	GO:1903286	48481	proc	other cellular processes | transport	IMP	Publication:501757360|PMID:23779086  		06/28/2022 00:00:00
AT1G05805	505006103	AT1G05805	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501776083|PMID:28650476  		11/22/2022 00:00:00
AT1G05805	505006103	AT1G05805	transcription cis-regulatory region binding	GO:0000976	35767	func	DNA binding | nucleic acid binding	IPI	Publication:501745632|PMID:22037706  		12/18/2020 00:00:00
AT1G05805	505006103	AT1G05805	DNA-binding transcription factor activity	GO:0003700	4449	func	DNA-binding transcription factor activity	ISS	Publication:501705886|PMID:12679534  	TAIR	03/01/2004 00:00:00
AT1G05805	505006103	AT1G05805	DNA-binding transcription factor activity, RNA polymerase II-specific	GO:0000981	35772	func	DNA-binding transcription factor activity	IBA	Communication:501741973		11/23/2022 00:00:00
AT1G05805	505006103	AT1G05805	transcription cis-regulatory region binding	GO:0000976	35767	func	nucleic acid binding | DNA binding	IPI	Publication:501762268|PMID:25533953  		12/18/2020 00:00:00
AT1G05805	505006103	AT1G05805	regulation of stomatal movement	GO:0010119	13863	proc	other cellular processes	IDA	Publication:501757360|PMID:23779086  		12/18/2013 00:00:00
AT1G05805	505006103	AT1G05805	response to light stimulus	GO:0009416	6176	proc	response to light stimulus	IMP	Publication:501757360|PMID:23779086  		06/28/2022 00:00:00
AT1G05805	505006103	AT1G05805	nucleus	GO:0005634	537	comp	nucleus	IBA	Communication:501741973		11/23/2022 00:00:00
AT1G05805	505006103	AT1G05805	DNA-binding transcription factor activity	GO:0003700	4449	func	DNA-binding transcription factor activity	ISS	Publication:1345963|PMID:11118137  	TAIR	06/06/2003 00:00:00
AT1G05805	505006103	AT1G05805	regulation of transcription by RNA polymerase II	GO:0006357	7463	proc	other metabolic processes | nucleobase-containing compound metabolic process | biosynthetic process | other cellular processes	IBA	Communication:501741973		11/23/2022 00:00:00
AT1G06590	2009150	AT1G06590	positive regulation of mitotic metaphase/anaphase transition	GO:0045842	12566	proc	other cellular processes | cell cycle | cellular component organization	IBA	Communication:501741973		03/31/2021 00:00:00
AT1G06590	2009150	AT1G06590	anatomical structure arrangement	GO:0048532	20949	proc	anatomical structure development	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
