FT	delta	gr
prec4	-0.316230210569851	-0.148786858280322	-0.226829003647983
tmin4	-0.309090064291937	-0.260382288813579	-0.334073196775848
prec5	-0.292563501299067	-0.130505286638907	-0.0950082346335761
tmax4	-0.291132630672411	-0.31111486166034	-0.384765036780207
bio16	-0.28182369207658	-0.0969162261330059	-0.200939613300879
bio13	-0.269085019648577	-0.0998634197045538	-0.203378953775201
prec6	-0.264858218761325	-0.0774312938578114	0.0145733943491172
tmin5	-0.262449245015316	-0.232971713102056	-0.327601980145542
tmin3	-0.253313566129733	-0.188205093950251	-0.190254726967448
bio3	-0.253206967291795	-0.227112087934355	-0.22805324928741
bio12	-0.251555057650227	-0.0405823519412845	-0.0840411125043452
prec2	-0.239620771220304	-0.106156385222605	-0.229630209987394
tmax3	-0.234760277173839	-0.223381162850158	-0.25010445304776
tmin2	-0.225443902486957	-0.151034261080769	-0.123133073212042
tmax5	-0.225131745333652	-0.284906678374687	-0.391189823572915
prec3	-0.215298802656375	-0.0599829753932675	-0.172298924151641
tmin11	-0.214641926368686	-0.150491551575437	-0.152048905969479
bio18	-0.212127902953277	-0.0101741967655958	0.0689904067918078
tmax10	-0.208170238539238	-0.222466363622921	-0.296305464219245
bio6	-0.206045693857989	-0.134848154773737	-0.10174181784938
bio1	-0.20016321905026	-0.200848023141041	-0.250718702658345
tmin1	-0.198440551335284	-0.126325574316707	-0.0906587993862626
bio19	-0.198121835527882	-0.0546142652455729	-0.152110112290355
bio11	-0.194780855704568	-0.142479624321394	-0.133805183133916
tmin12	-0.192350916518444	-0.118828051696422	-0.083962984303196
prec1	-0.190948049184157	-0.0413607151017436	-0.137327775738452
tmax2	-0.186739007404097	-0.165313242258737	-0.182283661668756
tmax11	-0.178836892566697	-0.165407840092848	-0.203384277138188
tmax1	-0.174703042311859	-0.138009230293587	-0.153876375668496
tmax12	-0.17417570176445	-0.142724731303233	-0.159240262402309
bio17	-0.167225261243696	0.027023111749764	0.109962367949739
tmin10	-0.163158376594777	-0.127486803171163	-0.176273001395917
prec12	-0.162954629285893	-0.0249175461197789	-0.106932633865262
bio14	-0.160441643194604	0.0365311936420071	0.127445940644334
prec11	-0.153532808944867	-0.0268699914642868	-0.124968099536072
prec8	-0.15340651691131	0.042341720387868	0.102639203776456
tmax9	-0.14972781282556	-0.23443135362025	-0.327344233178303
prec7	-0.145651255703953	0.0267430837633134	0.118559250036038
tmin9	-0.130884561846397	-0.141168724059582	-0.217153924345115
tmin6	-0.114674607308363	-0.153012613319544	-0.268358701112244
prec10	-0.112316374646048	0.0107055205054759	-0.0834893712659563
tmax6	-0.0765934430316092	-0.20808766593494	-0.328784573491794
bio15	-0.0722306053493071	-0.121354459198584	-0.329518848807703
bio10	-0.0686955597485459	-0.180607710660268	-0.303552279764363
tmax8	-0.0651228439484711	-0.194680661077734	-0.302437720573782
tmin8	-0.0633310953053227	-0.12446285783592	-0.22132429645195
bio9	-0.0585044863611874	-0.132249829660022	-0.156823055053751
bio8	-0.0481628428507112	-0.0210962286775894	-0.00325570598890184
prec9	-0.0478034451881935	0.0928614709080765	0.116794726979492
bio5	-0.0361612770261709	-0.185523246086758	-0.303166614839161
tmax7	-0.0306380859890108	-0.182880357743827	-0.298143119268864
tmin7	-0.0288210965396814	-0.108328753850083	-0.232829548998558
bio2	-0.0058379645055239	-0.156696579665522	-0.247881341316544
bio7	0.174532270550327	0.00519341018009713	-0.106107764620804
bio4	0.190541090833115	0.0557095562673976	-0.0328942129822787
delta	0.517936630081383	1	0.480210572641758
gr	0.718653723442568	0.480210572641758	1
FT	1	0.517936630081383	0.718653723442568
