FT16,Delta_13C,FT10,FT_mlp,FT_mli,Growth_rate
23_FW,-0.41625833369378,-0.654668201689571,-0.403659448543351,NA,NA,NA
93_DW,-0.418357889099307,-0.643346136038053,-0.384797638005131,NA,NA,NA
grown_on_zinc_deficiency_mean_Total_length_day001,-0.2234067563673,-0.640027598076203,NA,NA,NA,-0.301218492496968
Fresh_per_dry500_2012,NA,-0.626536808041756,NA,NA,NA,NA
RGRav,-0.231824852438954,-0.592761783987119,-0.283111361655423,NA,NA,NA
Dry0_2012,-0.227942558962811,-0.584597155256843,-0.311351378692615,NA,NA,NA
P_CK,NA,-0.571430056574134,NA,NA,NA,NA
Fresh_min_Dry500_2012,NA,-0.555321394251347,NA,NA,NA,NA
P2_CK,NA,-0.543133555731548,NA,NA,NA,NA
TRL_CK,NA,-0.523662513260286,NA,NA,NA,NA
120_DTFplantingLoc2008,-0.193826956287073,-0.459115715509492,-0.303375194795985,NA,NA,NA
9_Leaf_roll_10,-0.290345527963535,-0.438541591274121,-0.247356559396509,NA,NA,NA
26_Width_22,NA,-0.396151024593594,NA,NA,NA,NA
drought_projected_leaf_area_day_11,-0.253277732900691,-0.388105907786209,-0.198779978623471,NA,NA,NA
8_Leaf_roll_16,NA,-0.372817701959272,NA,NA,NA,NA
46_Leaf_roll_22,NA,-0.371032426750749,NA,NA,NA,NA
drought_Fresh_Weight_28,-0.411784984666279,-0.35030785430413,-0.380582360901836,NA,NA,NA
drought_projected_leaf_area_day_24,-0.415885523797143,-0.347262259272566,-0.385780338133138,NA,NA,-0.260192492023958
drought_projected_leaf_area_day_26,-0.442491235376229,-0.344146109463068,-0.393786472632785,NA,NA,-0.266668317083325
drought_projected_leaf_area_day_18,-0.343026841928375,-0.333998312839544,-0.322616988378472,NA,NA,NA
RB,-0.350737510825024,-0.32665100559041,-0.378773015497785,NA,NA,-0.345694518672596
FW_rosette,-0.244993603763134,-0.319302628585642,NA,NA,NA,NA
Fresh_Weight_28,-0.244993603763134,-0.319302628585642,NA,NA,NA,NA
Fruit_number,-0.50705324249578,-0.310097907976069,-0.507695035796859,NA,NA,-0.532527415305997
RGR,-0.274219219314077,-0.287759818942502,-0.3183101542244,NA,NA,-0.239275519579115
FT_tlp,-0.193739191914964,-0.203694955686783,-0.287218222371655,0.0883237505919161,NA,-0.266046175202828
stomatasize,-0.184187085816909,-0.187980319623329,-0.205496135864201,NA,-0.173068762116213,NA
d32_4C_perc,-0.407620341459976,-0.179003984881628,-0.300622833404914,0.118218994259606,NA,-0.192180427213298
d22_4C_perc,-0.346900204549871,-0.167784194923668,-0.224950761189693,0.125672120555,NA,-0.151359689071744
Flowering_time,0.734948739717537,0.269155068553219,0.802090682045372,NA,NA,0.761085761588941
FT_thi,0.346487818820895,0.280353937601617,0.416085904239518,NA,0.288531154955547,0.3070340734713
FT_thp,0.345612750740685,0.294701909078447,0.424028401267129,NA,0.257926068329509,0.349318939404754
DTfruit,0.739630970189846,0.310409614077348,0.841812003138053,NA,0.137330512284091,0.699544436676223
FT_mhi,0.473626787384748,0.31890954950267,0.571825630900826,NA,0.210444006891559,0.487614440584158
DTflower,0.76660923088181,0.323855012249255,0.856690097377519,NA,0.150499130423198,0.717452150234563
DTharvest,0.604774699182916,0.338520460928375,0.707961931624422,NA,0.204323519628318,0.670509844116594
PL_div_LL,0.371929618231797,0.352616501804406,0.273128778255438,NA,NA,0.500621984480719
87_LN16,0.810681039170529,0.36271476814951,0.785937588598584,NA,NA,0.718821525158125
FT_mhp,0.524819023571795,0.376010714542243,0.617436677084654,NA,0.229587314854157,0.522426610231325
DTbolt,0.74507548325101,0.380913446763042,0.828542259166478,NA,0.156336456166468,0.72338107178503
FT16,1,0.381369535440776,0.883494557225984,NA,NA,0.676411537805563
Root_linearity_day002,0.322960076219617,0.388784943090949,0.324067351667724,NA,NA,0.314441079461187
DTF_Oct_2010,0.640798904056848,0.397744367962703,0.729750238278636,NA,NA,0.561479186825229
Root_angle_day005,NA,0.407869567615646,NA,NA,NA,NA
rosette_DM,0.714816434990574,0.412821333050473,0.755357614164107,NA,0.177279739902777,0.944113454854509
FT10,0.883494557225984,0.430815572388537,1,NA,0.100532114539599,0.70383144314565
104_SDV,0.676451959818093,0.434144840244969,0.780405081563663,NA,NA,0.755178481907081
34_LDV,0.796405687485196,0.437844470703618,0.871498055681171,NA,NA,0.83473510935493
31_FT10,0.873441307523699,0.444840366419151,0.907090940387326,NA,NA,0.872007141287822
Growth_rate,0.676411537805563,0.44700914616669,0.70383144314565,NA,0.221725293784351,1
LRN,NA,0.497732388555817,NA,NA,-0.30706444403666,NA
48_8W,0.614830376636424,0.50604419040769,0.620319734519695,NA,NA,0.733177538984507
41_LN22,0.740630760557782,0.506851881863796,0.701054573894308,NA,NA,0.646461396005551
47_SD,0.832764841446775,0.51043042394808,0.790816229389332,NA,NA,0.78227915293158
30_FT16,0.90517136439691,0.513473940119596,0.85655451556336,NA,NA,0.797035178333158
32_FT_Duration_GH,0.41588958009069,0.520574078353391,0.259930009406794,NA,NA,NA
