Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT1G11540	6532558305	AT1G11540.2	extracellular region	GO:0005576	294	comp	extracellular region	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT1G11540	2200061	AT1G11540	molecular_function_unknown	GO:0003674	3226	func	unknown molecular functions	ND	Communication:1345790	TIGR	09/06/2003 00:00:00
AT1G11540	2200061	AT1G11540	Cul4A-RING E3 ubiquitin ligase complex	GO:0031464	21152	comp	other cellular components	IBA	Communication:501741973		04/02/2021 00:00:00
AT1G11680	2027312	AT1G11680	sterol 14-demethylase activity	GO:0008398	2978	func	catalytic activity	TAS	Publication:501717781|PMID:16169959  	TAIR	12/02/2005 00:00:00
AT1G11680	2027311	AT1G11680.1	extracellular region	GO:0005576	294	comp	extracellular region	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT1G11680	2027312	AT1G11680	embryo development ending in seed dormancy	GO:0009793	11994	proc	embryo development | post-embryonic development | reproduction | multicellular organism development | anatomical structure development	NAS	Communication:501718471	TAIR	02/22/2006 00:00:00
AT1G11680	2027312	AT1G11680	oxidoreductase activity	GO:0016491	3460	func	catalytic activity	IBA	Communication:501741973		11/23/2022 00:00:00
AT1G11680	2027312	AT1G11680	sterol biosynthetic process	GO:0016126	7318	proc	lipid metabolic process | other metabolic processes | biosynthetic process	IBA	Communication:501741973		03/31/2021 00:00:00
AT1G11680	2027312	AT1G11680	heme binding	GO:0020037	9668	func	other binding	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
AT1G11680	2027312	AT1G11680	endoplasmic reticulum	GO:0005783	268	comp	endoplasmic reticulum	HDA	Publication:501750648|PMID:22923678  		04/07/2021 00:00:00
AT1G11680	2027312	AT1G11680	sterol biosynthetic process	GO:0016126	7318	proc	lipid metabolic process | other metabolic processes | biosynthetic process	IMP	Publication:501717781|PMID:16169959  	TAIR	12/02/2005 00:00:00
AT1G11680	2027312	AT1G11680	iron ion binding	GO:0005506	2918	func	other binding	IEA	AnalysisReference:501756966		11/26/2022 00:00:00
AT1G11680	2027312	AT1G11680	sterol biosynthetic process	GO:0016126	7318	proc	other metabolic processes | biosynthetic process | lipid metabolic process	TAS	Publication:501680651|PMID:11437378  	TIGR	04/17/2003 00:00:00
AT1G11680	2027311	AT1G11680.1	Golgi apparatus	GO:0005794	48	comp	Golgi apparatus	HDA	Publication:501747810|PMID:22430844  		05/12/2021 00:00:00
AT1G11680	2027312	AT1G11680	endoplasmic reticulum	GO:0005783	268	comp	endoplasmic reticulum	HDA	Publication:501718909|PMID:16618929  	TAIR	05/12/2021 00:00:00
AT2G30440	2064337	AT2G30440	signal peptide processing	GO:0006465	7242	proc	other cellular processes | protein metabolic process | other metabolic processes	IDA	Publication:2814|PMID:9422718   	TAIR	10/09/2009 00:00:00
AT2G30440	2064337	AT2G30440	chloroplast thylakoid	GO:0009534	704	comp	thylakoid | plastid | chloroplast | other intracellular components	IDA	Publication:2814|PMID:9422718   	TAIR	10/09/2009 00:00:00
AT2G30440	2064337	AT2G30440	endopeptidase activity	GO:0004175	2240	func	catalytic activity | hydrolase activity	IDA	Publication:2814|PMID:9422718   	TAIR	10/09/2009 00:00:00
AT2G30440	2064336	AT2G30440.1	plasma membrane	GO:0005886	570	comp	plasma membrane	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
