Locus	TAIR internal locus id	Gene Model(s)	GO term	GO ID	TAIR internal GO id	category	GO Slim(s)	Evidence code	Reference	Made by	date last modified
AT1G07540	2025007	AT1G07540	molecular_function_unknown	GO:0003674	3226	func	unknown molecular functions	ND	Communication:1345790	TAIR	11/04/2021 00:00:00
AT1G07540	2025007	AT1G07540	biological_process_unknown	GO:0008150	5239	proc	unknown biological processes	ND	Communication:1345790	TAIR	02/01/2022 00:00:00
AT1G07540	2025006	AT1G07540.1	nucleus	GO:0005634	537	comp	nucleus	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT1G07540	2025007	AT1G07540	cellular_component_unknown	GO:0005575	163	comp	unknown cellular components	ND	Communication:1345790	TAIR	02/01/2022 00:00:00
AT1G07560	2024972	AT1G07560	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501778368|PMID:29320478  		11/22/2022 00:00:00
AT1G07560	2024972	AT1G07560	response to inorganic substance	GO:0010035	14767	proc	response to chemical	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07560	2024972	AT1G07560	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501760192|PMID:24833385  		11/22/2022 00:00:00
AT1G07560	2024972	AT1G07560	kinase activity	GO:0016301	2953	func	kinase activity	ISS	Communication:1674994	TAIR	03/29/2003 00:00:00
AT1G07560	2024972	AT1G07560	cellular metal ion homeostasis	GO:0006875	6336	proc	cellular homeostasis	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07560	2024972	AT1G07560	ion transmembrane transport	GO:0034220	29103	proc	transport | other cellular processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07560	2024972	AT1G07560	cellular_component_unknown	GO:0005575	163	comp	unknown cellular components	ND	Communication:1345790	TAIR	02/01/2022 00:00:00
AT1G07560	2024972	AT1G07560	protein serine/threonine kinase activity	GO:0004674	3907	func	catalytic activity | transferase activity | kinase activity	IEA	AnalysisReference:501756967		11/22/2022 00:00:00
AT1G07560	2024972	AT1G07560	phosphorylation	GO:0016310	6748	proc	other metabolic processes | other cellular processes	ISS	Communication:1674994		04/01/2021 00:00:00
AT1G07560	2024972	AT1G07560	inorganic anion transport	GO:0015698	6072	proc	transport	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07560	2024972	AT1G07560	cellular response to extracellular stimulus	GO:0031668	21949	proc	other cellular processes | response to external stimulus | cell communication	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07560	2024972	AT1G07560	protein binding	GO:0005515	3877	func	protein binding	IPI	Publication:501784216|PMID:30806640  		11/22/2022 00:00:00
AT1G07560	2024972	AT1G07560	protein phosphorylation	GO:0006468	6897	proc	other cellular processes | other metabolic processes	IEA	AnalysisReference:501756966		11/22/2022 00:00:00
AT1G07590	2024952	AT1G07590	response to wounding	GO:0009611	7144	proc	response to stress	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07590	2024952	AT1G07590	response to water deprivation	GO:0009414	5647	proc	response to chemical | response to abiotic stimulus | response to stress	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07590	2024952	AT1G07590	response to abscisic acid	GO:0009737	11395	proc	response to endogenous stimulus | response to chemical	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07590	2024952	AT1G07590	mitochondrion	GO:0005739	486	comp	mitochondrion	HDA	Publication:501761766|PMID:25293756  		04/04/2019 00:00:00
AT1G07590	2024952	AT1G07590	mitochondrion	GO:0005739	486	comp	mitochondrion	IBA	Communication:501741973		09/29/2022 00:00:00
AT1G07590	2024952	AT1G07590	response to salt stress	GO:0009651	7182	proc	response to stress | response to abiotic stimulus	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07590	2024952	AT1G07590	leaf senescence	GO:0010150	17252	proc	multicellular organism development | anatomical structure development	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07590	2024952	AT1G07590	regulation of biological quality	GO:0065008	25784	proc	other biological processes	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G07590	2024951	AT1G07590.1	mitochondrion	GO:0005739	486	comp	mitochondrion	ISM	AnalysisReference:501780126		08/31/2018 00:00:00
AT1G07590	2024952	AT1G07590	chlorophyll catabolic process	GO:0015996	5382	proc	other metabolic processes | other cellular processes | catabolic process	IEA	Publication:501796011|PMID:34562334  		11/14/2022 00:00:00
AT1G08030	2205135	AT1G08030	regulation of gene expression	GO:0010468	28541	proc	other metabolic processes	IMP	Publication:501740466|PMID:21045165  	TAIR	04/05/2011 00:00:00
