mean	se	signi	param	lower	upper	trait	fitness	env
-0.433	0.164	***	s	-0.75444	-0.11156	DTF_Oct_2040	rFitness	mlp
-0.15	0.084	*	s	-0.31464	0.01464	DTbolt	rFitness	mlp
-0.155	0.084	*	s	-0.31964	0.00964000000000001	DTflower	rFitness	mlp
-0.169	0.081	*	s	-0.32776	-0.01024	DTfruit	rFitness	mlp
-0.11	0.051	***	s	-0.20996	-0.01004	FT10	rFitness	mli
-0.184	0.072	**	s	-0.32512	-0.04288	FT	rFitness	mli
-0.163	0.074	*	s	-0.30804	-0.01796	Flowering_time	rFitness	mli
-0.177	0.06	***	s	-0.2946	-0.0594	DTbolt	rFitness	mli
-0.185	0.054	***	s	-0.29084	-0.07916	DTflower	rFitness	mli
-0.201	0.054	***	s	-0.30684	-0.09516	DTfruit	rFitness	mli
-0.063	0.009	***	s	-0.08064	-0.04536	FT10	rFitness	mhi
-0.053	0.009	***	s	-0.07064	-0.03536	FT16	rFitness	mhi
-0.056	0.016	***	s	-0.08736	-0.02464	FT	rFitness	mhi
-0.108	0.022	***	s	-0.15112	-0.06488	DTF_Oct_2040	rFitness	mhi
-0.056	0.016	***	s	-0.08736	-0.02464	Flowering_time	rFitness	mhi
-0.069	0.014	***	s	-0.09644	-0.04156	DTbolt	rFitness	mhi
-0.065	0.013	***	s	-0.09048	-0.03952	DTflower	rFitness	mhi
-0.067	0.013	***	s	-0.09248	-0.04152	DTfruit	rFitness	mhi
-0.046	0.013	***	s	-0.07148	-0.02052	FT10	rFitness	mhp
-0.034	0.012	***	s	-0.05752	-0.01048	FT16	rFitness	mhp
-0.057	0.019	***	s	-0.09424	-0.01976	FT	rFitness	mhp
-0.047	0.026	**	s	-0.09796	0.00396	DTF_Oct_2040	rFitness	mhp
-0.057	0.021	**	s	-0.09816	-0.01584	Flowering_time	rFitness	mhp
-0.043	0.02	**	s	-0.0822	-0.0038	DTbolt	rFitness	mhp
-0.054	0.02	***	s	-0.0932	-0.0148	DTflower	rFitness	mhp
-0.06	0.021	***	s	-0.10116	-0.01884	DTfruit	rFitness	mhp
-0.049	0.028	*	s	-0.10388	0.00588	DTbolt	rFitness	tli
-0.046	0.027	*	s	-0.09892	0.00692	DTflower	rFitness	tli
-0.052	0.028	*	s	-0.10688	0.00288	DTfruit	rFitness	tli
-0.082	0.012	***	s	-0.10552	-0.05848	FT10	rFitness	thi
-0.067	0.01	***	s	-0.0866	-0.0474	FT16	rFitness	thi
-0.069	0.019	***	s	-0.10624	-0.03176	FT	rFitness	thi
-0.111	0.025	***	s	-0.16	-0.062	DTF_Oct_2040	rFitness	thi
-0.091	0.021	***	s	-0.13216	-0.04984	Flowering_time	rFitness	thi
-0.1	0.016	***	s	-0.13136	-0.06864	DTbolt	rFitness	thi
-0.103	0.016	***	s	-0.13436	-0.07164	DTflower	rFitness	thi
-0.1	0.016	***	s	-0.13136	-0.06864	DTfruit	rFitness	thi
-0.113	0.017	***	s	-0.14632	-0.07968	FT10	rFitness	thp
-0.073	0.017	***	s	-0.10632	-0.03968	FT16	rFitness	thp
-0.144	0.032	***	s	-0.20672	-0.08128	FT	rFitness	thp
-0.095	0.038	***	s	-0.16948	-0.02052	DTF_Oct_2040	rFitness	thp
-0.177	0.034	***	s	-0.24364	-0.11036	Flowering_time	rFitness	thp
-0.128	0.023	***	s	-0.17308	-0.08292	DTbolt	rFitness	thp
-0.129	0.023	***	s	-0.17408	-0.08392	DTflower	rFitness	thp
-0.131	0.023	***	s	-0.17608	-0.08592	DTfruit	rFitness	thp
-0.164	0.073	***	s	-0.30708	-0.02092	FT10	rSurvival_fruit	mlp
-0.368	0.148	***	s	-0.65808	-0.07792	DTF_Oct_2040	rSurvival_fruit	mlp
-0.142	0.092	*	s	-0.32232	0.03832	DTbolt	rSurvival_fruit	mlp
-0.149	0.087	*	s	-0.31952	0.02152	DTflower	rSurvival_fruit	mlp
-0.149	0.084	*	s	-0.31364	0.01564	DTfruit	rSurvival_fruit	mlp
-0.158	0.034	***	s	-0.22464	-0.09136	FT10	rSurvival_fruit	mli
-0.085	0.035	***	s	-0.1536	-0.0164	FT16	rSurvival_fruit	mli
-0.285	0.065	***	s	-0.4124	-0.1576	FT	rSurvival_fruit	mli
-0.355	0.07	***	s	-0.4922	-0.2178	Flowering_time	rSurvival_fruit	mli
-0.199	0.046	***	s	-0.28916	-0.10884	DTbolt	rSurvival_fruit	mli
-0.214	0.046	***	s	-0.30416	-0.12384	DTflower	rSurvival_fruit	mli
-0.23	0.046	***	s	-0.32016	-0.13984	DTfruit	rSurvival_fruit	mli
-0.033	0.012	***	s	-0.05652	-0.00948	DTF_Oct_2040	rSurvival_fruit	mhi
-0.027	0.018	*	s	-0.06228	0.00828	FT10	rSurvival_fruit	tli
