mean	se	signi	param	lower	upper	trait	fitness	env
-0.176	0.05	***	s	-0.274	-0.078	Growth_rate	rFitness	mli
-0.222	0.052	***	s	-0.32392	-0.12008	rosette_DM	rFitness	mli
-0.046	0.015	***	s	-0.0754	-0.0166	Growth_rate	rFitness	mhi
0.039	0.017	**	s	0.00568	0.07232	RGR	rFitness	mhi
-0.054	0.015	***	s	-0.0834	-0.0246	rosette_DM	rFitness	mhi
-0.027	0.017	*	s	-0.06032	0.00632	Growth_rate	rFitness	mhp
-0.035	0.018	**	s	-0.07028	0.000279999999999996	rosette_DM	rFitness	mhp
-0.155	0.058	***	s	-0.26868	-0.04132	RGR	rFitness	tlp
-0.074	0.035	***	s	-0.1426	-0.00539999999999999	Growth_rate	rFitness	tli
-0.072	0.036	**	s	-0.14256	-0.00144	rosette_DM	rFitness	tli
-0.072	0.019	***	s	-0.10924	-0.03476	Growth_rate	rFitness	thi
0.051	0.02	**	s	0.0118	0.0902	RGR	rFitness	thi
-0.077	0.019	***	s	-0.11424	-0.03976	rosette_DM	rFitness	thi
-0.08	0.029	***	s	-0.13684	-0.02316	Growth_rate	rFitness	thp
0.059	0.028	**	s	0.00412	0.11388	RGR	rFitness	thp
-0.08	0.027	***	s	-0.13292	-0.02708	rosette_DM	rFitness	thp
-0.306	0.095	***	s	-0.4922	-0.1198	Growth_rate	rSurvival_fruit	mlp
-0.246	0.092	***	s	-0.42632	-0.06568	rosette_DM	rSurvival_fruit	mlp
-0.169	0.055	***	s	-0.2768	-0.0612	Growth_rate	rSurvival_fruit	mli
-0.185	0.055	***	s	-0.2928	-0.0772	rosette_DM	rSurvival_fruit	mli
0.016	0.007	**	s	0.00228	0.02972	rosette_DM	rSurvival_fruit	mhi
0.019	0.013	*	s	-0.00648	0.04448	Growth_rate	rSurvival_fruit	mhp
-0.163	0.044	***	s	-0.24924	-0.07676	RGR	rSurvival_fruit	tlp
-0.083	0.027	***	s	-0.13592	-0.03008	Growth_rate	rSurvival_fruit	tli
0.051	0.031	*	s	-0.00976	0.11176	RGR	rSurvival_fruit	tli
-0.068	0.03	**	s	-0.1268	-0.00920000000000001	rosette_DM	rSurvival_fruit	tli
-0.012	0.007	*	s	-0.02572	0.00172	Growth_rate	rSurvival_fruit	thi
-0.012	0.007	*	s	-0.02572	0.00172	rosette_DM	rSurvival_fruit	thi
-0.142	0.071	**	s	-0.28116	-0.00284000000000001	RGR	rSeeds	mlp
-0.065	0.036	*	s	-0.13556	0.00556	rosette_DM	rSeeds	mli
-0.05	0.013	***	s	-0.07548	-0.02452	Growth_rate	rSeeds	mhi
0.037	0.014	***	s	0.00956	0.06444	RGR	rSeeds	mhi
-0.06	0.015	***	s	-0.0894	-0.0306	rosette_DM	rSeeds	mhi
-0.044	0.017	***	s	-0.07732	-0.01068	Growth_rate	rSeeds	mhp
-0.051	0.018	***	s	-0.08628	-0.01572	rosette_DM	rSeeds	mhp
-0.04	0.022	*	s	-0.08312	0.00312	rosette_DM	rSeeds	tlp
-0.061	0.013	***	s	-0.08648	-0.03552	Growth_rate	rSeeds	thi
0.044	0.016	***	s	0.01264	0.07536	RGR	rSeeds	thi
-0.066	0.014	***	s	-0.09344	-0.03856	rosette_DM	rSeeds	thi
-0.059	0.014	***	s	-0.08644	-0.03156	Growth_rate	rSeeds	thp
0.062	0.015	***	s	0.0326	0.0914	RGR	rSeeds	thp
-0.064	0.013	***	s	-0.08948	-0.03852	rosette_DM	rSeeds	thp
