mean	se	signi	param	lower	upper	trait	fitness	env
-0.119	0.08	ns	s	-0.2758	0.0378	PC1	rFitness	mlp
-0.152	0.047	***	s	-0.24412	-0.05988	PC1	rFitness	mli
-0.06	0.01	***	s	-0.0796	-0.0404	PC1	rFitness	mhi
-0.05	0.011	***	s	-0.07156	-0.02844	PC1	rFitness	mhp
-0.023	0.035	ns	s	-0.0916	0.0456	PC1	rFitness	tlp
-0.043	0.021	***	s	-0.08416	-0.00183999999999999	PC1	rFitness	tli
-0.094	0.012	***	s	-0.11752	-0.07048	PC1	rFitness	thi
-0.113	0.018	***	s	-0.14828	-0.07772	PC1	rFitness	thp
-0.239	0.068	***	s	-0.37228	-0.10572	PC1	rSurvival_fruit	mlp
-0.214	0.035	***	s	-0.2826	-0.1454	PC1	rSurvival_fruit	mli
-0.001	0.006	ns	s	-0.01276	0.01076	PC1	rSurvival_fruit	mhi
0.006	0.008	ns	s	-0.00968	0.02168	PC1	rSurvival_fruit	mhp
-0.003	0.029	ns	s	-0.05984	0.05384	PC1	rSurvival_fruit	tlp
-0.064	0.019	***	s	-0.10124	-0.02676	PC1	rSurvival_fruit	tli
-0.006	0.006	ns	s	-0.01776	0.00576	PC1	rSurvival_fruit	thi
-0.036	0.013	***	s	-0.06148	-0.01052	PC1	rSurvival_fruit	thp
0.109	0.058	*	s	-0.00468	0.22268	PC1	rSeeds	mlp
0.071	0.046	*	s	-0.01916	0.16116	PC1	rSeeds	mli
-0.059	0.008	***	s	-0.07468	-0.04332	PC1	rSeeds	mhi
-0.055	0.009	***	s	-0.07264	-0.03736	PC1	rSeeds	mhp
-0.066	0.028	***	s	-0.12088	-0.01112	PC1	rSeeds	tlp
0.025	0.014	ns	s	-0.00244	0.05244	PC1	rSeeds	tli
-0.085	0.009	***	s	-0.10264	-0.06736	PC1	rSeeds	thi
-0.087	0.009	***	s	-0.10464	-0.06936	PC1	rSeeds	thp
0.14	0.078	*	s	-0.01288	0.29288	PC2	rFitness	mlp
-0.036	0.044	ns	s	-0.12224	0.05024	PC2	rFitness	mli
0.011	0.01	ns	s	-0.0086	0.0306	PC2	rFitness	mhi
-0.012	0.012	ns	s	-0.03552	0.01152	PC2	rFitness	mhp
0.027	0.037	ns	s	-0.04552	0.09952	PC2	rFitness	tlp
-0.014	0.022	ns	s	-0.05712	0.02912	PC2	rFitness	tli
-0.017	0.011	ns	s	-0.03856	0.00456	PC2	rFitness	thi
-0.048	0.016	**	s	-0.07936	-0.01664	PC2	rFitness	thp
0.033	0.064	ns	s	-0.09244	0.15844	PC2	rSurvival_fruit	mlp
-0.154	0.034	***	s	-0.22064	-0.08736	PC2	rSurvival_fruit	mli
0.003	0.005	ns	s	-0.0068	0.0128	PC2	rSurvival_fruit	mhi
-0.002	0.008	ns	s	-0.01768	0.01368	PC2	rSurvival_fruit	mhp
-0.012	0.032	ns	s	-0.07472	0.05072	PC2	rSurvival_fruit	tlp
-0.059	0.017	***	s	-0.09232	-0.02568	PC2	rSurvival_fruit	tli
-0.005	0.006	ns	s	-0.01676	0.00676	PC2	rSurvival_fruit	thi
-0.028	0.012	**	s	-0.05152	-0.00448	PC2	rSurvival_fruit	thp
0.072	0.059	ns	s	-0.04364	0.18764	PC2	rSeeds	mlp
0.095	0.036	***	s	0.02444	0.16556	PC2	rSeeds	mli
0.006	0.008	ns	s	-0.00968	0.02168	PC2	rSeeds	mhi
-0.012	0.007	*	s	-0.02572	0.00172	PC2	rSeeds	mhp
0.039	0.022	*	s	-0.00412	0.08212	PC2	rSeeds	tlp
0.033	0.012	***	s	0.00948	0.05652	PC2	rSeeds	tli
-0.013	0.008	ns	s	-0.02868	0.00268	PC2	rSeeds	thi
-0.018	0.01	*	s	-0.0376	0.0016	PC2	rSeeds	thp
