fitness,FloweringTime,Dormancy,RootRGR,RootHorizIndex,Delta13C,StomataDensity,StomataSize,Vernalization,GerminationPerc,GrowthRate,RGR,ABA
rFitness_mhi,515,502,149,49,49,166,208,208,43,292,218,218,73
rFitness_mhp,515,502,149,49,49,166,208,208,43,292,218,218,73
rFitness_mli,515,502,149,49,49,166,208,208,43,292,218,218,73
rFitness_mlp,515,502,149,49,49,166,208,208,43,292,218,218,73
rFitness_thi,515,502,149,49,49,166,208,208,43,292,218,218,73
rFitness_thp,515,502,149,49,49,166,208,208,43,292,218,218,73
rFitness_tli,515,502,149,49,49,166,208,208,43,292,218,218,73
rFitness_tlp,515,502,149,49,49,166,208,208,43,292,218,218,73
Fitness_Finland,31,31,0,16,16,7,7,7,23,19,17,17,21
Fitness_Germany,89,89,1,37,37,16,21,21,53,52,54,54,62
Fitness_Spain,89,89,1,37,37,16,21,21,53,52,54,54,62
Fitness_UnitedKingdom,89,89,1,37,37,16,21,21,53,52,54,54,62
Fitness,163,155,150,0,0,79,103,103,0,86,65,65,0
rSurvival_fruit_mhi,515,502,149,49,49,166,208,208,43,292,218,218,73
rSurvival_fruit_mhp,515,502,149,49,49,166,208,208,43,292,218,218,73
rSurvival_fruit_mli,515,502,149,49,49,166,208,208,43,292,218,218,73
rSurvival_fruit_mlp,515,502,149,49,49,166,208,208,43,292,218,218,73
rSurvival_fruit_thi,515,502,149,49,49,166,208,208,43,292,218,218,73
rSurvival_fruit_thp,515,502,149,49,49,166,208,208,43,292,218,218,73
rSurvival_fruit_tli,515,502,149,49,49,166,208,208,43,292,218,218,73
rSurvival_fruit_tlp,515,502,149,49,49,166,208,208,43,292,218,218,73
Survival_Finland,31,31,0,16,16,7,7,7,23,19,17,17,21
Survival_Germany,89,89,1,37,37,16,21,21,53,52,54,54,62
Survival_Spain,89,89,1,37,37,16,21,21,53,52,54,54,62
Survival_UnitedKingdom,89,89,1,37,37,16,21,21,53,52,54,54,62
Survival,163,155,4,63,63,42,54,54,63,94,78,78,91
Survival_insitu_Madrid,210,203,50,31,31,55,71,71,27,156,210,210,43
Survival_insitu_Tubingen,210,203,50,31,31,55,71,71,27,156,210,210,43
freezing_survival,299,271,2,74,74,105,128,128,100,155,112,112,88
rSeeds_mhi,515,502,149,49,49,166,208,208,43,292,218,218,73
rSeeds_mhp,515,502,149,49,49,166,208,208,43,292,218,218,73
rSeeds_mli,515,502,149,49,49,166,208,208,43,292,218,218,73
rSeeds_mlp,515,502,149,49,49,166,208,208,43,292,218,218,73
rSeeds_thi,515,502,149,49,49,166,208,208,43,292,218,218,73
rSeeds_thp,515,502,149,49,49,166,208,208,43,292,218,218,73
rSeeds_tli,515,502,149,49,49,166,208,208,43,292,218,218,73
rSeeds_tlp,515,502,149,49,49,166,208,208,43,292,218,218,73
Seeds_Finland,31,31,0,16,16,7,7,7,23,19,17,17,21
Seeds_Germany,89,89,1,37,37,16,21,21,53,52,54,54,62
Seeds_Spain,89,89,1,37,37,16,21,21,53,52,54,54,62
Seeds_UnitedKingdom,89,89,1,37,37,16,21,21,53,52,54,54,62
