Nsignif	Prop.signif.	fitness	loc
139	0.0761226725082147	rFitness_mlp	madrid
132	0.072289156626506	rFitness_mli	madrid
166	0.0909090909090909	rFitness_mhi	madrid
120	0.0657174151150055	rFitness_mhp	madrid
81	0.0443592552026287	rFitness_tlp	tubing
83	0.0454545454545455	rFitness_tli	tubing
126	0.0690032858707558	rFitness_thi	tubing
145	0.0794085432639649	rFitness_thp	tubing
133	0.0728368017524644	rSurvival_fruit_mlp	madrid
136	0.0744797371303395	rSurvival_fruit_mli	madrid
90	0.0492880613362541	rSurvival_fruit_mhi	madrid
107	0.0585980284775465	rSurvival_fruit_mhp	madrid
69	0.0377875136911281	rSurvival_fruit_tlp	tubing
94	0.0514786418400876	rSurvival_fruit_tli	tubing
88	0.0481927710843374	rSurvival_fruit_thi	tubing
124	0.067907995618839	rSurvival_fruit_thp	tubing
51	0.0279299014238773	rSeeds_mlp	madrid
90	0.0492880613362541	rSeeds_mli	madrid
148	0.0810514786418401	rSeeds_mhi	madrid
113	0.0618838992332968	rSeeds_mhp	madrid
113	0.0618838992332968	rSeeds_tlp	tubing
104	0.0569550930996714	rSeeds_tli	tubing
173	0.0947426067907996	rSeeds_thi	tubing
141	0.0772179627601314	rSeeds_thp	tubing
