trait	fitness	env	mean.x	se.x	signi.x	param.x	lower.x	upper.x	mean.y	se.y	signi.y	param.y	lower.y	upper.y
ABA_96h_low_water_potential	rFitness	mli	-0.092	0.038	*	beta	-0.16648	-0.01752	0.003	0.025	ns	z	-0.046	0.052
ABA_96h_low_water_potential	rFitness	mlp	-0.273	0.068	***	beta	-0.40628	-0.13972	-0.066	0.044	ns	z	-0.15224	0.02024
ABA_96h_low_water_potential	rFitness	thi	0.016	0.01	ns	beta	-0.0036	0.0356	0.04	0.006	***	z	0.02824	0.05176
ABA_96h_low_water_potential	rFitness	thp	-0.025	0.013	*	beta	-0.05048	0.000479999999999998	0.047	0.009	***	z	0.02936	0.06464
ABA_96h_low_water_potential	rSeeds	mli	0.013	0.027	ns	beta	-0.03992	0.06592	-0.052	0.02	***	z	-0.0912	-0.0128
ABA_96h_low_water_potential	rSeeds	mlp	-0.042	0.018	**	beta	-0.07728	-0.00672	-0.058	0.014	***	z	-0.08544	-0.03056
ABA_96h_low_water_potential	rSeeds	thi	0.001	0.007	ns	beta	-0.01272	0.01472	0.032	0.005	***	z	0.0222	0.0418
ABA_96h_low_water_potential	rSeeds	thp	-0.003	0.011	ns	beta	-0.02456	0.01856	0.033	0.007	***	z	0.01928	0.04672
ABA_96h_low_water_potential	rSurvival_fruit	mli	-0.095	0.028	***	beta	-0.14988	-0.04012	0.048	0.019	**	z	0.01076	0.08524
ABA_96h_low_water_potential	rSurvival_fruit	mlp	-0.174	0.053	***	beta	-0.27788	-0.07012	0.016	0.036	ns	z	-0.05456	0.08656
ABA_96h_low_water_potential	rSurvival_fruit	thi	0.014	0.006	**	beta	0.00224	0.02576	0.008	0.004	*	z	0.00016	0.01584
ABA_96h_low_water_potential	rSurvival_fruit	thp	-0.019	0.011	*	beta	-0.04056	0.00256	0.019	0.008	**	z	0.00332	0.03468
d8_10C_perc	rFitness	mli	0.012	0.051	ns	beta	-0.08796	0.11196	-0.001	0.042	ns	z	-0.08332	0.08132
d8_10C_perc	rFitness	mlp	0.095	0.092	ns	beta	-0.08532	0.27532	0.069	0.078	ns	z	-0.08388	0.22188
d8_10C_perc	rFitness	thi	-0.002	0.011	ns	beta	-0.02356	0.01956	-0.006	0.009	ns	z	-0.02364	0.01164
d8_10C_perc	rFitness	thp	-0.021	0.018	ns	beta	-0.05628	0.01428	-0.029	0.014	*	z	-0.05644	-0.00156
d8_10C_perc	rSeeds	mli	0.059	0.037	ns	beta	-0.01352	0.13152	0.069	0.029	**	z	0.01216	0.12584
d8_10C_perc	rSeeds	mlp	0.087	0.025	***	beta	0.038	0.136	0.083	0.022	***	z	0.03988	0.12612
d8_10C_perc	rSeeds	thi	-0.015	0.008	*	beta	-0.03068	0.00068	-0.004	0.007	ns	z	-0.01772	0.00972
d8_10C_perc	rSeeds	thp	-0.016	0.01	ns	beta	-0.0356	0.0036	-0.008	0.007	ns	z	-0.02172	0.00572
d8_10C_perc	rSurvival_fruit	mli	-0.038	0.035	ns	beta	-0.1066	0.0306	-0.084	0.029	***	z	-0.14084	-0.02716
d8_10C_perc	rSurvival_fruit	mlp	0.015	0.081	ns	beta	-0.14376	0.17376	-0.048	0.065	ns	z	-0.1754	0.0794
d8_10C_perc	rSurvival_fruit	thi	0.011	0.007	ns	beta	-0.00272	0.02472	-0.002	0.006	ns	z	-0.01376	0.00976
d8_10C_perc	rSurvival_fruit	thp	-0.003	0.016	ns	beta	-0.03436	0.02836	-0.019	0.012	*	z	-0.04252	0.00452
Delta_13C	rFitness	mli	-0.028	0.047	ns	beta	-0.12012	0.06412	-0.044	0.032	ns	z	-0.10672	0.01872
Delta_13C	rFitness	mlp	-0.048	0.076	ns	beta	-0.19696	0.10096	-0.001	0.063	ns	z	-0.12448	0.12248
