trait	env	beta	beta.s	s	s.s
ABA	mli	-0.094 (-0.172, -0.0156)	**	-0.068 (-0.1366, 0.000600000000000003)	*
ABA	mlp	-0.272 (-0.431, -0.11324)	***	-0.275 (-0.422, -0.128)	***
Delta13C	mli	-0.024 (-0.136, 0.08772)	ns	-0.096 (-0.18224, -0.00976)	*
Dormancy	mli	-0.018 (-0.0964, 0.0604)	ns	0.08 (0.01924, 0.14076)	***
FloweringTime	mli	0.184 (0.0409, 0.32708)	**	-0.081 (-0.18096, 0.01896)	ns
FloweringTime	mlp	0.425 (0.145, 0.70528)	***	-0.005 (-0.19316, 0.18316)	ns
GerminationPerc	mlp	0.159 (-0.00368, 0.32168)	*	0.037 (-0.11196, 0.18596)	ns
GrowthRate	mli	-0.209 (-0.362, -0.05612)	***	-0.185 (-0.2634, -0.1066)	***
GrowthRate	mlp	-0.427 (-0.741, -0.1134)	**	-0.214 (-0.39432, -0.03368)	*
RootRGR	mli	0.157 (0.0218, 0.29224)	**	0.056 (-0.04788, 0.15988)	ns
Vernalization	mli	-0.197 (-0.413, 0.0186)	*	-0.157 (-0.2452, -0.0688)	***
Vernalization	mlp	-0.203 (-0.591, 0.18508)	ns	-0.145 (-0.30964, 0.01964)	*
