trait	env	beta	beta.s	s	s.s
ABA	thi	0.018 (0.00232, 0.0337)	***	0.026 (0.00248, 0.04952)	***
ABA	thp	-0.024 (-0.04948, 0.00148)	*	-0.005 (-0.03048, 0.02048)	ns
Delta13C	thi	0.009 (-0.0106, 0.0286)	ns	-0.049 (-0.06664, -0.03136)	***
Delta13C	thp	-0.011 (-0.04824, 0.0262)	ns	-0.073 (-0.10436, -0.04164)	***
Dormancy	thi	0.001 (-0.02644, 0.0284)	ns	0.04 (0.01844, 0.06156)	***
Dormancy	thp	0.014 (-0.02716, 0.0552)	ns	0.069 (0.03568, 0.10232)	***
FloweringTime	thi	0.017 (-0.01632, 0.0503)	ns	-0.068 (-0.0876, -0.0484)	***
FloweringTime	thp	0.045 (-0.00596, 0.096)	*	-0.082 (-0.1114, -0.0526)	***
GerminationPerc	thp	-0.013 (-0.04828, 0.0223)	ns	-0.037 (-0.07032, -0.00368)	*
GrowthRate	thi	0.013 (-0.02424, 0.0502)	ns	-0.078 (-0.09956, -0.05644)	***
GrowthRate	thp	-0.001 (-0.05784, 0.0558)	ns	-0.11 (-0.14136, -0.07864)	***
RGR	thi	0.01 (-0.01744, 0.0374)	ns	0.065 (0.04344, 0.08656)	***
RGR	thp	0.014 (-0.03108, 0.0591)	ns	0.089 (0.05372, 0.12428)	***
RootHorizIndex	thp	-0.045 (-0.07832, -0.0117)	**	-0.028 (-0.05348, -0.00252)	**
StomataDensity	thi	-0.025 (-0.0446, -0.0054)	**	-0.045 (-0.06264, -0.02736)	***
StomataDensity	thp	-0.034 (-0.06928, 0.00128)	ns	-0.059 (-0.09036, -0.02764)	***
StomataSize	thi	0.014 (-0.00756, 0.0356)	ns	0.047 (0.02936, 0.06464)	***
StomataSize	thp	0.004 (-0.03716, 0.0452)	ns	0.054 (0.02068, 0.08732)	***
Vernalization	thi	-0.109 (-0.158, -0.06)	***	-0.094 (-0.11556, -0.07244)	***
Vernalization	thp	-0.131 (-0.19764, -0.0644)	***	-0.123 (-0.15436, -0.09164)	***
