RHM2	UER1	G3BP	RHM1	RHM3
RHM2	1	0.44647134265982	0.171359184537827	0.474537242013619	0.643430521305775
UER1	0.44647134265982	1	0.155574032971364	0.617403906047728	0.251898078527299
G3BP	0.171359184537827	0.155574032971364	1	0.199445088847978	0.315197990139683
RHM1	0.474537242013619	0.617403906047728	0.199445088847978	1	0.361272717017254
RHM3	0.643430521305775	0.251898078527299	0.315197990139683	0.361272717017254	1
FT16	0.0151360347664577	0.172387652102536	0.176963408855278	0.325740255836424	0.0674723536591951
Growth_rate	0.0131112820738652	0.13776808636622	0.0630522130477546	0.270981005420431	-0.00367314021636431
DSDS10	0.135827398443318	0.0853498258284222	0.143989667335261	0.0115076929818941	0.104816260651525
d8_10C_perc	-0.0251711355025993	-0.0461158063210087	-0.0618073551171115	-0.0478709601200983	-0.0243256662674176
Relative_root_growth_rate_day001.day002	-0.119409497036456	0.3350122630441	0.00384989041101472	0.415170031830213	-0.195977161212814
Stomatal_index_in_first_leaf	-0.0777926311904354	-0.6153968416124	-0.161832937260775	-0.56875598520553	-0.0286986365986705
Delta_13C	0.0123364099440563	0.120756151748374	-0.119393277160203	0.183267633122456	-0.121745598414336
ABA_96h_low_water_potential	0.0447180585167111	0.000652351266996662	0.0266139792544983	0.0933257483932603	0.105095528857021
fucose_1___rhamnose_2_exp1	0.242642978540107	0.25948793458974	0.350111943412992	0.455993872686491	-0.101015515840828
fucose_1___rhamnose_2_exp2	0.169672072773728	0.265758675028054	-0.17997909331749	0.126977193365877	0.014473037731638
rhamnose_1_exp1	0.466211615423748	0.621966115977777	0.408447717872943	0.730764154308803	0.363717724722081
X120_DTFplantingLoc2008	0.00977103352130966	0.124131086964963	-0.242950302295318	0.0302633743051666	-0.208995017102213
X143_Meristem_zone_length	0.140693021383874	-0.040002314776729	0.135328138508198	0.0320875079913661	0.255261118855863
Delta_13C.1	0.0123364099440563	0.120756151748374	-0.119393277160203	0.183267633122456	-0.121745598414336
stomata_density	0.0399074979031318	0.131668473826302	0.0773433874289599	0.00914777430296623	0.0423840075510671
stomatasize	-4.11396990263851e-05	-0.0341788581090533	-0.0324917584727895	-0.0543811259077081	-0.0277291273099183
X11_2W	0.230060173810703	-0.0469831925253331	0.198376580147863	0.346938651577802	0.0802103942597751
X2_At2_CFU2	0.212620919641482	0.0903882708621003	0.140301071785461	0.0908912851195769	0.202464739052857
X27_Storage_56_days	0.366424464876889	0.366677374642244	0.383827269926703	0.438182185890382	0.32105157808715
X4_Seed_bank_133_91	0.248039408882188	0.0949763911767462	-0.0140277927769617	0.0687761113395228	0.29941720384251
X42_Bs_CFU2	0.109879514442086	0.0866921304522711	-0.0573733683783109	0.123587303827174	-0.140307916834064
X70_As_CFU2	0.025684860876786	-0.0735439727334241	0.181366227277146	0.0426539136283581	-0.261672456306415
X294_Germination_rate_21C	0.264655730245958	-0.0690480576987089	0.439832946117386	0.140890425944289	0.390894217685215
X315_GR21_warm	0.0405709269409185	-0.252336556974079	0.62729493124972	0.000583455453421878	0.239779594444963
X325_GR105_cold	0.020918094112462	-0.310070027011019	0.55464713399795	0.0281137790907898	0.185686951589373
grown_on_zinc_deficiency_mean_Total_length_day003	0.0741597076451528	-0.18973193223663	0.235190392169207	0.0133731347417201	0.20757564925381
mean_Total_length_day003	0.0740786438690052	-0.1449470915717	0.335080466090621	0.0610657264360619	0.1741526517439
RGR	-0.0432864723560454	-0.019641038839983	-0.0343818905050658	-0.151850035454382	0.0211245440845439
