phenotype	N samples	h	PVE	rho	PGE	pi	n.gamma	pve_norm	pve_raw
growth after Vernalization	110	0.5119	0.3349	0.8593	0.7372	0	6	0	0
ABA	269	0.7291	0.4576	0.802	0.3433	1e-04	8	0.2744	0.2148
germination percentage	559	0.9299	0.823	0.7028	0.0787	0.0055	65	0.7708	0.8074
detla_13C	261	0.8334	0.496	0.9657	0.8248	0.0012	66	0.4647	0.4343
dormancy	177	0.9937	0.9217	0.9978	0.9669	0.0012	123	0.5471	0.7352
Flowering time	1021	0.9405	0.9367	0.3426	0.0058	0.2349	9	0.9077	0.9114
growth rate	420	0.986	0.8453	0.951	0.3587	0.0058	25	0.832	0.8552
root RGR	163	0.9859	0.9401	0.9943	0.9739	4e-04	82	0.807	0.9084
RGR	420	0.9549	0.5271	0.9704	0.4006	0.003	15	0.4503	0.4935
root horizontal index	163	0.7018	0.5922	0.417	0.1072	1e-04	10	0.702	0.6623
stomata density	330	0.3704	0.2194	0.519	0.0436	7e-04	26	0.3317	0.2299
stomatal index in first leaf	55	0.4784	0.3245	0.5365	0.2185	0	17	0.461	0.2437
