,rFitness_mhi,rFitness_mhp,rFitness_mli,rFitness_mlp,rFitness_thi,rFitness_thp,rFitness_tli,rFitness_tlp,rSurvival_fruit_mhi,rSurvival_fruit_mhp,rSurvival_fruit_mli,rSurvival_fruit_mlp,rSurvival_fruit_thi,rSurvival_fruit_thp,rSurvival_fruit_tli,rSurvival_fruit_tlp,rSeeds_mhi,rSeeds_mhp,rSeeds_mli,rSeeds_mlp,rSeeds_thi,rSeeds_thp,rSeeds_tli,rSeeds_tlp
FT10,-0.0299848166630988,-0.0091773895265623,-0.0552764325662147,-0.030504867733822,-0.0520170536612471,-0.0878845558230973,0.0209829519098099,0.0122382861822705,0.0455208218283592,0.0547338350197069,-0.111153891395947,-0.0703056044223502,0.0422432114686522,-0.00705731218980112,0.0115645759706591,0.025078621133721,-0.0222431047547833,-0.0210064147747302,-0.131723582014872,-0.113849609744147,-0.0482069655660138,-0.0627823847345217,0.032371411021699,-0.0449683295431201
FT16,-0.0139875276493335,0.00929815687784091,-0.0261043414628956,0.0293154013514888,-0.0312007387051034,-0.0373596327291785,0.0332235075782373,0.0192152019938938,0.0442550047110144,0.0605484134706597,-0.0442205120793088,-0.0093421517753251,0.0445635958240134,0.0285961385905106,0.0285878503213591,0.0540985778442026,-0.0175211961669649,0.000995948067296753,-0.122089261663896,-0.0654707903324407,-0.0242299344442373,-0.0615456884192863,0.042433688124005,-0.0689025028464036
DSDS10,0.0170349861420549,0.0258901114601741,0.0729551882631454,0.0991934042318252,0.0367634199193991,0.0879108500567705,0.0887184721724749,0.00624826245848733,-0.00434918164833634,0.00349496545486618,0.235512611438921,0.0536343205235192,0.00261451014422013,0.0678816385742865,0.145755329399213,-0.0169301044488544,0.0193733464307484,0.0227445979354737,0.135692331110044,0.100272610462657,0.0338397840796316,0.0172563682582878,0.0429353963082174,-0.0154707773416982
DSDS50,0.0108160097832083,0.0351684115187678,0.0430857212913034,0.0588368172213201,0.0517792931854418,0.114213221622587,0.0760504769189801,0.0449388180301766,-0.00889519600513239,0.00519547160501629,0.197874870259094,0.0182295706511174,-0.00263446109422277,0.0724247311538318,0.152569375832179,0.0263953901769152,0.0172237050238224,0.0282140182480987,0.141142231005755,0.077420372960095,0.0550994877552787,0.0301446240052991,0.0355592279745339,0.0276697349978282
DSDS90,0.0100081939842568,0.0237396770806559,0.0612295991910566,0.0174494453821088,0.0732867972333384,0.0900620070001837,0.0644238349422362,0.0482334784024232,-0.00870104719775125,-0.00368987101646999,0.216674194289917,-0.00977604131706009,0.00455682687079893,0.0488576934187989,0.125855247614559,0.0391229067309146,0.0160988155486829,0.0257419036511286,0.165243849000503,0.0591237128740227,0.0685437137416258,0.0296377355289894,-0.0357967731399011,0.0181816777853675
FT,-0.0667853653370066,-0.0752488079194318,-0.149193787099705,-0.0367323303041105,-0.0867964414100291,-0.173673435424477,-0.044543318283511,-0.0339804179594581,0.00231844102086808,0.0161404977887045,-0.263832145576618,-0.0377167749716792,-0.0218832460046598,-0.081282427034941,-0.0633397658750465,-0.0199427981617278,-0.061964297877848,-0.0958491155227176,-0.259120582197331,-0.0744760920532146,-0.0650432065456375,-0.0790496792440489,0.144268706927548,-0.0545595090675383
GAS,-0.0297137154080788,-0.0607818974667956,-0.0211023074475862,-0.0242512149170158,-0.0157557666428465,0.0154464538108506,-0.0867826065400097,0.0814103505222909,-0.00403265105608307,-0.0374377052388049,-0.0828559584477397,-0.0192713972284303,0.00468337015700126,0.00624468395840439,-0.0510822288269509,0.0457790073186321,-0.0234735319726679,-0.0228084191153032,-0.0128011012941725,0.0485471611940579,-0.0194583897974855,0.0032188010388816,-0.00947254450912552,-0.126081394269881
SS,-0.0591791969263714,-0.021124208997449,-0.0447858099677479,0.028340635849037,-0.0114078920413176,-0.108255496428699,-0.00116354304689043,-0.0548385385978443,-0.0161929054215078,0.0161820426829679,-0.0682419242245577,0.0403506647457169,0.00610998670051514,-0.0668947384031318,-0.0217236434470155,0.0115170259854665,-0.0368931174673829,-0.0391172911247752,-0.11306229812608,-0.010188540120026,-0.0179092448549952,-0.0223723175576304,0.148354708485881,-0.172311312714294
t10,0.0154835949350947,0.0403311533926505,0.0032882458152468,-0.0126279547128418,0.0605213303461021,0.0409251075488192,-0.0217334817493238,0.00122024141574305,-0.00957394855035583,0.00388893832818233,0.0882135415016296,-0.0291095972214057,0.0192137023617926,0.0113982453588324,0.036751520947628,0.0158445754457896,0.0204801535740538,0.0367913525444453,0.0203875971627786,-0.0286422118472528,0.0436264864858773,0.0187880465483432,-0.261260851607991,0.0230623875452314
t50,0.0135653179670765,0.0297346619780755,-0.00101179697476379,0.00551675395673915,0.0431868614589961,0.0331271987616027,-0.0123545378296239,-0.0702260804698275,-0.00542207880646641,0.00608299048438241,0.0619952597934676,0.0174126912870721,0.0144092432263019,0.0172260123768355,0.0331233884423018,-0.063745968025955,0.0151273314751516,0.021115883501322,0.020438216961041,-0.00918381028581524,0.0300193818089067,0.0072361829064311,-0.273254735130929,0.00173106388736661
U8416,-0.00223340173440403,-0.0196878055069448,-0.00571411296455243,0.0326981081575224,-0.0312926957587606,-0.0203369312696441,0.0064700455118872,-0.174679513614822,0.00385724321830068,0.00668456264127848,-0.0436516787639074,0.0966821654392949,-0.00550292178651284,0.0108228660860115,-0.0117107932763567,-0.189684076913265,-0.00526386707918309,-0.0331226241350207,0.00578645284795184,0.0300556731116219,-0.0272798130143001,-0.0269701606608166,-0.0962116122813394,-0.0452277960327035
HL23_mm_,1.43828604648142,1.42999636968715,0.884253066046269,0.560761869815662,1.52894939834526,1.6000084473475,1.40719610894732,0.79884947321182,1.4827141478567,1.42419786608595,1.10124294020151,0.70758916833017,1.56532516774006,1.58009753916491,1.45866005743305,1.00963776789812,1.31945151174635,1.58943232411899,0.288719105760394,0.144446365060514,1.51632999594579,1.37492354029511,0.843999218892852,0.375585508668092
HL27_mm_,0.0537597879649525,0.163096921740435,-0.0264286536779338,-0.238302019945774,0.160302621763749,0.133432412823364,0.128018025270155,0.112789099323574,0.056029279675281,0.0948557130850678,0.0144319336064407,-0.157690098497422,0.136209299852839,0.126631252301436,0.0554951800567106,0.189034892860901,0.0923837450869239,0.188151798659125,-0.0850692190265407,-0.159386471537458,0.128999630589409,0.0995730609071547,-0.0688364079684975,-0.0598208546696315
SensHL,-1.17534143515405,-1.04962571141404,-0.787073290789967,-0.738128434618047,-1.13716361159209,-1.22612997181776,-1.06716695153314,-0.562643069636165,-1.2108727894136,-1.1188744399599,-0.928974253748354,-0.77742158134327,-1.19435539656261,-1.21698090754659,-1.18975696112656,-0.660655761704902,-1.03119682766938,-1.15835415094742,-0.34082507432993,-0.295745260013858,-1.16030510314505,-1.07048541282714,-0.797082141680506,-0.386272376014729
