ft,wue,dorm,lat
dorm,-0.0588356688028551,-0.364453083937475,1,-0.363474213054024
GPC20,-0.152745656363499,-0.17449782835905,0.161622525621062,-0.00527872845061407
GPC2,-0.0947229389096788,-0.149970281536824,-0.0268022836100047,-0.0776446444914341
id,-0.0034815583045774,-0.134607345732825,0.247519142567091,-0.0128573953723981
temp_min3,-0.0862134726963031,-0.121477693615607,0.0553474360189198,-0.021055831769406
prec12,-0.054590001996553,-0.116721616022694,0.0396304755311394,-0.0738470676719778
temp_min11,-0.0836237446127108,-0.112871415620041,0.00789098634414757,-0.0104644528114191
GPC19,-0.179083347352194,-0.112176361872655,0.0756853506634398,-0.151060052280663
GPC6,0.0251101739095795,-0.111273250942003,-0.20360827155509,-0.154648305294944
bio19,-0.0631405100372426,-0.110576562294899,0.0545916986062963,-0.0701605171982856
temp_min12,-0.092830605773072,-0.109719355919077,0.056894418317758,-0.036606067119877
bio6,-0.0906327800324637,-0.108093096505007,0.0705397130745421,-0.0423419047810496
temp_min1,-0.0868087702326358,-0.107683869550853,0.0714002245741774,-0.043224187355738
prec3,-0.0557336190444555,-0.106513165438716,0.00804767746187296,-0.0756182596928322
prec11,-0.0450134163349152,-0.106510875420455,0.0623060706799295,-0.0698089769075577
temp_min2,-0.0846513466461722,-0.10314206342559,0.0394639606169937,-0.0265381608702417
temp_min10,-0.0650465607135079,-0.100740885757069,0.00983128964469992,0.0366245743513937
bio11,-0.0854539130994328,-0.0998044275113421,0.00653791938693082,-0.00493885827331709
prec1,-0.0574008721620099,-0.0984439162900976,0.0549731831918577,-0.0794248217027736
bio13,-0.0544296541968934,-0.0978117429631721,0.0349185866747098,-0.0410790886498588
bio16,-0.0521189700943499,-0.0962610291112038,0.0380358561883709,-0.0587401014735204
bio12,-0.0449322188772272,-0.096011129719322,0.0472425506799109,-0.0918230174789769
prec2,-0.0770050943440645,-0.0949589104066521,0.0494537834113304,-0.0502943545703164
temp_max3,-0.0588423530207288,-0.0931775844651651,-0.0461119489279709,0.0580419016520758
temp_max2,-0.067625715554803,-0.0913524167914805,-0.0424599117115731,0.0412789216558059
temp_max1,-0.0746898430374547,-0.089189351372712,-0.020250366485358,0.0204976152957592
temp_max12,-0.076160443224713,-0.0877513693431489,-0.0351725961593547,0.0282775920497261
temp_max11,-0.0645457007754826,-0.0861036067197428,-0.080747629674196,0.0665130813866797
temp_min4,-0.0472507409309026,-0.0849751305270631,0.0031934836041001,0.0658661611844986
bio17,-0.0454374240334817,-0.0812985959041893,0.0518795716160103,-0.159705830156067
bio1,-0.0516553736825338,-0.0786875345007162,-0.0498039373770381,0.0817321377256114
prec10,-0.0300817305395152,-0.0773671420899933,0.0310311914463717,-0.0301938932163548
GPC18,-0.0747007089035489,-0.0766500627940742,-0.0865983014685243,0.0460779778780906
bio14,-0.048160366139889,-0.0744612760426827,0.0721825566906012,-0.175836335122058
temp_min5,-0.0145379762896029,-0.0738595743599389,-0.0182356266518757,0.102204503477374
prec9,-0.0130430835556263,-0.0695349253789322,0.051749741283354,-0.124111056728898
temp_min9,-0.0322084454228755,-0.0691685216123915,-0.0406337054201369,0.102979066738878
bio3,-0.0603626673968489,-0.0685863672849189,-0.0747076439348569,-0.00729973995497833
meanpet,-0.0529942133739136,-0.0657050713188378,-0.0881886207914165,0.0956061197789034
prec4,-0.0471061758739975,-0.0647621166408398,-0.0193624789351648,0.00336288170232477
GPC1,0.050164317480416,-0.063978555751393,0.0784846644574377,-0.0972741153534883
temp_max10,-0.0382795513454816,-0.0614106916839909,-0.113549827300466,0.111958215288685
temp_max4,-0.00886962150571092,-0.0542420892365048,-0.0950003635274272,0.117701646940555
temp_min8,-0.00689525440501021,-0.0515631999334788,-0.0353860978695997,0.124843603797666
