ft,wue,dorm,gr,lat,long
GPC19,-0.191276582650845,-0.196842010710256,0.417452520159838,-0.134372944611641,-0.148518593708504,0.0267079518382081
GPC4,-0.180603017416499,-0.109157291263099,-0.245475729180056,-0.0469629249794203,-0.251069963575371,-0.0234835858937307
temp_min1,-0.139912946542999,-0.153929834093844,0.311242454743095,-0.0982143289910209,-0.0422113982041789,0.0656729492041649
bio6,-0.138513012336147,-0.154499007612177,0.311242454743095,-0.096336266250866,-0.0399649568254246,0.0657945344814283
temp_min12,-0.137821732709571,-0.159621240386009,0.297585216583,-0.0909740235211398,-0.045614936248763,0.0660099199721875
temp_min2,-0.135598033321717,-0.152023586137789,0.339353534019739,-0.0838976378504345,-0.0299273376395063,0.0674561380753346
bio11,-0.134563979555715,-0.152775497083506,0.381637614228271,-0.0765987189113347,-0.00629976125586745,0.0617858947473376
temp_max1,-0.134480939221266,-0.144370768379856,0.425430271020676,-0.0692794330867022,0.0248830503635665,0.0581112612514987
GPC20,-0.130800104371732,-0.241823889848409,0.282087093352088,-0.174296262005565,-0.132460074666755,0.0603243989233011
bio3,-0.130617283825112,-0.09879488410865,0.530071694674363,-0.106300286179234,-0.00825084612778503,0.0236357567256288
temp_min3,-0.128952009822831,-0.170753472766718,0.261813174937946,-0.066506270499932,-0.0396455956599879,0.0625585194836908
GPC8,-0.127054928649521,0.0290983951516752,0.276384230458945,0.0223819752799694,-0.158276935080759,-0.0706140909036983
GPC7,-0.123865878956168,-0.0402801975613496,0.139583222703971,-0.0184991368352041,-0.260859647731348,0.0497351338352297
temp_max12,-0.123415578861311,-0.148119177061435,0.422537325445865,-0.0561516962094094,0.0230972780755086,0.0553629650175974
temp_max2,-0.122862897212244,-0.147630217685523,0.427057933166171,-0.0520300456908918,0.0386639047930223,0.0515329550939978
temp_min11,-0.113007891663957,-0.176018455428147,0.315537395716285,-0.0442136220056853,-0.024353493756869,0.066653112637306
bio9,-0.109654089251144,-0.0676373858586589,0.576815900631705,-0.0513399102010072,0.0866083321130035,0.0657778532796242
temp_max3,-0.108033948735155,-0.140580600218361,0.391223375343468,-0.0301163524510894,0.0398537522328412,0.0307993708849539
GPC18,-0.0920213911421846,-0.150703587925009,0.0840385057665555,-0.279547198278693,0.0647893433843798,0.174449035476829
temp_max11,-0.0875982934730038,-0.156564646746561,0.412520857975898,-0.00578666708951757,0.0462899474412211,0.0454723991438762
GPC2,-0.0782084169600757,-0.128018384354664,-0.166708440821922,-0.0970994071682203,-0.0894557368716729,-0.0931644154235217
bio1,-0.0733650714556055,-0.146894304460106,0.342449911516472,0.018621304600891,0.0845279308833633,0.0460926378545304
temp_min10,-0.0731252957329759,-0.174336458596112,0.28379189964846,0.000262815993522893,0.0431160321247171,0.0722740608477773
GPC17,-0.069812267769484,0.198395432526805,0.55156684519317,0.0728882437367594,0.131726827924518,-0.00731434212601366
temp_min4,-0.0548422544490959,-0.149782629221761,0.150413437073644,0.0160820577171232,0.0913310347321988,0.0839957379241095
meanpet,-0.0535238219134217,-0.11960438045068,0.431960199900516,0.0392568674916875,0.113068347304575,0.0244904204178695
temp_max10,-0.0300679971729978,-0.136182825532494,0.402571321423946,0.054387468145748,0.0971544711440062,0.0227054251082695
id.1,-0.0290465529461156,-0.0424248893835124,0.201851233346952,-0.0947699907849489,0.216026132012424,-0.00709234387055549
latitude,-0.0250562380608574,0.0480270862303175,-0.575116309790826,-0.0631534501721193,-0.162155963778745,-0.0456815999759108
prec2,-0.0159432729444698,-0.153535885873826,0.143578118577143,-0.127024352566791,-0.0601531848279973,0.0465426262940911
temp_min9,-0.0156332585251789,-0.147548199660353,0.29949840371544,0.0673104195663608,0.116945336140521,0.0560491709809546
temp_max4,-0.0123850463115964,-0.113312015645803,0.235545942622071,0.0656918463499355,0.133772985651178,0.0128835862183758
