ft,wue,dorm,gr,lat,long
GPC20,-0.130800104371732,-0.241823889848436,NA,-0.174296262005565,-0.13246007466676,NA
GPC19,-0.191276582650844,-0.196842010710275,NA,-0.134372944611641,-0.148518593708508,NA
prec3,NA,-0.184382417356455,NA,NA,-0.128207107827675,NA
temp_min11,-0.113007891663957,-0.176018455428165,NA,NA,NA,NA
prec11,NA,-0.175673714297751,NA,NA,-0.0933034099040062,NA
temp_min10,NA,-0.174336458596127,NA,NA,NA,NA
prec12,NA,-0.173828992475148,NA,NA,-0.0931632034734525,NA
temp_min3,-0.128952009822831,-0.170753472766733,NA,NA,NA,NA
bio19,NA,-0.16945907010004,NA,NA,NA,NA
temp_min12,-0.137821732709571,-0.159621240386023,NA,NA,NA,NA
prec1,NA,-0.156958445131708,NA,NA,NA,NA
temp_max11,NA,-0.156564646746588,NA,NA,NA,NA
bio6,-0.138513012336147,-0.154499007612183,NA,NA,NA,NA
bio16,NA,-0.154196074943701,NA,NA,NA,NA
temp_min1,-0.139912946542999,-0.153929834093854,NA,NA,NA,NA
prec2,NA,-0.15353588587382,NA,NA,NA,NA
bio11,-0.134563979555714,-0.152775497083519,NA,NA,NA,NA
longitude,NA,0.170838355745497,-0.565554422001577,NA,0.224078838316094,NA
GPC17,NA,0.198395432526822,NA,NA,0.131726827924523,NA
long,NA,0.209836942796382,NA,NA,0.254266943187464,1
lat,0.180800017368776,0.221114337817562,NA,0.225389038578421,1,0.254266943187464
gr,0.709100882178918,0.308666461878382,NA,1,0.225389038578421,NA
ft,1,0.348738243912854,NA,0.709100882178918,0.180800017368776,NA
wue,0.348738243912854,1,NA,0.308666461878382,0.221114337817562,0.209836942796382
dorm,NA,NA,1,NA,NA,NA
id.1,NA,NA,NA,NA,0.216026132012425,NA
latitude,NA,NA,-0.575116309790819,NA,-0.162155963778846,NA
bio1,NA,NA,NA,NA,NA,NA
bio2,NA,NA,0.631923503417526,NA,0.171914583118856,-0.0888978935620983
bio3,-0.130617283825104,NA,NA,NA,NA,NA
bio4,0.157145618277937,NA,NA,0.156828139998715,0.118737678069122,NA
bio5,NA,NA,NA,NA,0.210534972500825,NA
bio7,0.137528879567574,NA,0.594546839911425,0.154780787069394,0.141026074336604,NA
bio8,0.122196450343981,NA,-0.554392441610618,NA,NA,NA
bio9,-0.109654089251144,NA,0.576815900631705,NA,0.0866083321130008,NA
bio10,NA,NA,NA,0.13499946046629,0.198337818760939,NA
bio12,NA,NA,NA,NA,-0.164398868821198,NA
bio13,NA,NA,NA,NA,NA,NA
bio14,NA,NA,NA,NA,-0.293032357874823,NA
bio15,NA,NA,NA,NA,0.26413394452434,NA
bio17,NA,NA,NA,NA,-0.291515883197577,NA
bio18,0.0887533035846028,NA,NA,NA,-0.238462821447424,NA
prec4,NA,NA,NA,NA,NA,NA
prec5,NA,NA,NA,NA,-0.137025342645461,NA
prec6,NA,NA,NA,NA,-0.219637388393343,NA
prec7,0.102435403929884,NA,NA,NA,-0.211513475506895,NA
prec8,NA,NA,NA,NA,-0.258521385041741,NA
prec9,NA,NA,NA,NA,-0.231511182150771,NA
prec10,NA,NA,NA,NA,NA,NA
temp_min2,-0.135598033321717,NA,NA,NA,NA,NA
temp_min4,NA,NA,NA,NA,0.091331034732195,NA
temp_min5,NA,NA,NA,NA,0.144349183356102,NA
temp_min6,NA,NA,NA,0.14356905626602,0.175225032713527,NA
temp_min7,NA,NA,NA,0.136393388120179,0.168631773734512,NA
temp_min8,NA,NA,NA,NA,0.145652588076583,NA
temp_min9,NA,NA,NA,NA,0.116945336140527,NA
temp_max1,-0.134480939221266,NA,NA,NA,NA,NA
temp_max2,-0.122862897212244,NA,NA,NA,NA,NA
temp_max3,-0.108033948735154,NA,NA,NA,NA,NA
temp_max4,NA,NA,NA,NA,0.133772985651158,NA
temp_max5,NA,NA,NA,NA,0.171610058791553,NA
temp_max6,NA,NA,NA,0.155880626824864,0.195915731238961,NA
temp_max7,NA,NA,NA,NA,0.207430172637632,NA
temp_max8,NA,NA,NA,NA,0.200236202423835,NA
temp_max9,NA,NA,NA,NA,0.176708944402417,NA
temp_max10,NA,NA,NA,NA,0.0971544711440421,NA
temp_max12,-0.123415578861309,NA,NA,NA,NA,NA
GPC1,NA,NA,NA,NA,-0.246349143553435,-0.139500231170207
GPC2,NA,NA,NA,NA,-0.0894557368716768,-0.0931644154235218
GPC3,NA,NA,NA,NA,-0.124291787109893,NA
GPC4,-0.180603017416499,NA,NA,NA,-0.251069963575379,NA
GPC5,NA,NA,NA,NA,-0.319671023846754,-0.215515977191936
GPC6,NA,NA,-0.811444754752677,NA,-0.2618306247913,-0.0894687308699742
GPC7,-0.123865878956168,NA,NA,NA,-0.260859647731353,NA
GPC8,-0.127054928649521,NA,NA,NA,-0.158276935080764,NA
GPC9,NA,NA,NA,NA,NA,NA
GPC10,NA,NA,NA,NA,NA,0.19424520409536
GPC11,0.101079697020869,NA,NA,NA,NA,NA
GPC12,NA,NA,NA,-0.135439170872657,NA,0.0927188343876789
GPC13,NA,NA,NA,NA,NA,0.263374398125949
GPC14,NA,NA,NA,NA,NA,NA
GPC15,NA,NA,NA,NA,NA,NA
GPC16,0.0938328336007851,NA,NA,NA,NA,-0.0989892644570216
GPC18,-0.0920213911421846,NA,NA,-0.279547198278693,NA,0.174449035476829
meanpet,NA,NA,NA,NA,0.113068347304584,NA
