acc_pearson	phenotype
1	FT10
0.9999999999999998	FT16
0.9999999999999999	DSDS10
0.9999999999999999	DSDS50
1	DSDS90
0.9999999999999999	FT
1	GAS
1	SS
1	t10
0.9999999999999999	t50
1	U8416
1	HL23_mm_
1	HL27_mm_
1	SensHL
1	VarTemp
1	G2H3B
1	G2H4P
1	G2P
0.9999999999999999	G3B
1	G3BOP
1	G3HP
1	G3MSP
1	G3MTP
1	G4BOB
1	G4HB
0.9999999999999998	G4MSB
1	G4MTB
1	G4P
1	G5MSP
0.9999999999999998	G5MTP
0.9999999999999998	G6MSH
1	G6MTH
1	G7MSH
1	G7MTH
1	G8MSO
0.9999999999999999	G8MTO
0.9999999999999999	X16S_OTU0_1
1	X16S_OTU10_11
1	X16S_OTU101_102
0.9999999999999999	X16S_OTU1026_1027
0.9999999999999999	X16S_OTU1037_1038
1	X16S_OTU104_105
1	X16S_OTU1076_1077
1	X16S_OTU11_12
0.9999999999999999	X16S_OTU110_111
1	X16S_OTU116_117
1	X16S_OTU12_13
1	X16S_OTU125_126
1	X16S_OTU129_130
1	X16S_OTU15_16
1	X16S_OTU151_152
1	X16S_OTU154_155
1	X16S_OTU157_158
0.9999999999999999	X16S_OTU159_160
1	X16S_OTU17_18
0.9999999999999999	X16S_OTU1782_1783
1	X16S_OTU18_19
1	X16S_OTU190_191
1	X16S_OTU193_194
1	X16S_OTU197_198
1	X16S_OTU199_200
0.9999999999999998	X16S_OTU200_201
0.9999999999999999	X16S_OTU202_203
0.9999999999999999	X16S_OTU2052_2053
0.9999999999999998	X16S_OTU219_220
1	X16S_OTU22_23
1	X16S_OTU225_226
1	X16S_OTU2284_2285
0.9999999999999999	X16S_OTU233_234
1	X16S_OTU2331_2332
0.9999999999999999	X16S_OTU243_244
0.9999999999999999	X16S_OTU252_253
1	X16S_OTU254_255
0.9999999999999999	X16S_OTU2561_2562
1	X16S_OTU26_27
1	X16S_OTU273_274
1	X16S_OTU278_279
0.9999999999999999	X16S_OTU28_29
0.9999999999999998	X16S_OTU281_282
0.9999999999999999	X16S_OTU29_30
0.9999999999999999	X16S_OTU293_294
0.9999999999999999	X16S_OTU308_309
1	X16S_OTU32_33
1	X16S_OTU320_321
0.9999999999999999	X16S_OTU325_326
1	X16S_OTU329_330
1	X16S_OTU336_337
1	X16S_OTU349_350
1	X16S_OTU358_359
1	X16S_OTU37_38
1	X16S_OTU373_374
1	X16S_OTU38_39
1	X16S_OTU385_386
1	X16S_OTU395_396
1	X16S_OTU4_5
1	X16S_OTU40_41
1	X16S_OTU452_453
1	X16S_OTU478_479
0.9999999999999999	X16S_OTU48_49
1	X16S_OTU488_489
1	X16S_OTU507_508
1	X16S_OTU51_52
1	X16S_OTU52_53
1	X16S_OTU546_547
1	X16S_OTU555_556
1	X16S_OTU557_558
1	X16S_OTU561_562
0.9999999999999998	X16S_OTU562_563
1	X16S_OTU581_582
1	X16S_OTU59_60
0.9999999999999999	X16S_OTU592_593
1	X16S_OTU6_7
1	X16S_OTU61_62
1	X16S_OTU615_616
0.9999999999999999	X16S_OTU63_64
1	X16S_OTU633_634
1	X16S_OTU648_649
1	X16S_OTU651_652
1	X16S_OTU68_69
0.9999999999999998	X16S_OTU70_71
1	X16S_OTU723_724
1	X16S_OTU728_729
1	X16S_OTU73_74
1	X16S_OTU80_81
0.9999999999999998	X16S_OTU835_836
1	X16S_OTU836_837
0.9999999999999998	X16S_OTU85_86
0.9999999999999999	X16S_OTU913_914
1	X16S_OTU93_94
1	X16S_OTU949_950
0.9999999999999999	ITS_OTU1000_1001
1	ITS_OTU1051_1052
1	ITS_OTU1054_1055
1	ITS_OTU1084_1085
1	ITS_OTU1088_1089
1	ITS_OTU1091_1092
1	ITS_OTU1107_1108
0.9999999999999999	ITS_OTU1136_1137
1	ITS_OTU1145_1146
1	ITS_OTU1152_1153
1	ITS_OTU1189_1190
1	ITS_OTU1197_1198
1	ITS_OTU1198_1199
0.9999999999999998	ITS_OTU1202_1203
1	ITS_OTU1290_1291
1	ITS_OTU1386_1387
1	ITS_OTU1404_1405
1	ITS_OTU1425_1426
1	ITS_OTU1481_1482
1	ITS_OTU1492_1493
1	ITS_OTU1502_1503
1	ITS_OTU1537_1538
1	ITS_OTU1549_1550
1	ITS_OTU1576_1577
0.9999999999999999	ITS_OTU1584_1585
1	ITS_OTU1614_1615
1	ITS_OTU1631_1632
1	ITS_OTU1644_1645
0.9999999999999999	ITS_OTU1650_1651
1	ITS_OTU1660_1661
1	ITS_OTU1666_1667
1	ITS_OTU1671_1672
1	ITS_OTU1676_1677
1	ITS_OTU1713_1714
1	ITS_OTU1738_1739
0.9999999999999999	ITS_OTU1762_1763
1	ITS_OTU1772_1773
1	ITS_OTU1786_1787
1	ITS_OTU1800_1801
1	ITS_OTU1805_1806
1	ITS_OTU1808_1809
1	ITS_OTU1822_1823
1	ITS_OTU1827_1828
1	ITS_OTU1845_1846
1	ITS_OTU1890_1891
1	ITS_OTU1941_1942
0.9999999999999999	ITS_OTU1953_1954
1	ITS_OTU2043_2044
1	ITS_OTU2054_2055
1	ITS_OTU2081_2082
1	ITS_OTU2082_2083
1	ITS_OTU2103_2104
1	ITS_OTU2109_2110
1	ITS_OTU2128_2129
1	ITS_OTU2129_2130
1	ITS_OTU2154_2155
1	ITS_OTU2179_2180
1	ITS_OTU2243_2244
1	ITS_OTU2349_2350
1	ITS_OTU2419_2420
0.9999999999999999	ITS_OTU2460_2461
0.9999999999999999	ITS_OTU2678_2679
1	ITS_OTU2761_2762
1	ITS_OTU2877_2878
1	ITS_OTU2911_2912
1	ITS_OTU2934_2935
1	ITS_OTU3025_3026
1	ITS_OTU3029_3030
0.9999999999999999	ITS_OTU3043_3044
1	ITS_OTU3185_3186
1	ITS_OTU3313_3313
1	ITS_OTU3327_3327
1	ITS_OTU3376_3376
1	ITS_OTU3421_3421
1	ITS_OTU3455_3455
1	ITS_OTU3467_3467
1	ITS_OTU3507_3507
1	ITS_OTU3573_3573
1	ITS_OTU3751_3751
0.9999999999999998	ITS_OTU3804_3804
1	ITS_OTU3820_3820
1	ITS_OTU3874_3874
1	ITS_OTU3962_3962
1	ITS_OTU4268_4268
1	ITS_OTU600_601
0.9999999999999999	ITS_OTU621_622
1	ITS_OTU763_764
0.9999999999999999	ITS_OTU776_777
0.9999999999999999	ITS_OTU780_781
1	ITS_OTU822_823
1	ITS_OTU850_851
1	ITS_OTU883_884
0.9999999999999998	ITS_OTU892_893
1	ITS_OTU899_900
1	ITS_OTU905_906
0.9999999999999999	ITS_OTU907_908
0.9999999999999999	ITS_OTU910_911
1	ITS_OTU917_918
1	ITS_OTU921_922
0.9999999999999999	ITS_OTU998_999
1	elfDC
1	elfPs
1	elfPv
1	flgPa
1	flgPsHRm
1	flgPsHRp
0.9999999999999998	flgPv
1	day10_27C_cut
1	day10_30C_cut
1	day10_30C_uncut
1	day11_27C_cut
0.9999999999999998	day11_27C_uncut
0.9999999999999999	day12_27C_cut
0.9999999999999999	day13_27C_cut
1	day13_27C_uncut
1	day3_27C_cut
1	day3_27C_uncut
1	day3_30C_cut
1	day3_30C_uncut
1	day4_27C_cut
0.9999999999999999	day4_27C_uncut
1	day4_30C_cut
0.9999999999999999	day4_30C_uncut
1	day5_27C_cut
1	day5_27C_uncut
1	day5_30C_cut
0.9999999999999999	day5_30C_uncut
1	day6_27C_cut
0.9999999999999999	day6_27C_uncut
0.9999999999999998	day6_30C_cut
1	day6_30C_uncut
1	day7_27C_cut
1	day7_27C_uncut
1	day7_30C_cut
1	day7_30C_uncut
0.9999999999999998	day8_27C_uncut
1	day9_27C_uncut
1	LB_vs_PR_DhighN_vs_lowN
1	LB_vs_PR_highN
1	LB_vs_PR_lowN
1	LR_count_DhighN_vs_lowN
1	LR_count_highN
1	LR_count_lowN
1	LRdensity_DhighN_vs_lowN
1	LRdensity_highN
1	LRdensity_lowN
1	LRlengthave_DhighN_vs_lowN
1	LRlengthave_highN
1	LRlengthave_lowN
1	LRtot_DhighN_vs_lowN
1	LRtot_highN
1	LRtot_lowN
1	PR_DhighN_vs_lowN
1	PR_highN
1	PR_lowN
1	PR_plus_LRtot_DhighN_vs_lowN
1	PR_plus_LRtot_highN
1	PR_plus_LRtot_lowN
1	SA_DhighN_vs_lowN
1	SA_highN
1	SA_lowN
0.9999999999999999	SA_to_PR_DhighN_vs_lowN
1	SA_to_PR_highN
0.9999999999999998	SA_to_PR_lowN
0.9999999999999998	DTF_Oct_2010
1	DTF_Oct_2040
1	DTF_Sep_2010
1	DTF_Sep_2040
1	X108_Area_sweden_2009_1st_experiment
1	X109_SizePlantingSummer2009
1	X110_Size_sweden_2009_2nd_experiment
1	X111_SizePlantingSummerLocSweden2009
0.9999999999999999	X112_Area_sweden_2009_2nd_experiment
0.9999999999999998	X113_DTF_sweden_2008_1st_experiment
0.9999999999999999	X114_Yield_sweden_2009_2nd_experiment
1	X115_SizeLocSweden2009
1	X116_DTFplantingSummerLocSweden2009
0.9999166374721816	X117_DTFlocSweden2008
0.9999350117450388	X118_DTFlocSweden2009
1	X119_DTF_spain_2009_1st_experiment
1	X120_DTFplantingLoc2008
1	X121_DTF_spain_2009_2nd_experiment
1	X122_Yield_spain_2009_2nd_experiment
1	X123_Size_sweden_2009_1st_experiment
1	X124_Yield_spain_2009_1st_experiment
1	X125_DTFmainEffect2009
0.9994485745874416	X126_DTFmainEffect2008
0.9999999999999999	X127_Size_spain_2009_2nd_experiment
1	X128_Size_spain_2009_1st_experiment
0.9999548852590571	X129_DTFplantingSummer2009
0.9999999999999999	X130_DTFplantingSummer2008
0.9999999999999999	X131_SizeMainEffect2009
1	X132_DTF_spain_2008_1st_experiment
0.9999999999999999	X133_YieldPlantingSummer2009
1	X134_DTF_sweden_2009_1st_experiment
1	X135_YieldLocSweden2009
1	X136_DTF_spain_2008_2nd_experiment
1	X137_YieldMainEffect2009
1	X138_YieldPlantingSummerLocSweden2009
1	X139_Yield_sweden_2009_1st_experiment
1	X140_DTF_sweden_2009_2nd_experiment
1	X141_DTF_sweden_2008_2nd_experiment
1	D2_entrance_per
1	GEMINATION_4D_per
0.9999999999999999	GERMINATION_1D_per
1	Direction_index
0.9999999999999998	Root_angle
1	NC_0557
1	NC_0570
0.18878253356116262	NC_0596
0.9999999999999998	NC_0662
0.4039320619521311	NC_0674
1	NC_0704
0.40095073924421554	NC_0705
0.9999999999999997	NC_0734
0.9999999999999999	NC_0790
0.13966964681179492	NC_0928
1	NC_1008
0.15650662230708764	NC_1036
0.3637157000985111	NC_1057
0.9999999999999999	NC_1092
0.5934821678726543	NC_1111
0.5893349842411195	NC_1125
0.16084236008968344	NC_1142
0.49327401287658146	NC_1201
0.6918107356904012	NC_1213
0.5496434232791634	NC_1260
0.1672910848519098	NC_1295
0.7239237741523648	NC_1334
0.9999999999999998	NC_1379
0.9999999999999999	NC_1383
1	NC_1393
0.16120711252994854	NC_1422
0.04772987970402841	NC_1427
1	NC_1433
1	NC_1474
0.5727041258255009	NC_1542
0.2648452683347907	NC_1548
0.5010872044615376	NC_1971
0.2797782464945895	NC_2426
1	PC_0435
1	PC_0441
1	PC_0446
0.9999999999999999	PC_0448
0.9999999999999998	PC_0451
1	PC_0454
0.246227476238003	PC_0455
0.5102986763859225	PC_0490
1	PC_0499
1	PC_0500
1	PC_0506
0.9999999999999998	PC_0512
0.323504500003066	PC_0526
0.5527486199190367	PC_0544
1	PC_0546
0.9999999999999999	PC_0552
1	PC_0558
1	PC_0570
1	PC_0601
1	PC_0615
1	PC_0626
0.3584681214787249	PC_0631
1	PC_0633
1	PC_0635
0.19085334370879126	PC_0638
0.2882634210328305	PC_0642
1	PC_0658
0.9999999999999998	PC_0673
1	PC_0684
0.9999999999999999	PC_0688
1	PC_0709
1	PC_0712
1	PC_0785
1	PC_0846
1	PC_0858
0.42181479898868673	PC_0866
1	PC_0932
1	PC_1145
0.6248587084470221	PC_1181
0.513728017678204	PC_1237
1	PC_1246
0.22237283193275165	PC_1248
1	PC_1265
0.663959132245569	PC_1274
0.9999999999999999	PC_1322
0.9999999999999999	PC_1401
0.28196116053025444	PC_1410
1	PC_1435
0.42146642910634596	PC_1465
1	PC_1490
0.5318904199812492	PC_1491
0.39967317857957374	PC_1493
0.9999999999999999	PC_1528
0.5187945854350869	PC_1533
1	PC_1732
0.32200864502144555	PC_1734
0.9999999999999999	PC_1755
0.9999999999999999	PC_1782
1	PC_1857
1	PC_1976
0.9999999999999998	PC_1998
0.9999999999999999	PC_2045
0.6438406332882927	PC_2372
0.6659701341307785	PC_2395
0.4287699143775157	PC_2413
1	met01
1	met02
1	met03
1	met04
1	met05
1	met06
1	met07
0.9999999999999999	met08
1	met09
0.9999999999999998	met10
0.9999999999999999	met11
1	met12
0.9999999999999999	met13
1	met14
1	met15
1	met16
1	met17
1	met18
1	met19
1	met20
1	met21
0.9999999999999999	met22
1	met23
1	met24
1	met25
1	met26
1	met27
1	met28
1	met29
1	met30
1	met31
1	met32
1	met33
0.9999999999999998	met34
1	met35
1	met36
1	met37
0.9999999999999998	met38
1	met39
0.9999999999999998	met40
0.9999999999999998	met41
0.9999999999999998	met42
1	met43
1	met44
1	met45
1	met46
1	met47
1	met48
0.9999999999999998	met49
1	met50
0.9999999999999998	met51
1	met52
1	met53
0.9999999999999999	met54
1	met55
1	met56
1	met57
1	met58
1	met59
1	met60
1	met61
0.9999999999999998	met62
0.9999999999999999	met63
1	met64
1	met65
1	met66
1	met67
0.9999999999999999	met68
1	met69
1	met70
1	met71
1	met72
1	met73
0.9999999999999998	met74
1	met75
1	met76
1	met77
1	met78
0.9999999999999998	met79
1	met80
1	met81
0.9999999999999998	met82
1	met83
1	met84
1	met85
1	met86
0.9999999999999998	met87
0.9999999999999998	met88
0.9999999999999998	met89
0.9999999999999998	met90
1	met91
1	met92
1	met93
1	met94
1	X142_Mature_cell_length
1	X143_Meristem_zone_length
0.9999999999999998	LR.no_ABA
0.9999999999999998	LR.no_C
0.9999999999999998	LR.no_CK
1	LR.no_IAA
1	LRD_P_ABA
1	LRD_P_C
1	LRD_P_CK
1	LRD_P_IAA
0.9999999999999998	LRD_R_ABA
1	LRD_R_C
1	LRD_R_CK
1	LRD_R_IAA
1	LRL_ABA
1	LRL_C
1	LRL_CK
0.9999999999999999	LRL_IAA
1	LRR_ABA
1	LRR_C
0.9999999999999999	LRR_CK
1	LRR_IAA
1	P_ABA
1	P_C
1	P_CK
1	P_IAA
1	P2_ABA
1	P2_C
1	P2_CK
1	P2_IAA
1	R_ABA
1	R_C
0.9999999999999999	R_CK
1	R_IAA
1	TLRL_ABA
0.9999999999999998	TLRL_C
1	TLRL_CK
1	TLRL_IAA
0.9999999999999999	TRL_ABA
1	TRL_C
1	TRL_CK
1	TRL_IAA
1	X289_Root_length_Day_1
1	X290_Root_length_Day_2
1	X291_Root_length_Day_3
1	X292_Root_length_Day_4
0.9999999999999998	X293_Root_length_Day_5
1	Average_root_width_avg
0.9999999999999999	Average_root_width_day001
1	Average_root_width_day002
1	Average_root_width_day003
1	Average_root_width_day004
1	Average_root_width_day005
1	Euclidian_length_day001
0.9999999999999999	Euclidian_length_day002
1	Euclidian_length_day003
0.9999999999999999	Euclidian_length_day004
0.9999999999999998	Euclidian_length_day005
1	Relative_root_growth_rate_avg
1	Relative_root_growth_rate_day001.day002
1	Relative_root_growth_rate_day002.day003
1	Relative_root_growth_rate_day003.day004
1	Relative_root_growth_rate_day004.day005
1	Root_angle_avg
1	Root_angle_day001
1	Root_angle_day002
1	Root_angle_day003
0.9999999999999998	Root_angle_day004
0.9999999999999998	Root_angle_day005
1	Root_directional_equivalent_avg
1	Root_directional_equivalent_day001
0.9999999999999998	Root_directional_equivalent_day002
1	Root_directional_equivalent_day003
0.9999999999999998	Root_directional_equivalent_day004
0.9999999999999998	Root_directional_equivalent_day005
1	Root_growth_rate_avg
1	Root_growth_rate_day001.day002
1	Root_growth_rate_day002.day003
1	Root_growth_rate_day003.day004
1	Root_growth_rate_day004.day005
1	Root_horizontal_index_avg
0.9999999999999998	Root_horizontal_index_day001
