perc_miss	phenotype
0.5214391325776244	FT10
0.5032035485460818	FT16
0.08723509117792015	DSDS10
0.08723509117792015	DSDS50
0.08723509117792015	DSDS90
0.08674223755544604	FT
0.08723509117792015	GAS
0.08723509117792015	SS
0.08378511582060127	t10
0.08378511582060127	t50
0.08378511582060127	U8416
0.04583538689009364	HL23_mm_
0.04583538689009364	HL27_mm_
0.04583538689009364	SensHL
0.04583538689009364	VarTemp
0.2932479053721045	G2H3B
0.2932479053721045	G2H4P
0.2932479053721045	G2P
0.2932479053721045	G3B
0.2932479053721045	G3BOP
0.2932479053721045	G3HP
0.2932479053721045	G3MSP
0.2932479053721045	G3MTP
0.2932479053721045	G4BOB
0.2932479053721045	G4HB
0.2932479053721045	G4MSB
0.2932479053721045	G4MTB
0.2932479053721045	G4P
0.2932479053721045	G5MSP
0.2932479053721045	G5MTP
0.2932479053721045	G6MSH
0.2932479053721045	G6MTH
0.2932479053721045	G7MSH
0.2932479053721045	G7MTH
0.2932479053721045	G8MSO
0.2932479053721045	G8MTO
0.07097092163627403	X16S_OTU0_1
0.07097092163627403	X16S_OTU10_11
0.07097092163627403	X16S_OTU101_102
0.07097092163627403	X16S_OTU1026_1027
0.07097092163627403	X16S_OTU1037_1038
0.07097092163627403	X16S_OTU104_105
0.07097092163627403	X16S_OTU1076_1077
0.07097092163627403	X16S_OTU11_12
0.07097092163627403	X16S_OTU110_111
0.07097092163627403	X16S_OTU116_117
0.07097092163627403	X16S_OTU12_13
0.07097092163627403	X16S_OTU125_126
0.07097092163627403	X16S_OTU129_130
0.07097092163627403	X16S_OTU15_16
0.07097092163627403	X16S_OTU151_152
0.07097092163627403	X16S_OTU154_155
0.07097092163627403	X16S_OTU157_158
0.07097092163627403	X16S_OTU159_160
0.07097092163627403	X16S_OTU17_18
0.07097092163627403	X16S_OTU1782_1783
0.07097092163627403	X16S_OTU18_19
0.07097092163627403	X16S_OTU190_191
0.07097092163627403	X16S_OTU193_194
0.07097092163627403	X16S_OTU197_198
0.07097092163627403	X16S_OTU199_200
0.07097092163627403	X16S_OTU200_201
0.07097092163627403	X16S_OTU202_203
0.07097092163627403	X16S_OTU2052_2053
0.07097092163627403	X16S_OTU219_220
0.07097092163627403	X16S_OTU22_23
0.07097092163627403	X16S_OTU225_226
