Locus	TAIR.internal.locus.id	GO.term	category	Evidence.code
AT1G11540	2200061	molecular_function_unknown	func	ND
AT1G11680	2027312	sterol 14-demethylase activity	func	TAS
AT1G11680	2027312	embryo development ending in seed dormancy	proc	NAS
AT1G11680	2027312	oxidoreductase activity	func	IBA
AT1G11680	2027312	sterol biosynthetic process	proc	IBA
AT1G11680	2027312	heme binding	func	IEA
AT1G11680	2027312	sterol biosynthetic process	proc	IMP
AT1G11680	2027312	iron ion binding	func	IEA
AT1G11680	2027312	sterol biosynthetic process	proc	TAS
AT2G30440	2064337	signal peptide processing	proc	IDA
AT2G30440	2064337	endopeptidase activity	func	IDA
AT2G30440	2064337	signal peptide processing	proc	IBA
AT2G30440	2064337	thylakoid membrane organization	proc	IBA
AT2G30440	2064337	serine-type endopeptidase activity	func	IBA
AT4G00232	505006410	molecular_function_unknown	func	ND
AT4G00232	505006410	cell differentiation	proc	IEA
AT4G00232	505006410	gametophyte development	proc	IEA
AT4G00232	505006410	macromolecule biosynthetic process	proc	IEA
AT4G00232	505006410	cellular macromolecule metabolic process	proc	IEA
AT4G00232	505006410	regulation of DNA-templated transcription	proc	IEA
AT4G00232	505006410	regulation of multicellular organismal process	proc	IEA
AT4G00232	505006410	regulation of reproductive process	proc	IEA
AT4G00232	505006410	regulation of developmental process	proc	IEA
AT4G00232	505006410	regulation of growth	proc	IEA
AT4G00240	2126001	phospholipase D activity	func	IDA
AT4G00240	2126001	calcium ion binding	func	IEA
AT4G00240	2126001	protein binding	func	IPI
AT4G00240	2126001	phospholipid catabolic process	proc	IBA
AT4G00240	2126001	phospholipase D activity	func	IBA
AT4G00240	2126001	phospholipase D activity	func	ISS
AT4G00240	2126001	phosphatidylcholine metabolic process	proc	IEA
AT4G00240	2126001	N-acylphosphatidylethanolamine-specific phospholipase D activity	func	IEA
AT4G00240	2126001	phospholipase D activity	func	IEA
AT4G00440	2126041	regulation of hormone levels	proc	IEA
AT4G00440	2126041	cellular lipid metabolic process	proc	IEA
AT4G00440	2126041	shoot system morphogenesis	proc	IEA
AT4G00440	2126041	cell differentiation	proc	IEA
AT4G00440	2126041	developmental growth	proc	IEA
AT4G00440	2126041	meristem development	proc	IEA
