paper	phenotype	numaccessions	phenotypecategory	stressstrategy	pve	rho
1001_Consortium_Cell_2016_PID_27293186	FT10	1058	Reproduction	Escape	0.890163	0.0419419
1001_Consortium_Cell_2016_PID_27293186	FT16	1021	Reproduction	Escape	0.907697	0.0429284
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS10	177	Development	Escape	0.54709	0.943684
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS50	177	Development	Escape	0.603248	0.759607
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	DSDS90	177	Development	Escape	0.712253	0.566253
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	FT	176	Reproduction	Escape	0.930989	0.546836
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	GAS	177	Development	Escape	0.404915	0.755511
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	SS	177	Development	Escape	0.567128	0.640859
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	t10	170	Development	Escape	0.580521	0.641826
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	t50	170	Development	Escape	0.491846	0.425699
Alonso-Blanco_Vidigal_PlaCelEnv_2016_PID_26991665	U8416	170	Development	Avoidance	0.428883	0.459102
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	HL23_mm_	93	Development	Avoidance	0.534389	0.887237
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	HL27_mm_	93	Development	Avoidance	0.999988	0.551391
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	SensHL	93	Development	Avoidance	8.36995e-06	1
Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568	VarTemp	93	Development	Avoidance	8.36995e-06	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G2H3B	595	Metabolite	Tolerance	0.640415	0.794151
Bergelson_Brachi_PNAS_2015_PID_25775585	G2H4P	595	Metabolite	Tolerance	0.691603	0.905776
Bergelson_Brachi_PNAS_2015_PID_25775585	G2P	595	Metabolite	Tolerance	0.77951	0.821013
Bergelson_Brachi_PNAS_2015_PID_25775585	G3B	595	Metabolite	Tolerance	0.885645	0.674586
Bergelson_Brachi_PNAS_2015_PID_25775585	G3BOP	595	Metabolite	Tolerance	0.490068	0.367615
Bergelson_Brachi_PNAS_2015_PID_25775585	G3HP	595	Metabolite	Tolerance	0.885903	0.959145
Bergelson_Brachi_PNAS_2015_PID_25775585	G3MSP	595	Metabolite	Tolerance	0.643688	0.742215
Bergelson_Brachi_PNAS_2015_PID_25775585	G3MTP	595	Metabolite	Tolerance	0.356499	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G4BOB	595	Metabolite	Tolerance	0.167236	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G4HB	595	Metabolite	Tolerance	0.757347	0.798544
Bergelson_Brachi_PNAS_2015_PID_25775585	G4MSB	595	Metabolite	Tolerance	0.9308	0.965757
Bergelson_Brachi_PNAS_2015_PID_25775585	G4MTB	595	Metabolite	Tolerance	0.881252	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G4P	595	Metabolite	Tolerance	0.507298	0.581747
Bergelson_Brachi_PNAS_2015_PID_25775585	G5MSP	595	Metabolite	Tolerance	0.886179	0.919182
Bergelson_Brachi_PNAS_2015_PID_25775585	G5MTP	595	Metabolite	Tolerance	0.762177	1
Bergelson_Brachi_PNAS_2015_PID_25775585	G6MSH	595	Metabolite	Tolerance	0.363509	0.745724
Bergelson_Brachi_PNAS_2015_PID_25775585	G6MTH	595	Metabolite	Tolerance	0.326786	0.4092
Bergelson_Brachi_PNAS_2015_PID_25775585	G7MSH	595	Metabolite	Tolerance	0.430136	0.748931
Bergelson_Brachi_PNAS_2015_PID_25775585	G7MTH	595	Metabolite	Tolerance	0.570989	0.388512
Bergelson_Brachi_PNAS_2015_PID_25775585	G8MSO	595	Metabolite	Tolerance	0.170863	0.566769
Bergelson_Brachi_PNAS_2015_PID_25775585	G8MTO	595	Metabolite	Tolerance	0.421962	0.535418
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU0_1	144	Microbiome	NA	0.230268	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU10_11	144	Microbiome	NA	0.268153	0.913693
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU101_102	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1026_1027	144	Microbiome	NA	0.167405	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1037_1038	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU104_105	144	Microbiome	NA	0.056251	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1076_1077	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU11_12	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU110_111	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU116_117	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU12_13	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU125_126	144	Microbiome	NA	0.0252027	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU129_130	144	Microbiome	NA	0.0597549	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU15_16	144	Microbiome	NA	6.81661e-06	0.725846
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU151_152	144	Microbiome	NA	0.198602	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU154_155	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU157_158	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU159_160	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU17_18	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU1782_1783	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU18_19	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU190_191	144	Microbiome	NA	0.214523	0.780743
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU193_194	144	Microbiome	NA	0.196607	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU197_198	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU199_200	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU200_201	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU202_203	144	Microbiome	NA	0.0461672	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2052_2053	144	Microbiome	NA	0.194424	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU219_220	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU22_23	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU225_226	144	Microbiome	NA	0.10997	0.657626
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2284_2285	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU233_234	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2331_2332	144	Microbiome	NA	0.0549588	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU243_244	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU252_253	144	Microbiome	NA	0.290454	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU254_255	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU2561_2562	144	Microbiome	NA	0.549736	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU26_27	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU273_274	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU278_279	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU28_29	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU281_282	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU29_30	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU293_294	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU308_309	144	Microbiome	NA	0.0177176	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU32_33	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU320_321	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU325_326	144	Microbiome	NA	0.18578	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU329_330	144	Microbiome	NA	0.352775	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU336_337	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU349_350	144	Microbiome	NA	0.272456	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU358_359	144	Microbiome	NA	6.81661e-06	1
Bergelson_Horton_NatCommun_2014_PID_25382143	16S_OTU37_38	144	Microbiome	NA	0.0109198	1
