"paper"	"phenotype"	"numaccessions"	"phenotypecategory"	"stressstrategy"	"name"	"pve"	"se_pve"	"raw_var"	"imp_var"	"rawquant_var"	"impquant_var"	"n"
"14"	"Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568"	"SensHL"	93	"Development"	"Avoidance"	"SensHL"	8.36995e-06	0.105271	0.377130623742455	0.0322896008639334	0.994355819346876	0.999147022547995	71
"15"	"Balasubramanian_Sanchez-Bermejo_PlantPhys_2015_PID_26195568"	"VarTemp"	93	"Development"	"Avoidance"	"VarTemp"	8.36995e-06	0.198998	531.398934285714	48.6562717552799	0.996252017742914	0.999183000900429	71
"39"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU101_102"	144	"Microbiome"	NA	"16S_OTU101_102"	6.81661e-06	0.234467	0.0801230445602783	0.0102336625827942	0.996527738216951	0.995498027206832	117
"41"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU1037_1038"	144	"Microbiome"	NA	"16S_OTU1037_1038"	6.81661e-06	0.290758	0.0850143355037481	0.00950047324081043	0.997417874962643	0.999087997079388	117
"43"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU1076_1077"	144	"Microbiome"	NA	"16S_OTU1076_1077"	6.81661e-06	0.391178	0.0549664533162152	0.00596925047817547	0.997170419599702	0.999079915832522	117
"44"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU11_12"	144	"Microbiome"	NA	"16S_OTU11_12"	6.81661e-06	0.961646	0.100673609236796	0.011383237479897	0.996831076480661	0.999175092498382	117
"45"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU110_111"	144	"Microbiome"	NA	"16S_OTU110_111"	6.81661e-06	0.458827	0.0837820449397953	0.0114779028240663	0.996976341449397	0.999079215116731	117
"46"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU116_117"	144	"Microbiome"	NA	"16S_OTU116_117"	6.81661e-06	0.254599	0.0604706541099702	0.00757270331029377	0.99704624787837	0.996766102861966	117
"47"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU12_13"	144	"Microbiome"	NA	"16S_OTU12_13"	6.81661e-06	0.282067	0.0366738454689743	0.00427483226150116	0.997210143156043	0.998939197983673	117
"50"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU15_16"	144	"Microbiome"	NA	"16S_OTU15_16"	6.81661e-06	0.311713	0.0377304266553807	0.00423801226228136	0.997193676899526	0.999246713267358	117
"52"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU154_155"	144	"Microbiome"	NA	"16S_OTU154_155"	6.81661e-06	0.237818	0.109555397888297	0.0123946371344578	0.996045852885057	0.999087016809366	117
"53"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU157_158"	144	"Microbiome"	NA	"16S_OTU157_158"	6.81661e-06	0.251763	0.057795645393196	0.00683203021501496	0.997656786704892	0.99926846692696	117
"54"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU159_160"	144	"Microbiome"	NA	"16S_OTU159_160"	6.81661e-06	0.294723	0.0301854499244805	0.00354090801045743	0.997656786704892	0.999029190319503	117
"55"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU17_18"	144	"Microbiome"	NA	"16S_OTU17_18"	6.81661e-06	0.366866	0.0264914180093199	0.00300018793015953	0.997157838449783	0.999053000443552	117
"56"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU1782_1783"	144	"Microbiome"	NA	"16S_OTU1782_1783"	6.81661e-06	0.292798	0.114503298309342	0.0127652597992355	0.995485447834482	0.998125208591933	117
"57"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU18_19"	144	"Microbiome"	NA	"16S_OTU18_19"	6.81661e-06	0.242671	0.0584747038099739	0.0066047131233068	0.997656786704892	0.999261396882836	117
"60"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU197_198"	144	"Microbiome"	NA	"16S_OTU197_198"	6.81661e-06	0.214288	0.118900244802014	0.0148391275662025	0.997595284785263	0.999269900238795	117
"61"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU199_200"	144	"Microbiome"	NA	"16S_OTU199_200"	6.81661e-06	0.23156	0.0606020915507331	0.00704555095751495	0.997201591511088	0.999133709312233	117
"62"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU200_201"	144	"Microbiome"	NA	"16S_OTU200_201"	6.81661e-06	0.405051	0.0432931773305429	0.00530691545034975	0.996994389770589	0.998955769470469	117
"65"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU219_220"	144	"Microbiome"	NA	"16S_OTU219_220"	6.81661e-06	0.449078	0.0793715176716594	0.00952361078264935	0.995426510798762	0.998218836062312	117
"66"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU22_23"	144	"Microbiome"	NA	"16S_OTU22_23"	6.81661e-06	0.236388	0.0194920686896877	0.00211757404695781	0.997395890566248	0.999210257691083	117
"68"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU2284_2285"	144	"Microbiome"	NA	"16S_OTU2284_2285"	6.81661e-06	0.433708	0.100904087756694	0.0109841584034479	0.99576723478267	0.999042236473523	117
"69"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU233_234"	144	"Microbiome"	NA	"16S_OTU233_234"	6.81661e-06	0.239997	0.0997952774355743	0.0111206706378665	0.996252282408552	0.998917946186003	117
"71"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU243_244"	144	"Microbiome"	NA	"16S_OTU243_244"	6.81661e-06	0.330096	0.119124875906921	0.0142298594033975	0.997178290753713	0.998589075976951	117
"73"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU254_255"	144	"Microbiome"	NA	"16S_OTU254_255"	6.81661e-06	0.236694	0.0732123533497894	0.00817323115462576	0.997656786704892	0.999274610967651	117
"75"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU26_27"	144	"Microbiome"	NA	"16S_OTU26_27"	6.81661e-06	0.26011	0.109670840654338	0.0138018994666302	0.997398582747701	0.999094520003242	117
"76"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU273_274"	144	"Microbiome"	NA	"16S_OTU273_274"	6.81661e-06	0.28228	0.0601584494348289	0.0080591810801906	0.997334601771838	0.998297015138883	117
"77"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU278_279"	144	"Microbiome"	NA	"16S_OTU278_279"	6.81661e-06	0.258104	0.083103458390141	0.0108851151873789	0.99721330781621	0.999235288213355	117
"78"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU28_29"	144	"Microbiome"	NA	"16S_OTU28_29"	6.81661e-06	0.445632	0.111936266270252	0.0124493088794573	0.99656293208911	0.999156967987591	117
"79"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU281_282"	144	"Microbiome"	NA	"16S_OTU281_282"	6.81661e-06	0.33442	0.0671024574648778	0.00744104930837746	0.996773345506064	0.999173638664655	117
"80"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU29_30"	144	"Microbiome"	NA	"16S_OTU29_30"	6.81661e-06	0.716093	0.0929636493460461	0.0102998725378031	0.996879945533539	0.998969180810291	117
"81"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU293_294"	144	"Microbiome"	NA	"16S_OTU293_294"	6.81661e-06	0.332076	0.121353472465188	0.0183894944608032	0.993384082052372	0.998609731934039	117
"83"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU32_33"	144	"Microbiome"	NA	"16S_OTU32_33"	6.81661e-06	0.433182	0.0832702997446089	0.00964424394627687	0.997656786704892	0.999279215713025	117
"84"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU320_321"	144	"Microbiome"	NA	"16S_OTU320_321"	6.81661e-06	0.36808	0.0906075705412334	0.0101516852347317	0.99721330781621	0.998884799673898	117
"87"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU336_337"	144	"Microbiome"	NA	"16S_OTU336_337"	6.81661e-06	0.269099	0.0802693947571104	0.00871923585761225	0.996563722540046	0.996565618349583	117
"89"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU358_359"	144	"Microbiome"	NA	"16S_OTU358_359"	6.81661e-06	2.36378	0.103122169853555	0.0133278686334619	0.993715006793899	0.995066560102828	117
"91"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU373_374"	144	"Microbiome"	NA	"16S_OTU373_374"	6.81661e-06	0.291293	0.122058602503205	0.0151407776092039	0.995711551979001	0.998880561660425	117
"92"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU38_39"	144	"Microbiome"	NA	"16S_OTU38_39"	6.81661e-06	0.671478	0.097363321754364	0.0114316657356408	0.996360281943884	0.998941756573987	117
"94"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU395_396"	144	"Microbiome"	NA	"16S_OTU395_396"	6.81661e-06	0.515087	0.0595707921045832	0.00797775000955858	0.996773345506064	0.998992673466098	117
"95"	"Bergelson_Horton_NatCommun_2014_PID_25382143"	"X16S_OTU4_5"	144	"Microbiome"	NA	"16S_OTU4_5"	6.81661e-06	0.231295	0.0932379370582307	0.0108981728664837	0.997417874962643	0.999087998865916	117
