phenotype	latitude
X94_Seed_Dormancy.x	-0.483894272736369
RGR	-0.321460792802688
X68_Germ_in_dark	-0.319921095865592
DSDS10	-0.2361960667586
stomatasize	-0.193191978411654
X6_Leaf_serr_10	-0.142633887461292
Root_width_100_day005	-0.114276044727586
X92_Leaf_serr_22	-0.108045485439299
ABA_96h_low_water_potential	-0.101581719156515
RGRav	-0.0842747040383918
Root_directional_equivalent_day002	-0.0771624404840804
Average_root_width_day001	-0.0728058799109357
Germination_10C	-0.0711374987818192
DTgerm	-0.0680400119617213
X29_FLC	-0.0648848527597126
StomatalIndex_mild_drought	-0.0612882887496233
RGRbv	-0.0393725068945065
X77_Trichome_avg_JA	-0.0360743795604357
germination_3days	-0.0356387992763141
Root_growth_rate_avg	-0.0233064754195591
X45_Germ_22	-0.0031906458808733
Relative_root_growth_rate_day004.day005	0.00636634925498419
Root_width_40_avg	0.00969072429867112
Root_angle_day003	0.0162931938308177
Relative_root_growth_rate_day001.day002	0.0203555441880511
Root_linearity_day001	0.0256367782352515
Root_width_100_day004	0.0277594267650057
drought_index	0.0302077893513253
X120_DTFplantingLoc2008	0.0438165200074903
RosetteArea_well_watered	0.0472169225507327
X32_FT_Duration_GH	0.052296466170582
rhamnose_1_exp2	0.0668406086201427
Root_linearity_day003	0.0717906758331825
Germination_22C	0.0746768547335297
leucine_exp1	0.0782671480804972
X116_DTFplantingSummerLocSweden2009	0.0800012737389706
Root_horizontal_index_day001	0.0810463589379111
X59_Germ_10	0.118251708879548
Root_tortuosity_day003	0.119536909676213
StomatalIndex_well_watered	0.12600852609327
RosetteArea_mild_drought	0.129531309238964
Root_tortuosity_day004	0.130344201776452
X90_Seedling_Growth	0.133490729298242
X60_Germ_16	0.134755205038765
Root_linearity_day002	0.135347509481016
Stomatal_density_in_cotyledon	0.14122399489807
X69_FRI	0.153772855646817
Root_angle_day001	0.172711734681887
FT16.x	0.191280842645637
X294_Germination_rate_21C	0.201742514996531
Delta_13C.x	0.2210660430458
First_leaf_area	0.225017925763397
stomata_density	0.227095003468908
X39_After_Vern_Growth	0.25023179780221
Stomatal_density_in_first_leaf	0.250721731621998
X72_Vern_Growth	0.279272578916104
Stomatal_index_in_first_leaf	0.286421144819758
Growth_rate	0.291394064975282
FT_tlp	0.306599002786659
FT_mlp	0.370546752464587
d8_10C_perc	0.407461321069143
Germination_30C	0.411504237962164
FT_tli	0.438084787695867
X106_Secondary_Dormancy	0.475715976560344
