name	pve	se_pve
FT10	0.890163	0.0189493
FT16	0.907697	0.0178466
DSDS10	0.54709	0.139195
DSDS50	0.603248	0.132345
DSDS90	0.712253	0.108699
FT	0.930989	0.0589428
GAS	0.404915	0.121351
SS	0.567128	0.126977
t10	0.580521	0.170826
t50	0.491846	0.153411
U8416	0.428883	0.192408
HL23_mm_	0.534389	0.529528
HL27_mm_	0.999988	0.000780055
SensHL	8.36995e-06	0.105271
VarTemp	8.36995e-06	0.198998
G2H3B	0.640415	0.0994764
G2H4P	0.691603	0.0805165
G2P	0.77951	0.0761399
G3B	0.885645	0.0585946
G3BOP	0.490068	0.119711
G3HP	0.885903	0.051854
G3MSP	0.643688	0.0806517
G3MTP	0.356499	0.113086
G4BOB	0.167236	0.110477
G4HB	0.757347	0.0928729
G4MSB	0.9308	0.0432761
G4MTB	0.881252	0.056278
G4P	0.507298	0.119067
G5MSP	0.886179	0.0560985
G5MTP	0.762177	0.102274
G6MSH	0.363509	0.123438
G6MTH	0.326786	0.12993
G7MSH	0.430136	0.129523
G7MTH	0.570989	0.120204
G8MSO	0.170863	0.115673
G8MTO	0.421962	0.131752
16S_OTU0_1	0.230268	0.202847
16S_OTU10_11	0.268153	0.254794
16S_OTU101_102	6.81661e-06	0.234467
16S_OTU1026_1027	0.167405	0.230921
16S_OTU1037_1038	6.81661e-06	0.290758
16S_OTU104_105	0.056251	0.282067
16S_OTU1076_1077	6.81661e-06	0.391178
16S_OTU11_12	6.81661e-06	0.961646
16S_OTU110_111	6.81661e-06	0.458827
16S_OTU116_117	6.81661e-06	0.254599
16S_OTU12_13	6.81661e-06	0.282067
16S_OTU125_126	0.0252027	0.253425
16S_OTU129_130	0.0597549	0.313181
16S_OTU15_16	6.81661e-06	0.311713
16S_OTU151_152	0.198602	0.219132
16S_OTU154_155	6.81661e-06	0.237818
16S_OTU157_158	6.81661e-06	0.251763
16S_OTU159_160	6.81661e-06	0.294723
16S_OTU17_18	6.81661e-06	0.366866
16S_OTU1782_1783	6.81661e-06	0.292798
16S_OTU18_19	6.81661e-06	0.242671
16S_OTU190_191	0.214523	0.226281
16S_OTU193_194	0.196607	0.333896
16S_OTU197_198	6.81661e-06	0.214288
16S_OTU199_200	6.81661e-06	0.23156
16S_OTU200_201	6.81661e-06	0.405051
16S_OTU202_203	0.0461672	0.162662
16S_OTU2052_2053	0.194424	0.198307
16S_OTU219_220	6.81661e-06	0.449078
16S_OTU22_23	6.81661e-06	0.236388
16S_OTU225_226	0.10997	0.212406
16S_OTU2284_2285	6.81661e-06	0.433708
16S_OTU233_234	6.81661e-06	0.239997
16S_OTU2331_2332	0.0549588	0.205663
16S_OTU243_244	6.81661e-06	0.330096
16S_OTU252_253	0.290454	0.254749
16S_OTU254_255	6.81661e-06	0.236694
16S_OTU2561_2562	0.549736	0.253836
16S_OTU26_27	6.81661e-06	0.26011
16S_OTU273_274	6.81661e-06	0.28228
16S_OTU278_279	6.81661e-06	0.258104
16S_OTU28_29	6.81661e-06	0.445632
16S_OTU281_282	6.81661e-06	0.33442
16S_OTU29_30	6.81661e-06	0.716093
16S_OTU293_294	6.81661e-06	0.332076
16S_OTU308_309	0.0177176	0.185719
16S_OTU32_33	6.81661e-06	0.433182
16S_OTU320_321	6.81661e-06	0.36808
16S_OTU325_326	0.18578	0.224602
16S_OTU329_330	0.352775	0.200973
16S_OTU336_337	6.81661e-06	0.269099
16S_OTU349_350	0.272456	0.286593
16S_OTU358_359	6.81661e-06	2.36378
16S_OTU37_38	0.0109198	0.223133
16S_OTU373_374	6.81661e-06	0.291293
16S_OTU38_39	6.81661e-06	0.671478
16S_OTU385_386	0.27373	0.251283
16S_OTU395_396	6.81661e-06	0.515087
16S_OTU4_5	6.81661e-06	0.231295
16S_OTU40_41	6.81661e-06	0.326172
16S_OTU452_453	6.81661e-06	0.368149
16S_OTU478_479	6.81661e-06	0.468477
16S_OTU48_49	6.81661e-06	0.236249
16S_OTU488_489	6.81661e-06	0.861483
16S_OTU507_508	6.81661e-06	0.284801
16S_OTU51_52	0.222074	0.225426
16S_OTU52_53	0.0779362	0.245249
16S_OTU546_547	0.299669	0.286198
16S_OTU555_556	6.81661e-06	0.19342
16S_OTU557_558	6.81661e-06	0.262189
16S_OTU561_562	6.81661e-06	0.304781
16S_OTU562_563	6.81661e-06	0.788281
16S_OTU581_582	6.81661e-06	0.247806
16S_OTU59_60	6.81661e-06	0.273353
16S_OTU592_593	6.81661e-06	0.255664
16S_OTU6_7	6.81661e-06	0.40256
16S_OTU61_62	6.81661e-06	0.318973
16S_OTU615_616	0.179258	0.269273
16S_OTU63_64	0.188314	0.220718
16S_OTU633_634	0.158985	0.20047
16S_OTU648_649	6.81661e-06	0.193878
16S_OTU651_652	6.81661e-06	0.355829
16S_OTU68_69	6.81661e-06	0.37221
16S_OTU70_71	6.81661e-06	0.303632
16S_OTU723_724	0.0871929	0.24502
16S_OTU728_729	6.81661e-06	0.155886
16S_OTU73_74	6.81661e-06	0.39138
16S_OTU80_81	6.81661e-06	0.350504
16S_OTU835_836	6.81661e-06	0.250129
16S_OTU836_837	6.81661e-06	0.204238
16S_OTU85_86	0.0340165	0.22664
16S_OTU913_914	6.81661e-06	0.253667
16S_OTU93_94	0.333197	0.312165
16S_OTU949_950	6.81661e-06	0.255017
ITS_OTU1000_1001	0.0897909	0.247691
ITS_OTU1051_1052	6.81661e-06	0.292623
ITS_OTU1054_1055	6.81661e-06	0.234337
ITS_OTU1084_1085	0.999985	0.000210797
ITS_OTU1088_1089	6.81661e-06	0.249906
ITS_OTU1091_1092	0.999985	0.000203183
ITS_OTU1107_1108	0.23618	0.163876
ITS_OTU1136_1137	6.81661e-06	0.194963
ITS_OTU1145_1146	0.014439	0.228725
ITS_OTU1152_1153	6.81661e-06	0.314764
ITS_OTU1189_1190	6.81661e-06	0.584056
ITS_OTU1197_1198	0.029553	0.192786
ITS_OTU1198_1199	6.81661e-06	0.237422
ITS_OTU1202_1203	6.81661e-06	0.308238
ITS_OTU1290_1291	0.0536316	0.215012
ITS_OTU1386_1387	0.446063	0.172576
ITS_OTU1404_1405	0.752369	0.124264
ITS_OTU1425_1426	0.0922452	0.239826
ITS_OTU1481_1482	0.290696	0.227775
ITS_OTU1492_1493	6.81661e-06	0.346617
ITS_OTU1502_1503	0.999985	0.000193695
ITS_OTU1537_1538	0.208837	0.200102
ITS_OTU1549_1550	0.999985	0.000195394
ITS_OTU1576_1577	0.0125754	0.172124
ITS_OTU1584_1585	6.81661e-06	0.274018
ITS_OTU1614_1615	6.81661e-06	0.242808
ITS_OTU1631_1632	6.81661e-06	0.330822
ITS_OTU1644_1645	0.999985	0.000211581
ITS_OTU1650_1651	0.0376092	0.17621
ITS_OTU1660_1661	0.332981	0.208289
ITS_OTU1666_1667	0.999985	0.000222886
ITS_OTU1671_1672	6.81661e-06	0.40999
ITS_OTU1676_1677	0.240558	0.177676
ITS_OTU1713_1714	6.81661e-06	0.384859
ITS_OTU1738_1739	0.18379	0.211119
ITS_OTU1762_1763	6.81661e-06	0.167459
ITS_OTU1772_1773	6.81661e-06	0.236474
ITS_OTU1786_1787	0.315884	0.150299
ITS_OTU1800_1801	6.81661e-06	0.580702
ITS_OTU1805_1806	0.118037	0.17419
ITS_OTU1808_1809	6.81661e-06	0.345436
ITS_OTU1822_1823	6.81661e-06	0.219778
ITS_OTU1827_1828	6.81661e-06	0.438294
ITS_OTU1845_1846	6.81661e-06	0.283029
ITS_OTU1890_1891	0.388248	0.1439
ITS_OTU1941_1942	0.569063	0.183157
ITS_OTU1953_1954	6.81661e-06	0.315755
ITS_OTU2043_2044	0.265318	0.328669
ITS_OTU2054_2055	0.391131	0.16258
ITS_OTU2081_2082	6.81661e-06	1.12764
ITS_OTU2082_2083	0.0883965	0.226566
ITS_OTU2103_2104	6.81661e-06	0.241407
ITS_OTU2109_2110	0.999985	0.000222815
ITS_OTU2128_2129	0.159324	0.207929
ITS_OTU2129_2130	6.81661e-06	0.228034
ITS_OTU2154_2155	6.81661e-06	0.301107
ITS_OTU2179_2180	0.210227	0.187575
ITS_OTU2243_2244	6.81661e-06	0.271054
ITS_OTU2349_2350	0.999985	0.000198604
ITS_OTU2419_2420	6.81661e-06	0.294563
ITS_OTU2460_2461	0.999985	0.000216208
ITS_OTU2678_2679	6.81661e-06	0.199853
ITS_OTU2761_2762	6.81661e-06	0.186265
ITS_OTU2877_2878	0.0736615	0.230367
ITS_OTU2911_2912	0.453591	0.257389
ITS_OTU2934_2935	6.81661e-06	0.227838
ITS_OTU3025_3026	0.999985	0.000211915
ITS_OTU3029_3030	0.149853	0.148032
ITS_OTU3043_3044	0.999985	0.000221734
ITS_OTU3185_3186	0.999985	0.000203947
ITS_OTU3313_3313	6.81661e-06	0.274364
ITS_OTU3327_3327	0.00798116	0.177276
ITS_OTU3376_3376	6.81661e-06	0.203873
ITS_OTU3421_3421	0.411253	0.220955
ITS_OTU3455_3455	0.133366	0.220325
ITS_OTU3467_3467	6.81661e-06	0.30624
ITS_OTU3507_3507	6.81661e-06	0.309271
ITS_OTU3573_3573	6.81661e-06	0.272836
ITS_OTU3751_3751	6.81661e-06	0.562854
ITS_OTU3804_3804	0.999985	0.000214672
ITS_OTU3820_3820	0.46336	0.189242
ITS_OTU3874_3874	0.336331	0.16762
ITS_OTU3962_3962	6.81661e-06	0.203522
ITS_OTU4268_4268	0.397692	0.112802
ITS_OTU600_601	6.81661e-06	0.628572
ITS_OTU621_622	0.0412166	0.226715
ITS_OTU763_764	6.81661e-06	0.301899
ITS_OTU776_777	0.0683468	0.238197
ITS_OTU780_781	0.999985	0.00021638
ITS_OTU822_823	6.81661e-06	0.281654
ITS_OTU850_851	0.0904133	0.253972
ITS_OTU883_884	0.999985	0.000209765
ITS_OTU892_893	0.999985	0.000207485
ITS_OTU899_900	0.0893681	0.219525
ITS_OTU905_906	6.81661e-06	0.269491
ITS_OTU907_908	0.332981	0.208289
ITS_OTU910_911	0.999985	0.000207664
ITS_OTU917_918	0.130549	0.252704
ITS_OTU921_922	0.999985	0.000201516
ITS_OTU998_999	0.0138575	0.223094
elfDC	0.263318	0.348543
elfPs	0.27958	0.194132
elfPv	0.0947692	0.187817
flgPa	0.328933	0.24208
flgPsHRm	0.153825	0.165987
flgPsHRp	0.357319	0.333104
flgPv	7.68197e-06	0.0999791
day10_27C_cut	0.0235479	0.0995206
day10_30C_cut	0.328631	0.215525
day10_30C_uncut	8.07025e-06	0.0951314
day11_27C_cut	7.90836e-06	0.100552
day11_27C_uncut	0.466955	0.251966
day12_27C_cut	7.90836e-06	0.209869
day13_27C_cut	7.90836e-06	0.117192
day13_27C_uncut	0.366238	0.249758
day3_27C_cut	0.137258	0.242691
day3_27C_uncut	0.126968	0.108071
day3_30C_cut	7.92392e-06	0.148354
day3_30C_uncut	0.500728	0.253376
day4_27C_cut	7.87304e-06	0.242041
day4_27C_uncut	0.152463	0.185823
day4_30C_cut	7.92392e-06	0.132141
day4_30C_uncut	0.292946	0.279176
day5_27C_cut	0.187655	0.215279
day5_27C_uncut	0.587343	0.377015
day5_30C_cut	0.518479	0.396339
day5_30C_uncut	8.07025e-06	0.122356
day6_27C_cut	0.176233	0.210581
day6_27C_uncut	0.896526	0.278227
day6_30C_cut	0.430525	0.347338
day6_30C_uncut	0.0328442	0.103511
day7_27C_cut	0.171709	0.236649
day7_27C_uncut	0.642744	0.433319
day7_30C_cut	0.47289	0.266824
day7_30C_uncut	8.07025e-06	0.0773415
day8_27C_uncut	0.547781	0.285071
day9_27C_uncut	0.569087	0.258138
LB_vs_PR_DhighN_vs_lowN	0.282828	0.5039
LB_vs_PR_highN	0.0640453	0.235476
LB_vs_PR_lowN	0.470007	0.402556
LR_count_DhighN_vs_lowN	0.151785	0.531151
LR_count_highN	0.0602493	0.297002
LR_count_lowN	8.03581e-06	0.116419
LRdensity_DhighN_vs_lowN	0.342939	0.52259
LRdensity_highN	0.532753	0.483503
LRdensity_lowN	0.405755	0.282589
LRlengthave_DhighN_vs_lowN	0.773317	0.143209
LRlengthave_highN	0.949798	0.138602
LRlengthave_lowN	8.03581e-06	0.107819
LRtot_DhighN_vs_lowN	0.6476	0.184054
LRtot_highN	0.868747	0.202996
LRtot_lowN	8.03581e-06	0.101888
PR_DhighN_vs_lowN	0.0776218	0.18673
PR_highN	8.03581e-06	0.168589
PR_lowN	8.03581e-06	0.148955
PR_plus_LRtot_DhighN_vs_lowN	0.591044	0.22448
PR_plus_LRtot_highN	0.781169	0.319859
PR_plus_LRtot_lowN	8.03581e-06	0.116107
SA_DhighN_vs_lowN	8.03581e-06	0.104559
SA_highN	8.03581e-06	0.101773
SA_lowN	8.03581e-06	0.145647
SA_to_PR_DhighN_vs_lowN	0.0545614	0.427794
SA_to_PR_highN	8.03581e-06	0.1474
SA_to_PR_lowN	8.03581e-06	0.0924299
DTF_Oct_2010	0.855397	0.0922819
DTF_Oct_2040	0.969879	0.0694647
DTF_Sep_2010	0.950812	0.113987
DTF_Sep_2040	0.874641	0.101403
108_Area_sweden_2009_1st_experiment	0.659454	0.152032
109_SizePlantingSummer2009	0.67749	0.202042
110_Size_sweden_2009_2nd_experiment	0.702264	0.165394
111_SizePlantingSummerLocSweden2009	8.22149e-06	0.120732
112_Area_sweden_2009_2nd_experiment	0.452379	0.155492
113_DTF_sweden_2008_1st_experiment	0.999988	0.000671945
114_Yield_sweden_2009_2nd_experiment	0.0627921	0.267667
115_SizeLocSweden2009	0.912771	0.0583326
116_DTFplantingSummerLocSweden2009	0.129882	0.201919
117_DTFlocSweden2008	0.977165	0.108441
118_DTFlocSweden2009	0.908875	0.0754076
119_DTF_spain_2009_1st_experiment	0.999987	0.000397237
120_DTFplantingLoc2008	8.0023e-06	0.0715501
121_DTF_spain_2009_2nd_experiment	0.999987	0.000386361
122_Yield_spain_2009_2nd_experiment	0.626265	0.296233
123_Size_sweden_2009_1st_experiment	0.967836	0.0380201
124_Yield_spain_2009_1st_experiment	0.59147	0.223815
125_DTFmainEffect2009	0.999987	0.000386105
126_DTFmainEffect2008	0.999988	0.00075851
127_Size_spain_2009_2nd_experiment	0.894247	0.12567
128_Size_spain_2009_1st_experiment	0.820977	0.115328
129_DTFplantingSummer2009	0.999987	0.00117919
130_DTFplantingSummer2008	0.999988	0.00102308
131_SizeMainEffect2009	0.819673	0.115377
132_DTF_spain_2008_1st_experiment	0.999988	0.000746928
133_YieldPlantingSummer2009	0.086938	0.22026
134_DTF_sweden_2009_1st_experiment	0.999945	0.0167777
135_YieldLocSweden2009	0.12676	0.413109
136_DTF_spain_2008_2nd_experiment	0.999988	0.00053256
137_YieldMainEffect2009	0.536323	0.140174
138_YieldPlantingSummerLocSweden2009	8.35128e-06	0.130266
139_Yield_sweden_2009_1st_experiment	0.793751	0.25584
140_DTF_sweden_2009_2nd_experiment	0.999987	0.000373864
141_DTF_sweden_2008_2nd_experiment	0.999988	0.000648179
D2_entrance_per	0.502827	0.450033
GEMINATION_4D_per	7.71233e-06	1.53725
GERMINATION_1D_per	0.0877857	0.660249
Direction_index	0.238071	0.22257
Root_angle	0.239852	0.217858
NC_0557	0.629309	0.196235
NC_0570	8.36304e-06	0.121726
NC_0596	0.0303417	0.0885498
NC_0662	0.0492227	0.245601
NC_0674	0.46495	0.244757
NC_0704	8.36304e-06	0.117899
NC_0705	8.54945e-06	0.0913351
NC_0734	8.36304e-06	0.103996
NC_0790	0.576533	0.22466
NC_0928	8.34567e-06	0.0998367
NC_1008	8.36304e-06	0.173378
NC_1036	0.0340577	0.10196
NC_1057	8.35545e-06	0.156337
NC_1092	8.36304e-06	0.0969924
NC_1111	0.829676	0.350172
NC_1125	0.137242	0.217402
NC_1142	0.516679	0.517289
NC_1201	8.53489e-06	0.210953
NC_1213	8.34601e-06	0.201873
NC_1260	0.762963	0.253066
NC_1295	7.4814e-06	0.731151
NC_1334	0.704769	0.284458
NC_1379	8.36304e-06	0.0960227
NC_1383	0.852295	0.207053
NC_1393	0.0457933	0.209261
NC_1422	0.0526229	0.09682
NC_1427	0.147263	0.146022
NC_1433	0.999988	0.00174809
NC_1474	0.999988	0.00191987
NC_1542	0.999984	0.00387164
NC_1548	0.0131759	0.142576
NC_1971	0.791951	0.616041
NC_2426	0.0251329	0.090354
PC_0435	8.36304e-06	0.11416
PC_0441	8.36304e-06	0.10887
PC_0446	0.56413	0.418823
PC_0448	0.588134	0.292929
PC_0451	0.999988	0.00110515
PC_0454	0.277995	0.433374
PC_0455	9.2594e-06	0.115417
PC_0490	0.0586636	0.213572
PC_0499	0.164353	0.238362
PC_0500	0.128133	0.238253
PC_0506	8.36304e-06	0.122499
PC_0512	0.293683	0.21213
PC_0526	0.246151	0.356228
PC_0544	0.0329196	0.0997236
PC_0546	0.32576	0.423566
PC_0552	8.36304e-06	0.120056
PC_0558	8.36304e-06	0.102063
PC_0570	8.36304e-06	0.239725
PC_0601	0.17821	0.35876
PC_0615	0.654644	0.260489
PC_0626	0.365051	0.396039
PC_0631	0.12955	0.202211
PC_0633	0.0526462	0.268235
PC_0635	0.0715948	0.157609
PC_0638	8.36572e-06	0.113946
PC_0642	7.28318e-06	1.10563
PC_0658	8.36304e-06	0.175238
PC_0673	0.0833511	0.139877
PC_0684	8.36304e-06	0.137489
PC_0688	0.00951313	0.150077
PC_0709	0.495756	0.547744
PC_0712	8.36304e-06	0.109146
PC_0785	0.432288	0.477823
PC_0846	8.36304e-06	0.105052
PC_0858	0.999988	0.00156931
PC_0866	8.34623e-06	0.140447
PC_0932	0.729287	0.168622
PC_1145	8.36304e-06	0.128775
PC_1181	0.842227	0.218199
PC_1237	0.695975	0.308918
PC_1246	0.392453	0.360397
PC_1248	0.00297442	0.748517
PC_1265	0.0281434	0.113162
PC_1274	0.702781	1.39564
PC_1322	0.254762	0.423065
PC_1401	0.320979	0.321054
PC_1410	9.04495e-06	0.113146
PC_1435	0.125531	0.214499
PC_1465	0.883671	0.188789
PC_1490	0.451343	0.256643
PC_1491	8.36884e-06	0.111382
PC_1493	0.407246	0.336302
PC_1528	0.685572	0.237525
PC_1533	0.673525	0.213871
PC_1732	0.290926	0.346804
PC_1734	8.37035e-06	0.20879
PC_1755	8.36304e-06	0.129003
PC_1782	8.36304e-06	0.140624
PC_1857	8.36304e-06	0.26827
PC_1976	8.36304e-06	0.140686
PC_1998	8.36304e-06	0.107728
PC_2045	8.36304e-06	0.23744
PC_2372	0.244131	0.314068
PC_2395	8.36001e-06	0.106069
PC_2413	0.430311	0.279102
met01	0.346168	0.303655
met02	0.552994	0.305611
met03	0.0774022	0.331693
met04	8.18914e-06	0.254287
met05	8.18914e-06	81.5336
met06	0.112643	0.122644
met07	0.331909	0.221238
met08	0.0055106	0.14027
met09	0.0392118	0.11392
met10	0.367323	0.319679
met11	0.223807	0.260752
met12	0.999988	0.0016021
met13	0.249282	0.412257
met14	8.18914e-06	0.108158
met15	0.538355	0.255642
met16	0.627876	0.288591
met17	0.10841	0.123646
met18	0.324214	0.326145
met19	8.18914e-06	0.133427
met20	0.0890946	0.345825
met21	0.30957	0.263233
met22	0.737167	0.204277
met23	0.396505	0.240941
met24	0.510931	0.291819
met25	0.516573	0.266952
met26	8.18914e-06	0.140374
met27	8.18914e-06	0.224226
met28	0.294651	0.255064
met29	0.0170452	0.0862128
met30	8.18914e-06	0.143327
met31	0.298487	0.305571
met32	0.392396	0.250324
met33	0.999988	0.00118659
met34	0.490578	0.37733
met35	0.22188	0.22719
met36	0.761902	0.313028
met37	0.475009	0.290682
met38	8.18914e-06	0.123962
met39	8.18914e-06	0.113305
met40	0.102412	0.156804
met41	8.18914e-06	0.10211
met42	8.18914e-06	0.101539
met43	8.18914e-06	0.100303
met44	8.18914e-06	0.112559
met45	8.18914e-06	0.10427
met46	0.11297	0.2128
met47	0.43202	0.298752
met48	8.18914e-06	0.0781169
met49	8.18914e-06	0.132482
met50	0.17962	0.550415
met51	0.301245	0.287874
met52	0.29677	0.262508
met53	8.18914e-06	0.111046
met54	8.18914e-06	0.0956735
met55	0.414947	0.305895
met56	0.348517	0.244616
met57	8.18914e-06	0.13314
met58	0.101033	0.190342
met59	0.159576	0.177581
met60	0.0636542	0.137295
met61	0.853572	0.210533
met62	0.59596	0.266176
met63	8.18914e-06	0.138263
met64	8.18914e-06	0.101877
met65	0.679987	0.260907
met66	0.10607	0.202776
met67	0.387709	0.253677
met68	0.397836	0.228684
met69	0.287051	0.260344
met70	0.109054	0.157848
met71	0.300387	0.229556
met72	0.184152	0.200302
met73	0.647256	0.37779
met74	0.0503698	0.114759
met75	0.0063415	0.0691063
met76	0.118981	0.171101
met77	0.661632	0.288846
met78	0.0852365	0.122639
met79	8.18914e-06	0.109913
met80	0.209699	0.501644
met81	8.18914e-06	0.117935
met82	0.999988	0.00147468
met83	0.733562	0.271214
met84	0.490614	0.223845
met85	0.0718573	0.105907
met86	0.305747	0.284903
met87	0.122707	0.34601
met88	0.0057645	0.0796512
met89	0.999988	0.00158844
met90	0.472418	0.236531
met91	0.377309	0.255554
met92	0.999988	0.00214071
met93	0.0932613	0.166229
met94	8.18914e-06	0.105095
142_Mature_cell_length	8.52943e-06	0.111143
143_Meristem_zone_length	8.52943e-06	0.116944
LR.no_ABA	0.156169	0.526686
LR.no_C	0.14545	0.289488
LR.no_CK	0.131589	0.35518
LR.no_IAA	0.233131	0.430795
LRD_P_ABA	0.126625	0.492197
LRD_P_C	7.02996e-06	0.278696
LRD_P_CK	0.0658435	0.339286
LRD_P_IAA	0.0429627	0.350883
LRD_R_ABA	7.12307e-06	0.848391
LRD_R_C	7.02996e-06	0.577295
LRD_R_CK	7.10505e-06	0.759531
LRD_R_IAA	0.00948056	0.32102
LRL_ABA	0.316991	0.406953
LRL_C	0.146654	0.272074
LRL_CK	0.352397	0.355943
LRL_IAA	0.611751	0.441111
LRR_ABA	0.207058	0.444446
LRR_C	0.236743	0.300269
LRR_CK	0.288145	0.373845
LRR_IAA	0.0353769	0.332733
P_ABA	0.999986	0.00062866
P_C	0.46499	0.318362
P_CK	0.942686	0.0684022
P_IAA	0.999986	0.000986546
P2_ABA	0.974884	0.0517745
P2_C	0.35971	0.336961
P2_CK	0.999986	0.000670782
P2_IAA	0.0942643	0.454466
R_ABA	0.6804	0.318579
R_C	0.0451396	0.292824
R_CK	0.122362	0.400329
R_IAA	0.999986	0.0016359
TLRL_ABA	0.309836	0.432419
TLRL_C	0.43345	0.295099
TLRL_CK	0.381233	0.398113
TLRL_IAA	0.632056	0.428479
TRL_ABA	0.999986	0.000919285
TRL_C	0.583402	0.24793
TRL_CK	0.964519	0.0602663
TRL_IAA	0.999986	0.000911475
289_Root_length_Day_1	0.999981	0.00135296
290_Root_length_Day_2	0.230341	0.154979
291_Root_length_Day_3	0.229207	0.15966
292_Root_length_Day_4	0.122975	0.154931
293_Root_length_Day_5	0.183077	0.150747
Average_root_width_avg	0.935124	0.0781088
Average_root_width_day001	8.0255e-06	0.12424
Average_root_width_day002	0.34796	0.49492
Average_root_width_day003	0.926885	0.0883499
Average_root_width_day004	0.895133	0.112848
Average_root_width_day005	0.902016	0.104318
Euclidian_length_day001	0.822151	0.127274
Euclidian_length_day002	0.7693	0.215395
Euclidian_length_day003	0.687609	0.211045
Euclidian_length_day004	0.707941	0.269413
Euclidian_length_day005	0.734778	0.31909
Relative_root_growth_rate_avg	0.938058	0.0476222
Relative_root_growth_rate_day001.day002	0.931018	0.0593192
Relative_root_growth_rate_day002.day003	0.807032	0.257488
Relative_root_growth_rate_day003.day004	0.908704	0.103299
Relative_root_growth_rate_day004.day005	0.947168	0.0572689
Root_angle_avg	0.208148	0.30023
Root_angle_day001	8.0255e-06	0.479582
Root_angle_day002	0.171834	0.218023
Root_angle_day003	0.160074	0.213839
Root_angle_day004	0.217061	0.225949
Root_angle_day005	0.252108	0.27137
Root_directional_equivalent_avg	0.251692	0.284889
Root_directional_equivalent_day001	0.132206	0.210191
Root_directional_equivalent_day002	0.439641	0.42958
Root_directional_equivalent_day003	0.375509	0.402718
Root_directional_equivalent_day004	0.398218	0.35304
Root_directional_equivalent_day005	0.335508	0.412536
Root_growth_rate_avg	0.890694	0.17198
Root_growth_rate_day001.day002	0.650128	0.284261
Root_growth_rate_day002.day003	0.000878861	0.125429
Root_growth_rate_day003.day004	0.820715	0.179298
Root_growth_rate_day004.day005	0.418908	0.74481
Root_horizontal_index_avg	0.418806	0.323266
Root_horizontal_index_day001	0.702041	0.150467
Root_horizontal_index_day002	0.628919	0.34615
Root_horizontal_index_day003	0.229194	0.228209
Root_horizontal_index_day004	0.262355	0.255764
Root_horizontal_index_day005	0.396459	0.332572
Root_linearity_avg	0.0197583	0.113636
Root_linearity_day001	8.0255e-06	0.11399
Root_linearity_day002	0.998874	0.00653267
Root_linearity_day003	8.0255e-06	0.160596
Root_linearity_day004	0.00161055	0.0786478
Root_linearity_day005	0.0425933	0.144991
Root_tortuosity_avg	0.365756	0.415815
