name	pve	se_pve
FT10	0.893626	0.0180762
FT16	0.911423	0.0166912
DSDS10	0.735199	0.091192
DSDS50	0.684343	0.119357
DSDS90	0.738	0.10748
FT	0.883593	0.077169
GAS	0.70751	0.0901691
SS	0.614135	0.118692
t10	0.60058	0.17944
t50	0.539288	0.162823
U8416	0.514313	0.168976
HL23_mm_	0.644973	0.384943
HL27_mm_	0.999988	0.000837193
SensHL	8.36995e-06	0.118352
VarTemp	8.36995e-06	0.169726
G2H3B	0.838902	0.0575626
G2H4P	0.99229	0.0162278
G2P	0.904995	0.0443756
G3B	0.878421	0.0591018
G3BOP	0.444803	0.130062
G3HP	0.961947	0.0196752
G3MSP	0.640255	0.10601
G3MTP	0.274611	0.0894417
G4BOB	0.108976	0.101186
G4HB	0.800704	0.0954777
G4MSB	0.999983	0.000754546
G4MTB	0.660714	0.0828733
G4P	0.675881	0.0960098
G5MSP	0.803347	0.0679885
G5MTP	0.252052	0.074855
G6MSH	0.318055	0.124351
G6MTH	0.313069	0.133945
G7MSH	0.414862	0.124719
G7MTH	0.527359	0.11561
G8MSO	0.146449	0.124276
G8MTO	0.394208	0.12491
16S_OTU0_1	0.119083	0.211527
16S_OTU10_11	0.117922	0.288549
16S_OTU101_102	0.0925818	0.226363
16S_OTU1026_1027	0.00533352	0.239294
16S_OTU1037_1038	6.81661e-06	0.319771
16S_OTU104_105	0.130059	0.345941
16S_OTU1076_1077	6.81661e-06	0.899198
16S_OTU11_12	0.0119791	0.228913
16S_OTU110_111	6.81661e-06	0.243819
16S_OTU116_117	0.0190907	0.226102
16S_OTU12_13	6.81661e-06	0.231208
16S_OTU125_126	6.81661e-06	0.282029
16S_OTU129_130	0.0862859	0.320131
16S_OTU15_16	0.198845	0.294255
16S_OTU151_152	0.157284	0.204928
16S_OTU154_155	6.81661e-06	0.221628
16S_OTU157_158	6.81661e-06	0.323237
16S_OTU159_160	6.81661e-06	0.352925
16S_OTU17_18	0.0148573	0.217718
16S_OTU1782_1783	0.0337755	0.261553
16S_OTU18_19	6.81661e-06	0.185074
16S_OTU190_191	0.164465	0.199124
16S_OTU193_194	0.0128536	0.223534
16S_OTU197_198	6.81661e-06	0.353679
16S_OTU199_200	6.81661e-06	0.458594
16S_OTU200_201	6.81661e-06	0.370069
16S_OTU202_203	6.81661e-06	0.196743
16S_OTU2052_2053	6.81661e-06	0.308064
16S_OTU219_220	6.81661e-06	0.329451
16S_OTU22_23	6.81661e-06	0.221399
16S_OTU225_226	0.999985	0.000215634
16S_OTU2284_2285	6.81661e-06	1.26681
16S_OTU233_234	6.81661e-06	0.296435
16S_OTU2331_2332	0.0590345	0.237146
16S_OTU243_244	6.81661e-06	0.307959
16S_OTU252_253	0.217068	0.251272
16S_OTU254_255	6.81661e-06	0.210607
16S_OTU2561_2562	0.320916	0.24355
16S_OTU26_27	6.81661e-06	0.360423
16S_OTU273_274	6.81661e-06	0.374179
16S_OTU278_279	6.81661e-06	0.345458
16S_OTU28_29	6.81661e-06	0.480854
16S_OTU281_282	6.81661e-06	0.262184
16S_OTU29_30	6.81661e-06	0.633654
16S_OTU293_294	6.81661e-06	0.205466
16S_OTU308_309	0.0150106	0.194272
16S_OTU32_33	6.81661e-06	0.324181
16S_OTU320_321	6.81661e-06	0.303426
16S_OTU325_326	0.105828	0.207013
16S_OTU329_330	0.170172	0.228254
16S_OTU336_337	6.81661e-06	0.251638
16S_OTU349_350	0.201125	0.283154
16S_OTU358_359	6.81661e-06	0.4847
16S_OTU37_38	0.165803	0.306819
16S_OTU373_374	6.81661e-06	0.280627
16S_OTU38_39	6.81661e-06	0.326375
16S_OTU385_386	0.129598	0.257866
16S_OTU395_396	6.81661e-06	0.295136
16S_OTU4_5	6.81661e-06	0.203059
16S_OTU40_41	6.81661e-06	0.266642
16S_OTU452_453	0.999985	0.000217669
16S_OTU478_479	6.81661e-06	0.676167
16S_OTU48_49	6.81661e-06	0.380912
16S_OTU488_489	6.81661e-06	0.36352
16S_OTU507_508	6.81661e-06	0.90862
16S_OTU51_52	0.469709	0.242785
16S_OTU52_53	6.81661e-06	0.390137
16S_OTU546_547	0.168099	0.234605
16S_OTU555_556	6.81661e-06	0.242199
16S_OTU557_558	6.81661e-06	0.436926
16S_OTU561_562	6.81661e-06	0.37906
16S_OTU562_563	6.81661e-06	0.717265
16S_OTU581_582	0.0123648	0.192935
16S_OTU59_60	6.81661e-06	0.236853
16S_OTU592_593	6.81661e-06	0.200233
16S_OTU6_7	0.213692	0.259004
16S_OTU61_62	6.81661e-06	0.726714
16S_OTU615_616	0.0932173	0.278338
16S_OTU63_64	0.219733	0.266745
16S_OTU633_634	0.999985	0.00021694
16S_OTU648_649	6.81661e-06	0.388023
16S_OTU651_652	6.81661e-06	0.354736
