,position,ID0424-02-R05,ID0424-04-R05,ID0932-02-R04,ID0932-09-R01,ID1890-05-R04,ID1890-01-R05,ID1954-06-R05,ID1954-10-R05,ID2016-03-R05,ID2171-08-R03,ID2171-21-R05,ID4807-02-R05,ID4807-14-R03,ID5151-11-R04,ID5741-02-R03,ID5741-04-R01,ID6086-01-R04,ID6086-07-R03,ID6132-05-R01,ID6132-01-R01,ID6133-07-R03,ID6133-01-R05,ID6136-02-R05,ID6136-15-R04,ID6138-09-R04,ID6138-07-R03,ID6413-10-R05,ID6413-12-R05,ID6990-01-R05,ID6990-08-R03,ID7169-04-R05,ID7186-01-R01,ID7186-15-R03,ID7316-05-R05,ID8234-01-R05,ID8246-10-R03,ID8246-17-R05,ID8283-01-R04,ID8283-02-R04,ID8337-06-R03,ID8337-09-R04,ID8369-04-R05,ID8369-05-R03,ID8376-10-R04,ID8376-04-R05,ID9069-01-R05,ID9070-02-R01,ID9070-11-R04,ID9079-02-R01,ID9102-01-R05,ID9102-02-R05,ID9111-01-R05,ID9111-02-R04,ID9323-02-R05,ID9323-12-R04,ID9402-01-R05,ID9402-11-R03,ID9404-08-R03,ID9407-04-R02,ID9407-01-R05,ID9421-04-R02,ID9421-07-R02,ID9450-02-R05,ID9450-05-R04,ID9569-06-R03,ID9569-11-R01,ID9579-01-R04,ID9579-07-R05,ID9582-01-R03,ID9582-02-R02,ID9583-03-R01,ID9583-06-R04,ID9599-02-R02,ID9644-14-R02,ID9644-13-R02,IDCS77187-01-R05,IDCS77187-04-R04,ID9729-01-R05,ID9729-09-R05,ID9733-02-R04,ID9733-03-R03,ID9736-02-R05,ID9736-05-R04,ID9738-01-R02,ID9738-04-R02,ID9741-02-R03,ID9741-04-R05,ID9743-06-R03,ID9743-03-R05,ID9748-01-R03,ID9755-05-R05,ID9821-14-R04,ID9821-07-R02,ID9831-03-R04,ID9831-01-R01,ID9848-08-R02,ID9848-05-R04,ID9882-01-R03,ID9882-02-R04,ID9888-01-R01,ID9888-01-R04,ID9895-09-R04,ID9895-03-R05,ID9906-04-R02,ID9906-06-R04,ID9908-06-R05,ID9908-12-R05,IDCS77069-05-R03,IDCS77069-08-R03,ID9918-07-R03,ID9925-03-R03,ID9925-06-R02,flc_gene_model,targetsite2
0,3172000,13,12,13,15,9,15,6,6,0,11,4,10,19,9,13,24,9,10,14,5,9,6,15,10,12,11,4,15,6,12,14,15,7,12,10,7,8,19,15,6,19,18,10,12,9,8,11,13,22,16,7,12,12,14,15,17,18,8,8,6,10,17,9,16,10,9,11,13,12,11,15,6,14,11,18,11,15,16,9,10,12,23,8,20,17,13,5,15,14,14,12,7,9,22,17,17,18,14,19,4,11,8,10,7,7,17,15,20,19,12,9,14,0.0,10.0
1,3172001,13,12,13,14,9,15,6,6,0,11,4,10,20,9,12,24,9,10,14,5,9,6,15,10,12,11,4,15,6,12,14,15,7,11,10,7,8,18,15,6,19,18,10,12,9,8,11,13,21,15,7,12,12,14,15,17,18,8,8,5,10,16,9,16,10,9,11,13,12,11,15,6,14,11,18,11,15,16,9,10,12,23,8,21,17,13,5,15,14,14,12,7,9,22,17,17,18,14,19,5,11,8,10,7,7,17,15,20,19,11,9,14,0.0,10.0
2,3172002,13,12,13,14,9,14,6,7,0,11,4,10,20,9,12,24,9,10,14,5,9,6,15,10,12,11,4,15,6,12,14,15,7,11,10,7,8,18,15,6,19,18,10,12,9,8,11,13,21,15,7,12,12,14,15,17,18,8,8,5,10,16,9,16,10,9,11,13,12,12,15,6,14,11,18,11,14,16,9,10,12,23,8,22,17,13,5,15,14,15,12,7,9,22,17,17,18,14,19,5,11,8,10,7,7,17,15,19,19,11,9,13,0.0,10.0
3,3172003,13,12,12,13,9,14,6,7,0,10,4,10,18,9,12,25,9,10,14,5,9,5,15,8,13,11,0,15,5,11,13,15,5,8,10,6,8,18,14,6,19,18,10,12,9,8,11,12,21,15,7,12,12,14,16,17,17,8,7,5,10,14,9,16,10,9,12,13,12,12,14,6,14,11,18,11,14,16,9,11,12,22,8,21,17,12,5,15,14,14,10,7,9,22,15,17,18,14,19,5,11,8,10,7,7,16,15,19,19,11,8,12,0.0,10.0
4,3172004,13,12,12,13,9,14,6,7,0,10,5,10,18,9,12,25,11,10,14,5,9,5,14,8,13,11,0,15,5,11,13,15,6,8,11,7,8,19,14,5,20,18,10,12,9,8,11,13,21,15,7,11,11,13,15,17,17,7,7,5,11,15,9,16,10,9,11,12,12,12,14,6,14,11,18,11,14,17,9,11,12,22,8,21,17,12,5,16,14,14,10,7,9,21,15,17,18,14,19,4,11,8,10,7,7,16,15,20,18,12,9,12,0.0,10.0
5,3172005,13,12,12,13,9,14,6,7,0,10,5,12,18,9,12,24,11,11,14,5,9,5,14,8,13,12,0,14,5,11,13,15,6,8,11,7,8,19,14,5,20,18,10,13,9,8,11,13,21,14,7,10,11,12,15,15,17,7,7,5,11,15,9,16,9,9,11,12,12,12,14,6,14,11,18,11,14,17,9,11,12,22,8,21,17,12,5,16,14,14,10,7,10,21,15,17,18,14,19,4,11,8,10,6,7,16,14,19,18,12,9,12,0.0,10.0
6,3172006,13,12,12,13,9,14,6,7,0,10,5,12,18,9,12,24,11,11,14,5,9,5,14,8,13,12,0,14,5,11,11,15,6,8,11,7,8,18,14,5,20,18,10,13,9,8,11,13,21,14,7,10,10,12,15,15,17,7,7,5,11,15,9,16,9,9,10,11,12,11,14,6,14,11,18,11,14,16,9,11,12,22,8,21,17,12,5,16,13,14,10,7,9,21,15,17,18,14,19,4,10,8,10,6,7,16,14,19,18,12,8,10,0.0,10.0
7,3172007,13,12,12,13,9,14,6,7,0,10,5,12,18,9,12,25,11,11,14,5,9,5,14,8,13,12,0,14,5,11,11,15,6,8,11,7,8,18,14,5,20,18,10,13,9,8,11,13,21,14,7,10,10,12,15,15,17,7,7,5,11,15,9,16,9,9,10,11,12,11,14,6,14,11,18,11,14,16,9,11,12,22,8,21,17,12,5,16,13,14,10,7,9,21,15,17,18,14,19,4,10,8,10,6,7,16,14,19,18,12,8,10,0.0,10.0
8,3172008,13,12,12,13,9,14,6,7,0,10,5,13,18,9,12,26,11,11,14,5,9,5,14,8,13,12,0,14,5,11,11,15,6,8,11,7,8,18,14,5,20,18,10,13,9,8,11,13,21,14,7,10,10,12,15,15,18,7,7,5,11,15,9,16,9,9,10,11,12,11,14,6,14,11,17,11,14,16,9,11,12,22,8,21,17,12,5,16,13,14,10,7,9,21,15,17,18,14,19,4,10,8,10,6,7,16,14,19,18,12,8,10,0.0,10.0
9,3172009,12,11,11,10,9,14,6,7,0,10,5,12,17,9,12,26,11,10,14,5,7,5,14,8,13,12,0,12,4,11,10,15,6,8,11,7,8,16,13,5,20,18,10,12,8,7,10,13,18,14,7,10,10,12,15,15,18,7,7,5,9,14,9,16,8,9,10,11,12,11,13,6,14,11,16,11,14,16,8,10,11,19,8,21,17,12,5,15,12,14,9,7,9,21,15,16,19,11,19,3,9,8,10,6,7,16,14,19,18,12,8,10,0.0,10.0
10,3172010,12,11,12,10,9,13,5,6,0,10,5,12,17,10,13,24,10,10,14,5,7,5,14,8,14,13,0,12,4,12,10,13,5,7,11,7,8,18,13,5,20,17,10,11,8,7,10,13,18,15,7,8,11,12,15,16,18,6,8,5,10,14,7,15,6,9,10,11,12,11,13,6,14,10,15,11,14,16,9,10,12,19,8,20,16,11,7,15,12,13,9,8,9,22,15,17,20,11,19,3,9,6,11,6,9,14,15,18,17,12,7,9,0.0,10.0
11,3172011,12,11,12,10,8,13,5,6,0,10,5,12,17,9,13,23,10,10,14,5,7,5,14,8,14,13,0,12,4,12,10,13,5,7,11,7,8,18,13,5,20,17,10,11,8,7,10,13,18,15,7,8,11,12,15,16,18,6,8,5,10,13,7,15,6,9,10,11,12,11,13,6,14,10,15,11,14,16,9,10,12,19,8,20,16,11,7,15,12,13,9,8,9,22,14,17,20,11,18,3,9,6,11,6,9,14,15,18,17,12,7,9,0.0,10.0
12,3172012,13,11,12,10,8,14,5,6,0,9,5,12,18,9,13,23,10,10,15,5,7,5,14,8,14,13,0,12,4,12,10,13,5,7,11,7,8,18,13,5,20,16,10,11,8,7,10,13,18,15,7,8,11,12,15,16,18,6,8,5,10,13,7,14,6,9,11,11,12,11,13,6,14,10,15,11,14,16,9,10,12,19,8,20,15,11,7,15,12,14,9,8,9,22,14,17,20,11,18,3,10,6,11,6,9,14,17,18,17,12,7,9,0.0,10.0
13,3172013,13,11,12,10,8,14,5,6,0,9,5,11,18,8,13,23,10,10,15,5,7,5,14,8,14,13,0,12,4,12,10,13,5,7,11,7,8,18,12,5,20,16,10,11,6,7,10,13,18,15,7,8,10,11,15,16,18,6,8,5,10,13,6,14,6,9,11,11,12,11,13,6,14,10,15,11,14,16,9,9,12,19,8,19,14,11,7,14,12,14,8,8,8,22,14,17,20,10,18,3,10,6,11,6,9,14,17,18,17,12,7,9,0.0,10.0
14,3172014,13,11,13,10,8,13,5,6,0,9,5,11,18,8,13,23,10,10,15,5,7,5,14,8,14,13,0,12,4,12,9,13,4,7,11,7,8,18,12,4,20,16,10,11,6,7,10,13,18,15,7,8,10,11,15,16,18,6,8,5,10,12,6,14,6,9,11,11,12,11,13,5,14,10,15,11,15,16,9,9,12,19,8,19,15,11,7,14,12,14,8,8,8,22,14,17,20,10,18,3,10,6,11,6,9,14,16,18,17,12,7,10,0.0,10.0
15,3172015,13,11,13,10,8,13,5,6,0,9,5,11,18,10,13,23,10,10,15,5,7,5,14,8,14,13,0,12,4,12,9,13,4,7,11,7,8,17,12,4,19,16,10,11,6,7,10,13,18,15,7,8,10,11,14,16,18,6,8,5,10,12,6,14,6,9,13,11,12,11,13,5,13,10,15,11,15,16,9,9,12,18,8,19,15,11,7,14,12,14,8,8,8,22,14,17,20,10,18,3,10,6,11,6,9,14,16,18,17,12,7,10,0.0,10.0
16,3172016,13,11,13,10,8,12,5,5,0,9,5,11,18,10,13,22,9,10,13,4,7,5,14,8,14,13,0,12,4,12,9,13,4,7,11,7,8,17,12,4,19,15,10,11,6,7,10,13,18,14,7,8,10,11,14,16,16,6,7,5,10,12,6,14,6,9,13,11,12,11,13,5,13,10,15,10,15,16,9,8,12,18,8,19,15,10,7,14,12,14,8,9,8,22,14,17,20,10,18,3,10,6,11,6,9,14,16,18,17,12,7,10,0.0,10.0
17,3172017,13,11,13,11,8,13,5,5,3,9,5,11,18,11,13,22,10,10,13,5,7,4,15,8,14,13,0,12,4,12,10,14,4,7,11,6,8,17,12,6,19,16,10,12,6,9,11,13,18,14,7,10,10,11,16,17,16,6,7,6,11,13,6,14,8,10,13,12,12,11,13,5,14,12,15,11,15,16,10,9,12,18,9,19,14,10,7,14,13,15,8,10,9,22,15,16,19,9,18,5,14,7,12,6,9,16,18,20,18,12,8,10,0.0,10.0
18,3172018,13,11,13,11,8,13,5,4,3,9,5,11,18,11,14,21,10,10,13,5,7,4,15,8,14,11,0,12,4,12,10,13,3,7,11,6,8,17,12,5,19,16,10,12,6,8,11,13,18,14,7,9,10,11,16,17,16,6,7,6,11,13,6,14,8,9,13,12,12,11,13,5,14,10,15,11,15,16,10,9,12,18,9,18,14,10,7,14,13,15,8,10,9,22,15,16,19,9,18,5,14,7,11,6,9,16,17,20,18,12,8,10,0.0,10.0
19,3172019,12,12,13,11,8,13,6,4,4,8,5,11,18,11,14,22,10,9,14,6,9,4,17,8,15,10,3,11,6,12,10,13,7,5,12,6,9,16,12,3,19,18,11,10,6,8,12,13,18,16,7,10,10,9,18,17,14,6,6,7,12,13,6,13,8,10,13,11,12,12,14,4,14,10,16,11,15,15,11,9,13,16,8,19,15,12,8,15,14,14,9,10,10,22,15,18,20,9,19,5,14,7,11,7,9,15,17,21,19,13,8,11,0.0,10.0
20,3172020,12,12,12,10,9,13,7,5,4,8,5,10,18,11,14,22,8,9,15,6,9,4,17,8,15,10,3,10,6,12,10,15,7,7,12,6,8,16,11,3,19,18,11,10,6,7,12,13,18,16,7,10,10,9,17,17,15,8,6,7,12,13,6,13,8,10,14,11,12,13,14,4,14,10,16,11,15,14,11,10,14,16,8,19,15,12,7,15,14,14,10,10,10,22,15,18,20,10,20,5,15,7,13,6,8,15,17,22,19,14,8,11,0.0,10.0
21,3172021,12,11,12,10,9,13,7,5,4,8,5,10,18,11,14,21,8,9,15,6,9,4,16,8,15,10,3,10,6,12,10,14,7,7,12,6,9,16,11,3,17,18,11,10,5,7,12,13,18,16,5,10,10,8,16,16,14,8,6,6,12,13,6,13,8,9,14,11,11,13,14,3,14,10,16,11,13,14,11,10,13,16,8,19,15,12,7,15,14,14,10,9,9,19,15,18,20,10,20,5,14,7,12,6,8,15,15,22,18,12,7,10,0.0,10.0
22,3172022,12,11,12,10,8,12,7,5,4,8,6,10,16,11,15,21,8,8,15,6,9,4,18,8,14,10,3,9,6,12,10,14,7,7,12,6,8,16,10,3,17,18,11,9,5,6,11,13,17,16,5,10,10,9,16,16,14,8,6,6,12,11,6,13,8,10,14,11,11,13,13,3,14,10,16,11,13,13,11,9,12,17,6,19,15,12,7,15,14,14,10,10,8,19,15,16,18,10,20,5,15,7,13,5,8,15,15,22,19,12,8,10,0.0,10.0
23,3172023,13,14,15,10,6,11,7,6,5,8,6,10,16,13,18,27,9,8,17,7,11,5,18,8,13,11,3,9,7,12,14,15,6,6,12,11,9,18,13,3,20,21,12,10,6,7,11,14,19,19,8,13,11,9,17,24,18,9,7,7,12,12,8,13,12,12,16,10,12,13,17,4,17,9,17,12,13,19,13,10,12,18,7,20,19,13,8,17,16,16,10,10,10,20,15,21,19,10,21,7,15,8,15,6,11,15,15,26,21,20,10,12,0.0,10.0
24,3172024,14,14,15,10,6,11,8,6,5,8,6,10,16,13,18,28,9,8,17,7,10,5,18,7,13,11,3,9,7,12,14,16,6,6,12,11,9,18,13,3,20,21,13,10,6,7,11,14,20,19,10,13,11,9,17,24,18,9,7,7,12,12,9,14,12,12,16,11,13,13,17,5,17,9,20,12,13,19,12,10,12,19,8,20,19,13,8,17,16,16,10,10,10,21,15,22,19,10,22,7,16,8,15,6,11,15,15,26,20,20,10,12,0.0,10.0
25,3172025,14,14,15,10,5,11,8,6,5,8,6,10,16,13,18,28,9,8,17,6,10,5,18,7,13,11,3,9,8,12,14,16,7,6,12,11,9,18,13,3,20,21,13,10,6,7,11,14,20,19,10,13,11,9,17,24,18,9,7,7,12,12,9,14,12,12,16,11,13,13,17,5,17,9,20,12,13,19,12,10,12,19,8,20,19,13,8,17,16,16,10,10,10,21,15,22,19,10,22,7,16,8,15,6,11,15,15,26,20,20,10,12,0.0,10.0
26,3172026,14,14,15,9,5,11,8,6,5,8,6,10,16,13,18,28,9,8,17,6,10,5,18,7,13,11,3,9,8,12,14,16,7,6,12,11,9,18,13,3,20,21,13,10,6,7,11,14,20,19,10,13,11,9,17,23,17,9,7,7,12,12,9,14,12,12,16,11,13,12,17,5,17,9,20,12,13,19,12,10,12,19,8,20,19,13,8,17,16,16,10,10,10,21,15,22,19,10,22,7,16,8,15,6,11,15,15,26,20,20,10,12,0.0,10.0
27,3172027,15,15,19,9,7,12,8,8,5,10,7,11,16,15,21,32,10,9,21,8,11,6,18,9,14,12,4,10,8,12,16,16,9,6,12,12,9,19,13,4,21,22,14,12,8,9,12,17,21,19,10,14,14,9,18,27,18,9,7,9,13,14,10,16,13,14,16,12,14,12,17,5,19,10,22,14,13,20,15,11,12,20,8,24,22,15,8,19,18,16,10,11,12,22,18,24,23,10,23,7,17,10,15,7,12,17,19,26,21,21,12,13,0.0,10.0
28,3172028,15,15,19,9,7,12,8,8,5,10,7,11,16,15,21,32,10,9,21,8,11,6,18,9,14,12,4,9,8,12,16,16,9,6,12,12,9,19,13,4,20,22,14,12,8,9,12,17,21,19,10,14,14,9,18,27,18,9,7,9,13,14,10,16,13,14,16,12,13,11,17,5,19,10,22,13,13,20,15,11,12,20,8,24,22,15,8,19,18,16,10,11,12,22,18,24,23,10,23,7,16,10,15,7,12,17,19,26,21,20,12,13,0.0,10.0
29,3172029,15,14,19,9,7,12,8,8,5,10,7,11,16,15,21,32,10,9,21,8,11,5,18,9,14,12,4,9,7,11,16,16,9,7,12,11,8,18,13,4,20,22,14,12,7,9,12,17,20,19,10,14,14,9,18,28,18,8,9,9,13,14,10,16,13,14,16,12,13,11,16,6,19,10,22,13,13,20,15,9,12,19,7,24,22,15,8,18,16,16,10,11,12,22,18,22,22,10,23,7,17,10,15,7,12,17,19,26,21,20,12,13,0.0,10.0
30,3172030,16,14,19,9,7,12,8,9,5,9,8,11,16,15,20,30,10,9,19,7,12,5,18,9,14,12,4,9,7,11,16,15,10,7,11,11,9,18,13,4,20,20,12,12,7,9,11,17,21,19,10,14,14,9,18,28,18,8,9,8,13,15,11,18,13,15,16,12,13,11,16,6,19,10,23,13,13,20,15,9,13,19,7,24,22,14,8,18,17,18,11,11,12,20,19,22,22,9,23,7,17,10,15,7,12,16,19,25,21,20,12,13,0.0,10.0
31,3172031,16,13,19,9,7,12,8,9,5,9,8,11,16,15,20,30,10,9,19,7,12,5,17,9,14,12,4,9,7,11,16,15,10,7,11,11,9,18,13,4,20,20,12,12,7,9,11,16,21,19,10,14,14,9,18,28,18,8,9,8,13,15,11,18,13,15,16,12,13,11,16,6,19,10,23,13,13,20,15,9,13,19,7,24,22,14,8,18,17,18,11,11,12,20,19,22,22,9,23,7,17,10,15,7,12,16,19,25,21,20,12,13,0.0,10.0
